[2026-06-02 12:43:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-01
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202606010000+TO+202606012359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-6-1 | Reliable Receiver Design for Frequency-Selective Channels under Bursty Impulsive Noise
[IEEE] 2026-6-1 | Smoothed Nonparametric Hierarchical Topic Modeling with Global Topic-Word Distributions via the Nested Dirichlet Distribution
[IEEE] 2026-6-1 | Apparent Inductance-Based Fault Location in Active Distribution Networks: Impact of Distributed Energy Resources
[IEEE] 2026-6-1 | Generating Domain Models for Automated Planning from Natural Language Descriptions
[IEEE] 2026-6-1 | HySMOTE: A Hybrid Approach for Handling Class Imbalances
                    <sup>*</sup>
[IEEE] 2026-6-1 | A Causal Information-Flow Framework for Unbiased Learning-to-Rank
[IEEE] 2026-6-1 | Federated TabTransformer: Self-Attention Based Privacy-Preserving Anomaly Detection for Heterogeneous IoT Telemetry
[IEEE] 2026-6-1 | A System-Level Taxonomy of Failure Modes in Large Language Model Applications
[IEEE] 2026-6-1 | ATLAS: An Annotation Tool for Long-horizon Robotic Action Segmentation
[IEEE] 2026-6-1 | Uncertainty-Aware LLM-Guided Policy Shaping for Sparse-Reward Reinforcement Learning
[IEEE] 2026-6-1 | Real-Time YOLOv8 Framework for Elderly Safety through Fall and Weapon Detection
[IEEE] 2026-6-1 | Dynamic Agentic AI Expert Profiler System Architecture for Multidomain Intelligence Modeling
[IEEE] 2026-6-1 | Loss Analysis of a Hybrid Active Neutral Point Clamped Active Power Filter Using SiC MOSFETs and Si IGBTs
[IEEE] 2026-6-1 | Do Language Models Help or Harm? The Role of LLM-Generated Explanations in Human-AI Image Classification Tasks
[IEEE] 2026-6-1 | AI Driven Multi-Stage Modeling and Simulation Framework for Optimizing Healthcare Supply Chains
[IEEE] 2026-6-1 | Asm2Src-LLMEval: A GenAI Pipeline for Multi-Metric Assessment of LLMs in Program Translation and Analysis
[IEEE] 2026-6-1 | Evaluating different alternatives for few-shot style-consistent character generation
[IEEE] 2026-6-1 | Jockey Motion Capture Device for Hippo therapy: Design, Development, and Preliminary Evaluation
[IEEE] 2026-6-1 | Thermal Stress and Mechanical Integrity Assessment of 110/15 kV Power Transformers Under Stochastic Power Flow Conditions
[IEEE] 2026-6-1 | SF6 free solution for High-Voltage Switchgear Installed Base
[IEEE] 2026-6-1 | Towards Calibration Enhanced Network by Inverse Adversarial Attack
[IEEE] 2026-6-1 | Flat Inflatable Hydraulic Artificial Muscle (fiHAM) Actuator Based Wearable Robot for Exoskeleton
[ACM] 2026-6-2 | Design and Application of a Financial Shared Services Support System Based on RPA and Graph RAG
[ACM] 2026-6-2 | Construction and Efficacy Verification of a Deep Learn-ing-Driven Default Early Warning System for Supply Chain Fi-nance
[ACM] 2026-6-2 | Proceedings of the 2nd International Conference on Digital Management and Information Technology
[ACM] 2026-6-2 | Research on the Formation Mechanism of Users' Intertemporal Exchange Intention for “Service Time” on the Blockchain-Based Mutual Assistance Elderly Care Time Platform
[ACM] 2026-6-1 | ATLAS: Adaptive Test Learning And Selection at the DeepTest 2026 Tool Competition
[ACM] 2026-6-1 | Poster: Selective Semantic Cache Transfer for Mobile-Cloud LLM Inference
[ACM] 2026-6-1 | Tackling Domain Specificity in Learning-Based Wireless Sensing: From Adaptation to Exploitation
[ACM] 2026-6-1 | Poster: PBAS: A Position-Based Addressing System
[ACM] 2026-6-1 | Rethinking the Architecture of Low-Power Wireless Communication
[ACM] 2026-6-1 | Poster: Leveraging Specular Multipath Reflections for Physics-Based Radio Tomography
[ACM] 2026-6-1 | Demo: Resilient Control for Water Infrastructure
[ACM] 2026-6-1 | Evaluating Vibrotactile Feedback: Usability and User Experience in Glove vs. Non-Glove Conditions
[ACM] 2026-6-1 | FIRE: A Modular Framework for Prototyping and Evaluating Interactive Recommender Explanations
[ACM] 2026-6-1 | A Context-Aware Cultural Heritage Guide Powered by LLMs
[ACM] 2026-6-1 | Harnessing Ambient Radio Signals for Ultra-Low Power Sensing and Communication Systems
[ACM] 2026-6-1 | Poster: Energy Efficiency Maximization for Underwater Acoustic Backscatter Communications
[ACM] 2026-6-1 | Efficient and Generalizable Wi-Fi Sensing via Representation Learning and Cross-Domain Modeling
[ACM] 2026-6-1 | Raising the Stakes: Assessing the Influence of Stakes on User Reliance Behavior in Human-AI Decision-Making
[ACM] 2026-6-1 | Towards a Stakeholder-Centered Auditing Framework for Assessing Fairness in (Music) Recommender Systems
[IEEE] 2026-6-1 | ScGDCF: Graphical Deep Clustering with Fused Common Information for Single-cell RNA-seq Data
[IEEE] 2026-6-1 | Towards Autonomous UGV-Based Radio-Frequency Measurement Campaigns: Tutorial and Application
[IEEE] 2026-6-1 | Optimization on Riemannian Manifolds: A Filter SQP Framework with Applications to IoT-related Multi-Robot Systems and Network Partitioning
[IEEE] 2026-6-1 | Land Surface Temperature Downscaling via Deep Cross-Fusion of Spatiotemporal Features
[IEEE] 2026-6-1 | From Latency to Value of Information: A Review of Timeliness Metrics for Safe Transportation Systems in the 6G Era
[IEEE] 2026-6-1 | Dense-Seg: A Ground Segmentation Method for Dense Point Clouds Based on Triangular Node Representation
[IEEE] 2026-6-1 | UAV-Enabled ISAC with Fluid Antennas for Low-Altitude Wireless Networks
[IEEE] 2026-6-1 | DFT-Based Spectral Precoding for Scalable Unique-Word OFDM
[IEEE] 2026-6-1 | Detection of Unknown Attack in Cyber-Physical Power Systems via Self-Supervised Cross-Layer and Cross-Temporal Consistency
[IEEE] 2026-6-1 | A Dielectric-Modulated Dual-Material Gate MOS-HEMT for Ultra-High Sensitivity Label-Free Biosensor
[IEEE] 2026-6-1 | HardVault: A Hybrid FPGA-Based Ethereum-Bitcoin Cold Wallet
[IEEE] 2026-6-1 | A Simultaneous Topology Optimization Method of Magnet and Iron-core for Interior Permanent Magnet Synchronous Motors Based on Rectangular Shape Correction
[IEEE] 2026-6-1 | A Novel Method with Encoder-Decoder for Cross-Sensor Adaptation in Surface Shape Sensing with Sparse Strain Sensors
[IEEE] 2026-6-1 | AOTSS: Acoustic-optical Communication based Multi-AUV Collaborative Target Search Scheme via Deep Reinforcement Learning
[IEEE] 2026-6-1 | RAHBAR: A RoBERTa-Augmented Hybrid biLSTM-biGRU Architecture for Intent Recognition in Education for Urdu Conversational Agent
[IEEE] 2026-6-1 | A Novel Reinforcement Learning-Based Multi-Objective Optimization Framework for Power Allocation in Multibeam Satellite Systems
[IEEE] 2026-6-1 | BioSleepNet: Bio-Inspired Sleep Staging via Context Multimodal Fusion and Dynamic Temporal Memory
[IEEE] 2026-6-1 | Cyber-Physical Power System Dataset for Cyber Security of Digital Substations
[IEEE] 2026-6-1 | TriPrune-HMA: A Large-Scale Heterogeneous Multi-Core LSTM Accelerator Based on Two-Stage Triangular Pruning
[IEEE] 2026-6-1 | Deep Learning-Based Drone Heading Estimation Using BiLSTM and Multi-Head Attention: A Comparative Study of Simulation and Real-World Flight Experiments
[IEEE] 2026-6-1 | BadBone: Backdoor Attacks Against Backbone Models in Visual Prompt Learning
[IEEE] 2026-6-1 | A Measurement-Driven Framework of SISO FSA-FMCW Radar for High-Accuracy 2-D Localization
[IEEE] 2026-6-1 | Development and characterization of a coaxial six-path, low-inductance, low-jitter spark gap switch with two gas filling modes for high-current pulsed power applications
[IEEE] 2026-6-1 | Personalized Healthcare Recommendations for Diabetic Patients using Knowledge Graph Link Prediction
[IEEE] 2026-6-1 | Evaluating the Techno-Economic Viability of a Solar PV-Wind Turbine Hybrid System with Battery Storage for an Electric Vehicle Charging Station in Khobar, Saudi Arabia
[IEEE] 2026-6-1 | Tool and Agent Selection for Large Language Model Agents in Production: A Survey
[IEEE] 2026-6-1 | Ensuring Consistency of Large Language Model Outputs for Similar Prompts using Group Relative Policy Optimization
[IEEE] 2026-6-1 | Integrating Symbolic Tokenization, k-mers, and Vision Transformers for Molecular Representation in BloodBrain Barrier Prediction
[IEEE] 2026-6-1 | CHORD: A Novel XAI Framework for Guiding Counterfactuals via Higher-Order Sensitivity Analysis
[IEEE] 2026-6-1 | Adaptation and Evaluation of EEG Classifiers for Regression-based Hand Trajectory Decoding
[IEEE] 2026-6-1 | State-Learning of Time Series Data with Contrastive Learning
[IEEE] 2026-6-1 | A Feature of the Three-Phase Active Filter Power Spectrum in the Reactive Current Generation Mode
[IEEE] 2026-6-1 | Technical and Economic Indicators of the Energy Node, Which Supports the Average Daily WPP Generating Power
[IEEE] 2026-6-1 | CT-SAFR: Safe and Interpretable Chain-of-Thought Reasoning for Autonomous Robots : A Multi-Layered Verification Framework for Trustworthy AI-Driven Robotic Decision Making
[IEEE] 2026-6-1 | A Robotic Simulation Environment for Ultrasound Imaging of Soft Tissue
[IEEE] 2026-6-1 | Cyclical Temporal Encoding and Hybrid Deep Ensembles for Multistep Energy Forecasting
[IEEE] 2026-6-1 | Research on the Problems of Restoring Heat Supply to the Reoccupied Cities of Donbas
[IEEE] 2026-6-1 | Hybrid Feature Fusion for Multimodal Biometric Recognition: A Novel CNN-Handcrafted Feature Approach for Face and Palm Datasets
[IEEE] 2026-6-1 | Hybrid 3D Asset Retrieval via Contrastive Vision-Language Matching and Structured Prompt Parsing
[IEEE] 2026-6-1 | Estimation of State of Charge for Lithium Ion Batteries using Data Based Deep Learning Approach
[ACM] 2026-6-2 | Optimization on Location and Product Assortment of Retail Store Incorporating Plot Characteristics and Competitive Relationships
[ACM] 2026-6-2 | An Econometric Framework for Interpretable, Multi-Perspective Dynamic Pricing Decisions
[ACM] 2026-6-2 | Identifying “Invisible” Poverty: The Dual Approach of Machine Learning Recognition and Positive Psychological Intervention
[ACM] 2026-6-2 | Design and Implementation of a Python-Based Power Policy Information Aggregation and Retrieval Platform
[ACM] 2026-6-2 | Fusing BERT and Improved Multi-scale Convolutional Neural Networks for Personalized Recommendation of Chinese Language and Literature Learning Resources
[ACM] 2026-6-2 | Application Research of Data Mining Technology in Teaching Quality Monitoring at Higher Education Institutions
[ACM] 2026-6-2 | Intelligent Q&amp;A for Transportation Engineering Integrating Course Knowledge Graphs and RAG: Identifying Weaknesses and Generating Personalized Learning Paths
[IEEE] 2026-6-1 | Energy storages in the context of energy security in the event of catastrophic failures
[IEEE] 2026-6-1 | Cooperative Multi-Drone Coverage Path Planning with Graph-Attentive Feature Interaction
[IEEE] 2026-6-1 | High-Speed 64-bit Recursive Pipelined Vedic Multiplier Using Carry-Save and Kogge-Stone Adders
[IEEE] 2026-6-1 | Triple Active Bridge Converter with High-Frequency Transformer for Grid Integration of Photovoltaic and Storage Systems
[IEEE] 2026-6-1 | Investigating the Impact of Speech Enhancement on Audio Deepfake Detection in Noisy Environments
[IEEE] 2026-6-1 | SUVI: Scalable Unified Vector Intelligence for Efficient Edge Deployment
[IEEE] 2026-6-1 | Online Continual Spatio-Temporal Learning for Change-Resilient Blocking Prediction in Elastic Optical Networks
[IEEE] 2026-6-1 | Impact of Measurement Uncertainty on Accuracy of Transient State Estimation
[IEEE] 2026-6-1 | Mapping the Landscape of DDoS Attack Detection with Machine Learning in SDN
[IEEE] 2026-6-1 | CannyEdit: Selective Canny Control and Dual-Prompt Guidance for Training-free Image Editing
[IEEE] 2026-6-1 | Spatio-temporal Modeling Using a Cost-Effective System for Air Quality Monitoring
[IEEE] 2026-6-1 | Day-Ahead Heat Demand Prediction Using BiLSTM-Based Hybrid Neural Networks
[IEEE] 2026-6-1 | Mitigating LLM Limitations in Learning Environments through Retrieval-Based Knowledge Integration*
[IEEE] 2026-6-1 | Meteorological data and Sky Images meets Neural Models for Photovoltaic Power Forecasting
[IEEE] 2026-6-1 | An Exploratory Study on Intervention Behavior of a Driver Under Cognitive Load in a Simulated Autonomous Driving Scenario
[IEEE] 2026-6-1 | On the study of the shape of language: A Topological Analysis of Universal Embedding Spaces generated by Large Language Models
[ACM] 2026-6-2 | Spatial Distribution Patterns and Driving Mechanisms of Nationally Important Agricultural Heritage Systems in China: An Interpretable Machine Learning Approach
[ACM] 2026-6-2 | Analysis of Performance Differences in Pre-trained Language Models Across Classical and Modern Chinese
[ACM] 2026-6-2 | Research on real-time dynamic intelligent data governance method based on Lakehouse integration
[IEEE] 2026-6-1 | LSBMAR: Latent Schrödinger Bridge for Metal Artifact Reduction in CT Scans
                    <sup>*</sup>
[ACM] 2026-6-1 | Multi-Objective Candidate Generation for Reciprocal Recommendation at Hinge
[ACM] 2026-6-1 | DUPLet: Dynamic User Modeling for Personalized Cover Letter Generation
[ACM] 2026-6-1 | Poster: MoCas-HAR: Lightweight and Generalizable Multi-Sensor Human Activity Recognition via Cascaded Fusion and Moment-Morph Regularization
[ACM] 2026-6-1 | Unlocking Human Movement: Detailed Gait and Impact Assessment from Consumer Earable Devices
[IEEE] 2026-6-1 | Scalable Multimodal Localization for Underground Parking Lots Using Distributed Antenna Systems
[IEEE] 2026-6-1 | Joint Resource Allocation and Beamforming Design for STAR-BD-RIS-Assisted LEO Satellite Collaborative Edge Computing
[IEEE] 2026-6-1 | G-DRAGON: Geospatial Reasoning and Dynamic Planning for Retrieval-Augmented Outdoor Navigation
[IEEE] 2026-6-1 | CsPbBr
                    <sub>3</sub>
                    Perovskite Quantum Dots and One-Dimensional ZnO nanorods composites applied for Ultraviolet/Visible Broadband photodetectors
[IEEE] 2026-6-1 | Table of Contents
[IEEE] 2026-6-1 | A Unified Framework for Unbiased Non-Coherent Over-the-Air Computation
[IEEE] 2026-6-1 | Multiview Graph Learning for Mental Stress Recognition in Human–Machine Interaction
[IEEE] 2026-6-1 | Efficient Privacy-Preserving Ridesharing: An Online Matching-Based Approach
[IEEE] 2026-6-1 | Range-Level Preloading with Scalable Watch-Time Estimation for Billion-User Streaming Systems
[IEEE] 2026-6-1 | Characterization and Initial Optimization of Reconstruction Performance for Detector Crosstalk of Ultra-high Performance Brain PET Imager
[IEEE] 2026-6-1 | MPDA: Multimodal Prompt Decoupling Attack on the Safety Filters in Text-to-Image Models
[IEEE] 2026-6-1 | 2-D Electric Field Prediction Using Neural Networks Trained on Mobile Sensor Network Observations
[IEEE] 2026-6-1 | Development of autoencoder-guided attention-LSTM models for predicting nocturnal hypoglycemia risk in Type 1 Diabetes
[IEEE] 2026-6-1 | IEEE Systems, Man, and Cybernetics Society Information
[IEEE] 2026-6-1 | A SINS/OFSS Integrated Positioning Method for Enhancing Shearer Positioning Accuracy in Intelligent Coal Mining Face
[IEEE] 2026-6-1 | Subject-Adaptive EEG-EMG Fusion Network for Motor Intention Decoding Across a Broad Impairment Spectrum
[IEEE] 2026-6-1 | Distributed Semantic Communication via Nonlinear Transform Coding for Correlated Images
[IEEE] 2026-6-1 | Reliable Covert Communication for Integrated Cognitive Satellite Aerial Terrestrial Networks with NOMA and Poisson Distributed Jammers
[IEEE] 2026-6-1 | DBHN-Net: Dual-Branch Hybrid Neural Network for Low-Complexity Monaural Speech Enhancement
[IEEE] 2026-6-1 | MGA-CLIP: A Multigranularity Attribution Framework for Cross-Modal Explainability in CLIP_supp1-3696329.pdf
[IEEE] 2026-6-1 | ConvShareViT: A Vision Transformer-Like Architecture for Free-Space Optical Accelerators
[IEEE] 2026-6-1 | Author Index
[IEEE] 2026-6-1 | Beyond Distribution Shift: Investigating Generalisation in Automated Algorithm Selection for Single-Objective Black-Box Optimisation
[IEEE] 2026-6-1 | Robust Optimization Techniques and Their Application in the Design of Coherent Filterless Optical Networks
[ACM] 2026-6-1 | The 17th International Workshop on Personalized Access to Cultural Heritage (PATCH 2026)
[ACM] 2026-6-1 | The AI-Therapist Duo in Virtual Reality: A Triadic Design for Immersive Exposure Digital Art Therapy
[ACM] 2026-6-1 | AdvNet: Revealing Performance Issues in Network Protocols by Generating Adversarial Environments
[ACM] 2026-6-1 | Belt and Suspenders: A Study of Resilience in TikTok's Global Video Delivery
[IEEE] 2026-6-1 | Coupling-Aware Edge-Cloud Computing for Multi-UAV Cooperative Sensing via Evolutionary Game-Based Deep Reinforcement Learning
[IEEE] 2026-6-1 | Sparse-Prior-Assisted Dual-Encoder Multi-Scale Fusion Network for Acoustic Tomography Temperature Reconstruction
[IEEE] 2026-6-1 | UWarp: A Whole Slide Image Registration Pipeline to Characterize Scanner-Induced Local Domain Shift_supp1-3698161.docx
[IEEE] 2026-6-1 | A phase correlation-based time series InSAR algorithm
[IEEE] 2026-6-1 | SOCC-ICP: Semantics-Assisted Odometry based on Occupancy Grids and ICP
[IEEE] 2026-6-1 | Flexible β - Phase PVDF-Cu-MAA Self-Powered Nanofiber Nanogenerator for Energy Harvesting Applications
[IEEE] 2026-6-1 | ASTRA-Net: Adaptive Spatiotemporal Track-Before-Detect Recurrent Attention Net for UAV
[IEEE] 2026-6-1 | Fourier-Enhanced Transformer Encoder Network for Efficient Haptic Texture Modeling/Rendering
