[2026-05-05 10:47:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-04
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605040000+TO+202605042359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-5-4 | Research on Spectrum Sensing Method for Non-Cooperative Targets Correction
[IEEE] 2026-5-4 | Dynamic Semantic Graph-guided Cross-modal Attention Network for Open-Vocabulary Object Detection in Aerial Images
[IEEE] 2026-5-4 | Trajectory Inversion and Motion Compensation Method Based on Range-Doppler Domain Backprojection for Bistatic SAR
[IEEE] 2026-5-4 | Development of a Multimodal Virtual Agent Utilizing a Fine-Tuned Large Language Model for Transformative Mental Health Support at Chinhoyi Provincial Hospital
[IEEE] 2026-5-4 | Half Title Page
[IEEE] 2026-5-4 | CRISP -
                    <u>C</u>
                    ompliant
                    <u>R</u>
                    OS2 Controllers for Learn
                    <u>i</u>
                    ng-Ba
                    <u>s</u>
                    ed Manipulation
                    <u>P</u>
                    olicies and Teleoperation
[IEEE] 2026-5-4 | A Hybrid Quantum Neural Network based Robust Resource Optimization for UAV Network Slicing
[IEEE] 2026-5-4 | Analytical PM Eddy-Current Loss Prediction in Axial Flux PM Machine by Considering Time and Space Harmonics
[IEEE] 2026-5-4 | A Semi-Supervised Framework for Road Condition Assessment: From Minor Surface Distress to Post-Disaster Failures
[ACM] 2026-5-4 | Enhancing Sentiment Prediction with AI: A Comparative Evaluation of Unimodal vs. Multimodal Approaches
[ACM] 2026-5-4 | Defect Detection and Quality Classification of Jinda Chili Peppers Using YOLO with Metric-Oriented Performance Assessment
[IEEE] 2026-5-4 | Multi-Criteria Collaborative GNSS Integrity Monitoring: Optimization, Spoofing/Jamming Detection, and Performance Evaluation
[IEEE] 2026-5-4 | Design of Compact Wilkinson Power Divider Based on Suspended Mushroom Metamaterial
[IEEE] 2026-5-4 | A Grid Connected PV Inverter with Subarray Level Control in MPP and non-MPP Mode
[IEEE] 2026-5-4 | Comprehensive Study Paper on the Role of Additive Manufacturing in Production of Permanent Magnet Synchronous Motor
[IEEE] 2026-5-4 | Optimal Charge Scheduling for Economic Operation of Electric Vehicle Charging Station
[IEEE] 2026-5-4 | Enhanced Automation Using FPGA and IoT for Multi-Environment Applications
[IEEE] 2026-5-4 | Comparative Analysis of Phase Shift Modulation Strategies for Dual Active Bridge Converters
[IEEE] 2026-5-4 | Real-Time Optimization of Partially Shaded Solar Photovoltaic Modules Using Parameter-Optimized Global Maximum Power Point Tracking
[IEEE] 2026-5-4 | Economic Operation of an Islanded Microgrid Using PSO-Tuned Droop-Controlled Distributed Generations Alongside Solar and Wind Generations
[IEEE] 2026-5-4 | Fault-Tolerant Radio Communication Framework for TCAS: Design, Implementation and Validation
[IEEE] 2026-5-4 | Real-Time Vital Sign Monitoring with Dashboard Integration
[IEEE] 2026-5-4 | Twin-Delayed DDPG-Tuned PIDF Controller for Load Frequency Control in Power Grid with Distributed Energy Resources
[IEEE] 2026-5-4 | Coupled-Inductor Based Non-Isolated High Gain DC-DC Converter
[ACM] 2026-5-4 | A Multi-stage Error Diagnosis for APB Transaction
[ACM] 2026-5-4 | <scp>Arash</scp>
                    : Token-Efficient LLM-Assisted Crash Root Cause Analysis in Fuzz Driver Generation
[ACM] 2026-5-4 | Research on the Characteristics of Digital Display Systems for Cultural Heritage Activation and User Behavior at the Xianling Mausoleum
[IEEE] 2026-5-4 | MAC: Multiple-Source Autoencoder-Based Cyberattack Detection System for Electric Vehicle Charging Communications
[IEEE] 2026-5-4 | Matrix Representation-Based Fault-Tolerant Control for Boolean Control Networks Subject to Bridging Fault
[IEEE] 2026-5-4 | Highly Sensitive Ammonia Gas Sensors Based on Unidirectional Graphene Oxide Polymer Nanocomposite Thin Films
[IEEE] 2026-5-4 | Optimization Design of Load-Independent Class-E$^{2}$ DC-DC Converter with Performance Visualization
[IEEE] 2026-5-4 | Electromagnetic Characterization of Electrically Thin Low-Loss Materials Through Uncalibrated Frequency-Domain Free-Space Measurements
[IEEE] 2026-5-4 | Movable Antenna Enhanced Cellular-Connected UAV Communication with Trajectory Planning
[IEEE] 2026-5-4 | A Novel Multibeam Time-Division ISAC Approach for Accurate Sensing Parameter Estimation
[IEEE] 2026-5-4 | Development of an X-ray fluorescence spectral imaging instrument, based on Timepix3 counting chip, adapted for electronic waste sorting.
[IEEE] 2026-5-4 | SSDFNet: A State Space Guided Network for Multimodal Building Extraction and Solar Modeling
[IEEE] 2026-5-4 | MSP-MAE: Multi-Scale Perceptive Masked Autoencoder for Self-Supervised SAR Target Recognition
[IEEE] 2026-5-4 | Linear-Complexity Unified Defense Against Deception Attacks in Distributed Economic Dispatch Using Cryptography and Machine Learning
[IEEE] 2026-5-4 | Ka-Band Radar Interferometer High Power Amplifier for Surface Water Ocean and Topography Mission
[IEEE] 2026-5-4 | Scenario-Adaptive Device-Free Target Detection Using mmWave Signals
[IEEE] 2026-5-4 | Fully Metallic Slant-Polarized Linear Antenna Array with Two-Way Elliptical Curvatures
[IEEE] 2026-5-4 | 2025 IEEE 4th International Conference on Smart Technologies for Power, Energy and Control (STPEC)
[IEEE] 2026-5-4 | Author Index
[IEEE] 2026-5-4 | Stabilizing the Memristive Liu System Using PI-Based Sliding Mode Control: Implications for Autonomous Vehicle Dynamics
[IEEE] 2026-5-4 | A Current Sensor Fault Tolerant Technique for Pole-Changing Induction Motors
[IEEE] 2026-5-4 | Ground Fault Detection in RES Integrated Power System Networks Using Clustering Algorithm
[IEEE] 2026-5-4 | PiGraphNet: A Novel Physics-Informed Graph Neural Network for Remaining Useful Life Prediction of Lithium-Ion Batteries in Electric Vehicles
[IEEE] 2026-5-4 | Performance Analysis of LSVF Equivalent Output Feedback I-PD Control for Non-Minimum Phase Systems
[IEEE] 2026-5-4 | A Comparative Analysis of Various Deep Learning Models for State-of-Charge Estimation in Lithium-Ion Batteries
[IEEE] 2026-5-4 | Analysis of Modified Leaky-LMS Algorithm Based Single-Stage Three-Phase Grid-Tied PV System Using Current Error Space Phasor Hysteresis Controller
[IEEE] 2026-5-4 | Poisson-Based Modeling of Arc-Induced Spike Events for Low-Voltage Distribution Systems
[IEEE] 2026-5-4 | Control Strategy of Bidirectional AC-DC Converter using Modified RBFNN Algorithm to Improve PQ in Grid Connected PV-EV based Charger
[IEEE] 2026-5-4 | A Synergistic Neural-Kalman Hybrid Approach for Real-Time State Estimation
[IEEE] 2026-5-4 | Barrier Method Optimized MTPA and AFSTSMOCDSC-SRF-PLL Techniques for Sensorless Operation of SPV-Battery-Charger Integrated PMaSynRM Based LEV
[IEEE] 2026-5-4 | Metaheuristic Optimization of UAV Mission Planning with a Novel Cost Function
[IEEE] 2026-5-4 | A 13-,19-, and 25-Level Switched-Capacitor Multilevel Inverter with Threefold Gain for Renewable Energy Applications
[IEEE] 2026-5-4 | A New Converter Topology to Suppress Common-Mode Voltage in Open End Pmsm Drives Based on Three-Phase Unfolder
[IEEE] 2026-5-4 | Directional Relaying using Fundamental Harmonic Sensitivity in Phase Currents
[IEEE] 2026-5-4 | Gradient-Based Optimizer for Short-Term Hydrothermal Generation Scheduling
[ACM] 2026-5-5 | Adaptive Human–Computer Interaction Design Based on AIGC for New Media Applications
[IEEE] 2026-5-4 | Theileriosis Monitoring and Management System Using Machine Learning Algorithms
[IEEE] 2026-5-4 | KiF: Accelerating Low-Batch LLM Inference Using In-Flash KV Cache
[IEEE] 2026-5-4 | Cover 2
[IEEE] 2026-5-4 | Approximating Optimal Soft Repairs for Denial Constraints_supp1-3689023.pdf
[IEEE] 2026-5-4 | A Thermal Distribution Estimation-Based Thermal Stress Tolerant Control Method for Traction Inverters Under Fault Conditions
[IEEE] 2026-5-4 | Two-Stage Pseudorange Positioning Framework for eLoran Cold Start Resolution and Coverage Area Expansion
[IEEE] 2026-5-4 | IEEE DataPort
[IEEE] 2026-5-4 | Vision-Guided Robotic System for Automatic Fish Quality Grading and Packaging
[IEEE] 2026-5-4 | OU-CA: A Face–Voice Multimodal Benchmark for Continuous User Authentication
[IEEE] 2026-5-4 | Corrections to “Shaping the Profile and Dispersion of Waves Guided Between Spatiotemporally Dispersive, Electrically and Magnetically Conductive Metasurface Boundaries”
[IEEE] 2026-5-4 | DSA: A Dual Safety Approach for Test-Time Temporal Risk Removal of Video Generation_supp1-3689683.pdf
[IEEE] 2026-5-4 | Wafer-Scale Rapid Characterization of Barrier Layer Thickness Uniformity in Nb/Al-AlO
                    <sub>x</sub>
                    /Nb Josephson Junctions Using Spectroscopic Ellipsometry
[IEEE] 2026-5-4 | Deep Reinforcement Learning based Access Point Selection in Cell-free Massive MIMO with Behavior Cloning
[IEEE] 2026-5-4 | Decoupled Amplitude and Phase Recalibration for Tiny Object Detection in Remote Sensing
[IEEE] 2026-5-4 | A Hybrid Solar-PV Grid-Tied Battery Energy Storage System for Modern EV Charging Applications
[IEEE] 2026-5-4 | Robust TDOA localization under NLOS condition using Convex-Concave Programming
[IEEE] 2026-5-4 | ID-3SPs: Internally Disjoint 3-Steiner Paths Construction in Highly Scalable Data Center Networks with Applications
[IEEE] 2026-5-4 | On the Minimum Distances of Some Families of BCH Codes
[ACM] 2026-5-4 | GeoChronos-GPT: Spatiotemporal Transformer Framework for Personalized Point-of-Interest Recommendation
[ACM] 2026-5-4 | Enhancing Sports Experiences Using Artificial Intelligence: Predicting Football Matches Results
[ACM] 2026-5-4 | Basketball Target Recognition and Tracking in Video Using Improved YOLOv5 with Multi-Feature Fusion and Attention Mechanism
[ACM] 2026-5-4 | A Deep Learning Framework for Clinical Risk Prediction with Temporal Representation and Uncertainty-Aware Modeling
[IEEE] 2026-5-4 | Frequency Regulation Enhancement of Multi-Area Hybrid Power System Considering CES Using 3DoF Based Cascaded Controller
[IEEE] 2026-5-4 | Three-Level NPC Operation of TS-NPC with Capacitor Voltage Balancing Control
[IEEE] 2026-5-4 | Physics-Informed Neural Network-based Prediction of Battery Charging Dynamics of Chaotic Energy Harvesters
[IEEE] 2026-5-4 | Model Predictive Control based Optimal Charging for the Health Improvement in Lithium-ion Batteries
[IEEE] 2026-5-4 | False Data Injection Attack Resilient LFC for Two Area Power System with Optimized Hybrid Fractional Order PID Controller
[IEEE] 2026-5-4 | Anomaly-Resilient Control for Automatic Generation Control Systems: Detection and Mitigation of Data Integrity Attacks
[IEEE] 2026-5-4 | Efficient Probabilistic Load Flow Utilising Latin Hypercube with Translational Propagation Algorithm
[IEEE] 2026-5-4 | Speed Sensorless Vector Controlled PMSM Drive Using Cascaded IMC Scheme
[IEEE] 2026-5-4 | AI-Driven Automated Design Generator for Smart Mechanical Components in Power and Energy Systems
[IEEE] 2026-5-4 | A Hybrid STL-LSTM Framework for Data-Driven EV Load Forecasting
[IEEE] 2026-5-4 | Probabilistic Flexibility Enhancement in Active Distribution Networks Under Operational Constraints
[IEEE] 2026-5-4 | A Taxonomy of Data Inconsistencies and their Operational Impact in Automatic Train Operation
[IEEE] 2026-5-4 | Assessment of Control Strategies and Switching Technologies in DC-DC Power Conversion
[IEEE] 2026-5-4 | In-Situ State of Health Estimation of Electric Vehicle Batteries Using Partial Driving Data
[IEEE] 2026-5-4 | Damping Ratio and PI Integrator Gain Estimation from Generation-Loss Disturbances in the Indian Electricity Grid
[IEEE] 2026-5-4 | Electrolyser-Fuel Cell-PV-Battery System Connected Grid System with GMBZ Adaptive Filtering for Hybrid EV Charging Infrastructure
[IEEE] 2026-5-4 | A Novel Passive Islanding Detection Technique with Hybrid DER Technologies
[IEEE] 2026-5-4 | Dynamic Viscoelastic Modeling Analysis &amp; Nonlinear Control of Smart Material Actuator for Rehabilitation Purposes
[IEEE] 2026-5-4 | A Remote Current Injection Based Islanding Detection Technique for Microgrid
[IEEE] 2026-5-4 | Dynamic State of Charge Estimation of Lithium-Ion Batteries Using a Model Switching Approach
[IEEE] 2026-5-4 | Experimental Validation of an Intelligent Dual-Battery Hybrid EV System with PEMFC Range Extension and ML-Based Control Architecture
[IEEE] 2026-5-4 | Hybrid Quantum-Classical Model for Digit Recognition in Electric Vehicle
[IEEE] 2026-5-4 | Graph-Temporal Actor-Critic: A Hybrid Architecture for UAV Navigation in Dynamic Environments
[ACM] 2026-5-4 | Identifying Smoke and Engineering Vehicles by High-voltage Line Alarm Robot
[ACM] 2026-5-4 | Channel State Information Classification based on Wireless Foundation Model
[ACM] 2026-5-4 | Heterogeneous Data Transmission Optimization in Vehicle Networking Based on Federated Learning and Edge Computing
[ACM] 2026-5-4 | A Lightweight Collaborative Mobile Agent Architecture for Cybersecurity Testing in Industrial Control Systems
[IEEE] 2026-5-4 | DSA: A Dual Safety Approach for Test-Time Temporal Risk Removal of Video Generation_supp2-3689683.mp4
[IEEE] 2026-5-4 | Adaptive Optical Image Enhancement under Transformer Oil via Bright Channel and Statistical Feature Distributions_supp1-3689571.pdf
[IEEE] 2026-5-4 | A Surface-Wave Self-Cancelling Method and Its Application to Vehicle Glass Antenna
[IEEE] 2026-5-4 | Spectral Dynamic Attention Network for Hyperspectral Image Super-Resolution
[IEEE] 2026-5-4 | A Structurally Optimized Planar Two-Dimensional Capacitive Sensor for High-Accuracy Positioning Applications
[IEEE] 2026-5-4 | A Survey of Cross-Domain Robotics: Classification, Perception, Planning and Control
[IEEE] 2026-5-4 | PARM: Pipeline-Adapted Reward Model
[IEEE] 2026-5-4 | Thyro-LMD: A Benchmark Dataset and Sample-Driven Data Loading, Attention, and Regularization for Long-Tailed Multi-Label Thyroid Ultrasound Diagnosis
[IEEE] 2026-5-4 | Beyond the Demo: Exoskeletons and Brain-Computer Interfaces May Seem Miraculous, but their True Value is Forged in the Real World
[IEEE] 2026-5-4 | Towards Neurocognitive-Inspired Intelligence: From AI’s Structural Mimicry to Human-Like Functional Cognition
[IEEE] 2026-5-4 | Digital Competence Development Through AI-Supported Teaching Models in Higher Education: A Quasi-Experimental Study
[IEEE] 2026-5-4 | Towards Open Data in Digital Social Protection: A Scoping Review of South Africa's Strategic Needs
[IEEE] 2026-5-4 | Glucocare: “A Web-Based Mhealth Application with Chatbot Technology and Community Support for Enhancing Diabetes Care in Developing Countries”
[IEEE] 2026-5-4 | UHM: Unified Transferring and Pooling over Heterogeneous GPU Memories
[IEEE] 2026-5-4 | Solution of Stochastic Dynamic Economic Load Dispatch Problem Using Pelican Optimization Algorithm
[IEEE] 2026-5-4 | Intelligent Fault-Tolerant Control Strategy for 5Phase HV Electric Vehicle Traction Inverters
[IEEE] 2026-5-4 | Adaptive Log-Fractional Terminal Sliding Mode Control for Residual Current Compensation in Bushfire-Prone Power Networks
[IEEE] 2026-5-4 | Design and Performance Evaluation of a Bridgeless Zeta Converter for Efficient EV Charging Systems
[IEEE] 2026-5-4 | Stator Winding Faults Detection Using Symmetrical Components of Stator Fluxes in Three Phase Induction Motor
[IEEE] 2026-5-4 | Distributionally Robust Optimization for Virtual Power Plant with Vehicle-to-Grid Integration Under Multi-Source Uncertainties
[IEEE] 2026-5-4 | AI-Driven Multi-Model Adaptive Tilt Optimization for Bifacial Solar Arrays Under Spatiotemporal Variability in Process
[IEEE] 2026-5-4 | Reinforcement Learning-Based Energy Management for Multi-Zone EV Charging Stations
[IEEE] 2026-5-4 | Dual Phase Shift Controlled Dual Active Bridge for 3-Stage MSCC EV Battery Charging
[IEEE] 2026-5-4 | Experimental Studies on Magnetization Behaviour of Axial Electromagnetic Bearings
[IEEE] 2026-5-4 | Multi-Hypotheses Trajectory Prediction of On-Road Vehicles Using MC-EKF with Map Constraints
[IEEE] 2026-5-4 | Enhancing LFC Systems Against Denial of Service Attacks: Detection and Resilience Strategies
[ACM] 2026-5-5 | A Model and Technical Implementation for Breaking News Information Cocoons and Improving Public Online Literacy
[ACM] 2026-5-5 | AI-Generated Design of Cultural and Creative Packaging for Regional Paper-Cutting Art
[IEEE] 2026-5-4 | Review of Visible Light Communication Receivers: Standardization, Modulation Techniques, Receiver Technologies and Application Scenarios
[IEEE] 2026-5-4 | Conditional Wasserstein Generative Adversarial Network with W-Net and Wasserstein-L1-SSIM Loss Function for Single Image Dehazing
[IEEE] 2026-5-4 | Energy Consumption Minimization in MEC-empowered CF-mMIMO System Based on Multi-Agent Deep Reinforcement Learning
[IEEE] 2026-5-4 | MR-HVIL: A Mixed-Reality-Based Human&amp;#x2013;Vehicle-In-the-Loop On-Road Validation Platform for Mixed Traffic Testing_supp1-3626213.mp4
[IEEE] 2026-5-4 | State-Aware Hierarchical WiFi Sensing for Continuous and Lightweight Recognition of Motion and Respiration
[IEEE] 2026-5-4 | Sequential-Scanning Contrast-Enhanced Cerebral Dual-Energy CT Imaging Via Physics-Informed Subject-Specific Deep Image Representations
[IEEE] 2026-5-4 | Reciprocal Sinusoidal Vector Modulation in Matrix Converter-Based WPT System
[IEEE] 2026-5-4 | A cross-modal network for facial expression recognition
