[2026-05-27 12:21:38] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-26
正在获取论文...
[arXiv] 2026-05-26 | Relationship between heat effects and shear modulus relaxation during structural relaxation of a telluride glass
[arXiv] 2026-05-26 | Canonical Extensions of Quantale-Enriched Categories
[arXiv] 2026-05-26 | Tunable competing optical excitation pathways in the topological surface states of Bi$_2$Te$_3$
[arXiv] 2026-05-26 | Superconductivity-enhanced phonon angular momentum
[arXiv] 2026-05-26 | Enforcing Soft Monotonicity Constraints for Recursive Gaussian Process Regression in Real Time
[arXiv] 2026-05-26 | EmoDistill: Offline Emotion Skill Distillation for Language Model Agents in Adversarial Negotiation
[arXiv] 2026-05-26 | Ratio-Variance Regularized Policy Optimization
[arXiv] 2026-05-26 | A family of parametric isoperimetric-type inequalities with multiple geometric quantities
[arXiv] 2026-05-26 | A contact version of Kirby's theorem
[arXiv] 2026-05-26 | COVD: Continual Open-Vocabulary Object Detection with Novel Concept Injection
[arXiv] 2026-05-26 | BAIT: Boundary-Guided Disclosure Escalation via Self-Conditioned Reasoning
[arXiv] 2026-05-26 | MuChator: Enabling Active Music Discovery via Conversational Music LLMs in Douyin Music
[arXiv] 2026-05-26 | On the Hidden Costs of Counterfactual Knowledge Training in LLM Unlearning
[arXiv] 2026-05-26 | Cost of Structural Learning Under Censored Feedback: A Threshold-Bandit Approach
[arXiv] 2026-05-26 | Traceable Knowledge Graph Reasoning Enables LLM-Assisted Decision Support for Industrial VOCs in the Steel Industry
[arXiv] 2026-05-26 | Above and below
[arXiv] 2026-05-26 | Molecular Dynamics Study of Defect Evolution Mechanisms in 3C-SiC for Quantum Technologies
[arXiv] 2026-05-26 | Rank-two recurrence results for polynomials and questions of dynamical Mordell--Lang type
[arXiv] 2026-05-26 | The Simons Observatory: Rotation Performance of Cryogenic Half-Wave Plate Polarization Modulators
[arXiv] 2026-05-26 | Semiclassical foundation of universality in chaotic quantum circuits
[arXiv] 2026-05-26 | Family-separated seesaw relations of Majorana neutrinos
[arXiv] 2026-05-26 | Canonical quantization of massive vector field in Schwarzschild black hole background
[arXiv] 2026-05-26 | BatteryMFormer: Multi-level Learning for Battery Degradation Trajectory Forecasting
[arXiv] 2026-05-26 | TPS-Drive: Task-Guided Representation Purification for VLM-based Autonomous Driving
[arXiv] 2026-05-26 | A nonlocal Busenberg-Travis cross-diffusion system with nonlinear Brinkman law
[arXiv] 2026-05-26 | SQARL: A Size-Agnostic Reinforcement Learning approach for Circuit Allocation in Distributed Quantum Architectures
[arXiv] 2026-05-26 | In-Orbit Intelligence or Ground Offloading? Inference Freshness under Intermittent Satellite Connectivity
[arXiv] 2026-05-26 | Black-box Membership Inference Attacks on the Pre-training Data of Image-generation Models
[arXiv] 2026-05-26 | Graph-Based Modeling, Control, and Optimization for Multi-Domain and Multi-Timescale Energy Systems
[arXiv] 2026-05-26 | Random neural networks match observed dimensionality of neural population recordings and motivate stronger experimental tests
[arXiv] 2026-05-26 | Quality Without Usefulness: LLM-Generated XAI Narratives as Trust Heuristics Rather Than Decision Aids
[arXiv] 2026-05-26 | Generative artificial intelligence and the marginalization of minoritized knowledges in higher education: the case of disability
[arXiv] 2026-05-26 | Sensitivity of Heavy-Quark Dipolar Flow to its Initial Spatial Distributions in Cu+Au Collisions
[arXiv] 2026-05-26 | Once-For-All: A Train-Once and Select-Anytime Framework for Multimodal Instruction Tuning
[arXiv] 2026-05-26 | Practical Entanglement Distillation Protocols with Quadratic Error Suppression
[arXiv] 2026-05-26 | Estimating the logistic regression equation when the model is incorrect
[arXiv] 2026-05-26 | RIS-Assisted Secure Transmission with Artificial Noise: Element Allocation and Measurements
[arXiv] 2026-05-26 | Polynomial-time isomorphism test for groups with abelian Sylow subgroups
[arXiv] 2026-05-26 | Granulation signatures as seen by Kepler short-cadence data. II. A hierarchical route to inferring stellar radii from granulation
[arXiv] 2026-05-26 | From Actions to Obligations: A Deontic Action Model Logic
[arXiv] 2026-05-26 | APEX: Amplitude Anchors and Phase Priors for Target-Scarce Higher-Frequency Wave Prediction
[arXiv] 2026-05-26 | Towards Feedback-to-Plan Decisions for Self-Evolving LLM Agents in CUDA Kernel Generation
[arXiv] 2026-05-26 | RIS-Assisted Survivable Backhaul Recovery in Small-Cell Systems
[arXiv] 2026-05-26 | MTL-FNO: A Lightweight Multi-Task Fourier Neural Operator for Sparse Field Reconstruction
[arXiv] 2026-05-26 | L2Rec: Towards Dual-View Understanding of LLMs for Personalized Recommendation
[arXiv] 2026-05-26 | Image Feature Fusion-based Federated Client Unlearning (FCU)
[arXiv] 2026-05-26 | About top-degree $L^2$- and $L^{2,\mathrm{loc}}$-Dolbeault cohomologies of complex spaces with pseudoconvex boundary
[arXiv] 2026-05-26 | Absolute moment inequalities under quadratic-form positivity
[arXiv] 2026-05-26 | Curved spacetime-induced control of photonic modes via spatially dependent band structure
[arXiv] 2026-05-26 | Evolutionary Data Theory: On the Similarities between Data Problems and Evolutionary Games
[arXiv] 2026-05-26 | Beyond Trajectory-Level Attribution: Graph-Based Credit Assignment for Agentic Reinforcement Learning
[arXiv] 2026-05-26 | DynFrame: Adaptive Reasoning-Driven Multimodal Framework with Dynamic Frame Augmentation for Complex Video Understanding
[arXiv] 2026-05-26 | AI evaluation may bias perceptions: The importance of context in interpreting academic writing
[arXiv] 2026-05-26 | Bilevel Optimization over Saddle Points of Zero-Sum Markov Games
[arXiv] 2026-05-26 | Bounded Path Context: A Controlled Study of Visible Path History in LLM-Based Knowledge Graph Question Answering
[arXiv] 2026-05-26 | Suppression and Empowerment in Contests
[arXiv] 2026-05-26 | Data-driven sparse identification of governing PDEs via knockoff filters and multi-criteria trade-offs
[arXiv] 2026-05-26 | Provably Safe Motion Planning Under Unknown Disturbances
[arXiv] 2026-05-26 | Gaussian-Voxel Duet: A Dual-Scaffolding Hybrid Representation for Fast and Accurate Monocular Surface Reconstruction
[arXiv] 2026-05-26 | Evasion numbers via zero-prediction
[arXiv] 2026-05-26 | Credibility Trilemma in Polymatroidal Service Markets
[arXiv] 2026-05-26 | Geometry-Aware Contrastive Learning for Few-Shot Automatic Modulation Recognition
[arXiv] 2026-05-26 | Analytic first order nonadiabatic coupling matrix elements of spin-adapted open-shell time-dependent density functional theory
[arXiv] 2026-05-26 | The DECam MAGIC Survey $-$ Mapping the Ancient Galaxy in CaHK: Overview and Summary of Early Science
[arXiv] 2026-05-26 | Modulational stability of the periodic traveling wave in a local model for shallow water waves
[arXiv] 2026-05-26 | Exact-curved Lagrange finite elements for the Poisson problem in two dimensions
[arXiv] 2026-05-26 | A Modified Multi-Level Tracking Scheme for the Detection of Sunspot Umbral Dots
[arXiv] 2026-05-26 | PolyFusionAgent: A Multimodal Foundation Model and Autonomous AI Assistant for Polymer Property Prediction and Inverse Design
[arXiv] 2026-05-26 | DGLD: Domain-Gated Latent Diffusion for the Discovery of Novel Energetic Materials
[arXiv] 2026-05-26 | Scheduled Style Injection: Expanding the Style-Content Pareto Frontier in Training-Free Diffusion-based Style Transfer
[arXiv] 2026-05-26 | Recursive Flow Matching
[arXiv] 2026-05-26 | Multi-/Uni-Cast Non-Orthogonal Multiple Access-Based INAC
[arXiv] 2026-05-26 | StreamSplit: Continuous Audio Representation Learning via Uncertainty-Guided Adaptive Splitting
[arXiv] 2026-05-26 | Hot Jupiters' Isolation Is Not Unique to High-Eccentricity Tidal Migration
[arXiv] 2026-05-26 | Gaussian Process Reconstruction of Cosmological Parameters with Gravitational Wave Sirens using Machine Learning
[arXiv] 2026-05-26 | Feedforward 3D Editing Learns from Semantic-Part Transformation
[arXiv] 2026-05-26 | Spectral property for the 2D Zakharov-Kuznetsov equation
[arXiv] 2026-05-26 | Autonomous oscillations in quantum electromechanics: tensor network treatment
[arXiv] 2026-05-26 | Q-GeoMem: Question-Guided Geometric Memory for Video Spatial Reasoning
[arXiv] 2026-05-26 | Riding the Shifting Potential: When Reactive Control Suffices for Multi-Goal Behavior
[arXiv] 2026-05-26 | When Does Demographic Information Help? Data and Modeling Regimes for Perspective-Aware Hate Speech Detection
[arXiv] 2026-05-26 | On the Automorphism Groups of Berman Codes and associated Abelian Codes
[arXiv] 2026-05-26 | How and What to Imagine? Visual Thinking in Unified Multimodal Models for Cross-View Spatial Reasoning
[arXiv] 2026-05-26 | Heavy element enrichment of gas in surface-accretion disks: A possible origin of the mass-metallicity anti-correlation in exoplanets
[arXiv] 2026-05-26 | Chartographer: Counterfactual Chart Generation for Evaluating Vision-Language Models
[arXiv] 2026-05-26 | Two Speeds of Learning: A Representation-Readout Decomposition of Grokking and Double Descent
[arXiv] 2026-05-26 | FINOM: Fast Sinkhorn on Non-uniform Meshes
[arXiv] 2026-05-26 | Cordyceps: Covert Control Attacks on LLMs via Data Poisoning
[arXiv] 2026-05-26 | Learning a directed acyclic graph with additive heteroscedastic errors
[arXiv] 2026-05-26 | Basis-Adaptive Sparse-State Simulation of Quantum Circuits
[arXiv] 2026-05-26 | Causal Risk Minimization for High-Dimensional Treatments
[arXiv] 2026-05-26 | Three Quantum-Geometric Contributions to Cubic Orbital Magnetization
[arXiv] 2026-05-26 | A classification of triangular Riemann surfaces with $2p^2$ automorphisms
[arXiv] 2026-05-26 | Quantifying Social Inflation in Liability Insurance with Advanced Statistical Methods
[arXiv] 2026-05-26 | Pair-In, Pair-Out: Latent Multi-Token Prediction for Efficient LLMs
[arXiv] 2026-05-26 | Real-Time Time-Dependent Density Functional Theory for Pump-Probe Spectroscopies
[arXiv] 2026-05-26 | Atomically precise mechanosynthesis of carbon structures on hydrogenated Si(100) by inverted-mode STM
[arXiv] 2026-05-26 | The SPHERE infrared survey for exoplanets (SHINE) V. Full sample characterization
[arXiv] 2026-05-26 | Residual regularity in tensor triangular geometry
[arXiv] 2026-05-26 | ENPMR-Bench: Benchmarking Proactive Memory Retrieval for Emotional Support Agents
[arXiv] 2026-05-26 | EviACT: An Evidence-to-Action Framework for Agentic Program Repair
[arXiv] 2026-05-26 | Explainable Comparison of Feature-Based and Deep Learning Models for TROPOMI Methane Plume Screening
[arXiv] 2026-05-26 | The Northcott Property for Composites of Number Fields of Bounded Degree
[arXiv] 2026-05-26 | GWTC-5.0: An Introduction to Version 5.0 of the Gravitational-Wave Transient Catalog
[arXiv] 2026-05-26 | Sobolev convergence of log-determinants for smooth Wigner matrices
[arXiv] 2026-05-26 | On the cycle structure of the symmetric tensor power of permutations
[arXiv] 2026-05-26 | Queue & AI: When Faster Tasks Slow Down the Workflow
[arXiv] 2026-05-26 | Electride States and Superconductivity in Dense Potassium Carbides
[arXiv] 2026-05-26 | Topological Signatures of Imperial Stress: Persistent Homology of the Eastern Mediterranean Trade Network, 0--400 CE
[arXiv] 2026-05-26 | Sufficient conditions for fractional $k$-factor-critical graphs with minimum degree to be $k$-factor-critical
[arXiv] 2026-05-26 | Faults and Pitfalls in Implementing the Right to be Forgotten
[arXiv] 2026-05-26 | Regular black hole solutions and the quark chemical potential at the QCD phase transition
[arXiv] 2026-05-26 | Grounding Text Embeddings in Stakeholder Associations
[arXiv] 2026-05-26 | TCBiRRT: Rapid Motion Planning for Tightly Coupled Dual-arm Space Manipulator Using Task-space Random Expansion
[arXiv] 2026-05-26 | Semantic Robustness Probing via Inpainting: An Interactive Tool for Safety-Critical Object Detection
[arXiv] 2026-05-26 | Touch-R1: Reinforcing Touch Reasoning in MLLMs
[arXiv] 2026-05-26 | Building an Atlas of Social Experiments to Link Studies, Reconcile Conflicts, and Bridge Gaps
[arXiv] 2026-05-26 | Container Unloading via Reinforcement Learning: Picking Order, Deadlock Avoidance, and Proof-of-Concept Simulation
[arXiv] 2026-05-26 | VitaBench 2.0: Evaluating Personalized and Proactive Agents in Long-Term User Interactions
[arXiv] 2026-05-26 | Unsupervised Deep Image Prior for Sparse-View and Limited-Angle Electron Tomography
[arXiv] 2026-05-26 | ICCU: In-Context Continual Unlearning via Pattern-Induced Refusal Rules
[arXiv] 2026-05-26 | Deep-layer limit and stability analysis of the basic forward-backward-splitting induced network (II): learning problems
[arXiv] 2026-05-26 | INARMA Models for Count Random Fields -- a Survey
[arXiv] 2026-05-26 | $C^*$-algebras of transmission problems and elliptic boundary value problems with shift operators
[arXiv] 2026-05-26 | $2$-word-$π$-representable Graphs
[arXiv] 2026-05-26 | Vertex operator algebras, partition functions and Teichmüller modular forms
[arXiv] 2026-05-26 | Rethinking AI Psychosis: Misnomers, Conceptual Limits, and Existential Drift
[arXiv] 2026-05-26 | A proof-theoretic approach to abstract interpretation
[arXiv] 2026-05-26 | Pairwise Liouvillian learning from randomized measurements: practical aspects and guidelines for operating the protocol in large-scale experiments
[arXiv] 2026-05-26 | Knowledge Graphs as the Missing Data Layer for LLM-Based Industrial Asset Operations
[arXiv] 2026-05-26 | A warning system for risk prediction of metabolic syndrome in a healthy population of blood donors
[arXiv] 2026-05-26 | Mildly Overparameterized ReLU Networks on Orthogonal Data: Incremental Learning and Implicit Bias
[arXiv] 2026-05-26 | A tridiagonal matrix-valued process with stochastic resetting for arbitrary Dyson index $β>0$
[arXiv] 2026-05-26 | LLM-based Mockless Unit Test Generation for Java
[arXiv] 2026-05-26 | LLMs Are Already Good Tutors: Training-Free Prompt Optimization for Pedagogical Math Tutoring
[arXiv] 2026-05-26 | IPIBench: Evaluating Interactive Proactive Intelligence of MLLMs under Continuous Streams
[arXiv] 2026-05-26 | Learning to Orchestrate Agents under Uncertainty
[arXiv] 2026-05-26 | A Continuum of Small-cap Decouplings and Exponential Sums for the Moment Curve in $\mathbb{R}^4$
[arXiv] 2026-05-26 | Learning Dynamic Graph Representations through Timespan View Contrasts
[arXiv] 2026-05-26 | Analysis of Short-term Solar Activity Variability and Estimating the Timings of the Next Enhanced Bursts
[arXiv] 2026-05-26 | KW Semigroups -- Their Betti Numbers, Apéry Posets and Tangent Cones
[arXiv] 2026-05-26 | Generalization of Newton's minimal resistance problem to Riemannian surfaces
[arXiv] 2026-05-26 | Less is More: Early Stopping Rollout for On-Policy Distillation
[arXiv] 2026-05-26 | PRISM: Position-encoded Regressive Inverse Spectral Model for Multilayer Thin-Film Design
[arXiv] 2026-05-26 | Copula and spatial-regularized variational autoencoder for mapping disease comorbidity in West Africa
[arXiv] 2026-05-26 | High-Quality Synthetic Financial Time-Series using a GAN-Diffusion Framework
[arXiv] 2026-05-26 | Antisymmetric spontaneous resistivity anisotropy due to hard-axis collapse in polycrystalline Co thin films
[arXiv] 2026-05-26 | En-route Charging Coordination for Electric Trucks
[arXiv] 2026-05-26 | Gaussian Process-based learning with new MCMC-based implementation of Wishart prior on correlation matrix
[arXiv] 2026-05-26 | Integrated Positioning and Communications for PASS: A Robust Approach
[arXiv] 2026-05-26 | Re-M3Dr: Rebalanced MultiModal Mean Deviation Regression
[arXiv] 2026-05-26 | Inversion of CHASE H$α$ Spectral Line during Solar Flares Based on RADYN Dataset via Deep Learning
[arXiv] 2026-05-26 | Uncertainty-Aware Gaussian Map for Vision-Language Navigation
[arXiv] 2026-05-26 | Observation of the $X(2370)$ in $J/ψ\rightarrowγK^{0}_{S}K^{0}_{S}π^{0}$ and $J/ψ\rightarrowγπ^{0}π^{0}η$
[arXiv] 2026-05-26 | Elias in the Lighthouse, Again? Diagnosing Low Diversity in LLM Stories
[arXiv] 2026-05-26 | Notes on congruence zeta functions via a Berkovich approach
[arXiv] 2026-05-26 | Testing lepton-flavor-violating decay of doubly charged Higgs bosons in type-II seesaw via photon fusion at the high-energy LHC
