[2026-04-18 09:51:02] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[NO] 358/698 | Humidity Sensing in a Flexible SnO
                    <sub>2</sub>
                    /MWCNT/PVP Nanocomposite for Wearable Devices
[NO] 359/698 | Modeling of Far-Field Quantum Coherence by Dielectric Bodies Based on the Volume Integral Equation Method
[NO] 360/698 | Inclusive Digital Health Solution for Ensuring Employee Well-Being, Women's Health, and Workplace Rights
[NO] 361/698 | Enhancing Cloud Resource Utilization with Predictive Autoscaling Using Transformer Models
[NO] 362/698 | Routing Dynamics in Distributed Quantum Networks: Trading-Off Computational Efficiency and Quantum Coherence
[NO] 363/698 | Examination on the Moderation Effect of Gender on AI Literacy and Use of AI Tools in Education
[NO] 364/698 | Fault-Tolerant Design and Multi-Objective Model Checking for Real-Time Deep Reinforcement Learning Systems
[NO] 365/698 | Low-Overhead Passive Resilience Monitoring for AIoT Gateways: End-to-End Anomaly Detection via eBPF Timing Traces and Autoencoders
[NO] 366/698 | Impact of AC Voltage Control and Reactive Power Control on Transient Stability of Grid-forming Converters with Current Saturation under Phase to Ground Faults and Phase Jumps
[NO] 367/698 | TKS-TDM: A Temporal Key Point Selection Model for Efficient Fault Diagnosis of ZDJ9-RTA Using Multi-Sensor Signals
[NO] 368/698 | IEEE Photonics Technology Letters publication information
[NO] 369/698 | A New Framework for Guaranteed Click Ad Allocation in Mobile Location-Based Advertising Networks
[NO] 370/698 | Blank Page
[NO] 371/698 | Reconfigurable Bio-Plausible Spiking Neurons Based on Antiferromagnetic Skyrmions Utilizing Anisotropy Gradient
[NO] 372/698 | On the Design Techniques of High Gain Packaged Printed Circuit Board (PCB) Based Antennas for Sensing and Internet of Things (IoT) Millimeter Wave Applications: Challenges and Analysis
[YES] 373/698 | A Survey of Trust Chain in Secure Embedded Systems: From Secure Boot to TEE Applications
[NO] 374/698 | Passive RIS Is Not Silent: Revisiting Performance Limits Under Thermal Noise
[NO] 375/698 | Secondary constructions of plateaued Boolean functions through addition of indicators
[NO] 376/698 | Miniaturized SIW Single-Branch Diplexer Based on Novel Mixed-Mode Cavities
[NO] 377/698 | Randomization Effect for Enhanced IoT-Network Intrusion Detection Systems
[NO] 378/698 | Inventory Prediction Using ABC Analysis and Decision Tree Algorithm
[NO] 379/698 | Proposal for a Tidal Barrage Power Plant on the Sandwip Channel
[NO] 380/698 | Minimizing EV Battery Degradation in V2G Systems via XGBoost-Guided Particle Swarm Optimization
[NO] 381/698 | Cyclic Delay-Doppler Shift: A Simple Transmit Diversity Technique for Ultra-Reliable Communications in Doubly-Selective Channels
[NO] 382/698 | Adoption and Usage of ChatGPT Among Women Educators in Higher Education- A Study Based on UTAUT 2 Model
[NO] 383/698 | An Integrated CL-PKC and PUF-Based Authentication and Key Agreement Protocol for Cross-Domain UAVs
[NO] 384/698 | ARIS-Aided Multipath Suppression for Enhanced Wireless Localization
[NO] 385/698 | K/Ka-Band Wideband LNAs With Pole-Converging Gain Flattening and Triple-Resonance Input Matching
[NO] 386/698 | HSSCOA: Constant-Round Secure Collaborative Analytics on Secret-Shared Database
[NO] 387/698 | Dual-Teacher Prototype Consistency for Unsupervised Domain Adaptive Object Detection in Remote Sensing Images
[NO] 388/698 | From Image to Pixels: towards Fine-Grained Medical Vision-Language Models_supp1-3682684.pdf
[NO] 389/698 | Design of Multi-Band Dual-Polarized AFSS With Flexibly Controllable Passbands for Wireless Systems
[NO] 390/698 | Channel Estimation for Rydberg Atomic Quantum Receivers: Unrolled Phase Retrieval from Holographic Snapshots
[NO] 391/698 | Blank Page
[NO] 392/698 | ISAR Sparse Imaging Method Based on Block-Coupled Structure Under One-Dimensional Basis Mismatch
[NO] 393/698 | Exploring The Potential of Large Language Models for Assisting with Mental Health Diagnostic Assessments
[YES] 394/698 | Fault-Tolerance in FINN-Based CNN Accelerator for In-Orbit Land Cover Classification
[NO] 395/698 | SPIM: Split-Packet Interference Management for Uplink RSMA in Next-Generation Wireless Networks
[NO] 396/698 | The Influence of Chatbot Implementation on Consumer Purchase Intention on Platforms That Use Live Streaming Shopping
[NO] 397/698 | FLAM: Federated Learning Based on Asynchronous Model Distillation
[NO] 398/698 | Radiation Robustness Assessment of StrongARM Comparators in 130nm, 65nm and 45nm Technologies
[NO] 399/698 | Digital Empowerment: A Participatory Framework for Rural Women's Economic Upliftment
[NO] 400/698 | Design and Analysis of Fiber Optic Sensor System for Monitoring Leakage Parameters in Apron Pipeline Network
[NO] 401/698 | Certificateless Signcryption Scheme for Emergency Communication
[NO] 402/698 | Session Chairs
[NO] 403/698 | Towards adaptive optimal personalization control of robotic hip exoskeleton assistance for individuals with paretic stroke
[NO] 404/698 | Blank Page
[NO] 405/698 | IEEE Geoscience and Remote Sensing Society Publication Information
[NO] 406/698 | Mathematical Analysis of the Physical Properties of High- and Low-Frequency Capacitively Coupled Plasma
[NO] 407/698 | Pathology-Aligned Contrastive Representation Learning for Gleason Grading
[NO] 408/698 | Leveraging Contrastive Vision-Language Pretraining for Zero-Shot Open Learning Behavior Detection in Smart Education
[NO] 409/698 | An Intelligent Data-Model Fusion Method for Predicting VHF and UHF Propagation Loss
[NO] 410/698 | Blank Page
[NO] 411/698 | Blank Page
[NO] 412/698 | Pulse Shaping to Mitigate the Impact of Device Imperfections in Field-Free Switching Using Combined Spin-Orbit and Spin-Transfer Torques
[NO] 413/698 | Physics-Informed Deep Reinforcement Learning for Inter-Area Oscillation Damping via Shapley-based Generator Selection_supp1-3684848.pdf
[NO] 414/698 | profitAware: a Cost Effective Service Placement Technique for Multi-access Edge Clouds
[NO] 415/698 | AI-Driven Employee Performance Prediction in the Public Sector with GAs and SHAP Interpretability
[NO] 416/698 | Driving Behavior Classification From Smartphone Sensor Data Using Graph Attention Network
[NO] 417/698 | Comparative Performance Analysis in Melanoma Detection with DeepLabV3+ Segmentation
[NO] 418/698 | High-Accuracy Data Aggregation via Personalized Local Differential Privacy in Smart Grid
[NO] 419/698 | Particle Filter-Based Fault Diagnosis With Hidden Markov Models for Nonlinear and Uncertain Dynamical Systems
[NO] 420/698 | Fuzzy Logic Control System Assisted Operator Selection for Constrained Multi-Objective Optimization
[NO] 421/698 | CIP-BaseX: A Lightweight RFC 4648-Compatible Obfuscation Layer Against IoT Payload Fingerprinting
[NO] 422/698 | Analysis of Collaborative Data Privacy Leakage: A Macro-Level Perspective
[NO] 423/698 | Power-efficient retrospective transmit beamforming in range-Doppler frequency domain
[NO] 424/698 | IEEE/ASME Transactions on Mechatronics Publication Information
[NO] 425/698 | Representative Spectral Correlation Network for Multi-source Remote Sensing Image Classification
[NO] 426/698 | Analytical Computation and Experimental Validation of Self-Inductance for High-Voltage Pulse Capacitors
[NO] 427/698 | A Novel Quasi-Constant Current Output LCCL Resonant Converter with Transformer Parasitic Capacitance Impact for HVCC
[NO] 428/698 | Table of Contents
[NO] 429/698 | GRotate: Drum-Type Hydroponic System for Plant Growth using NDVI Monitoring
[YES] 430/698 | Validating Statistical Delay Test Generation Under Timing Variations via SAT-Based ATPG
[NO] 431/698 | Generating Adversarial Examples of Time Series Data for Time Series Classification Using Differential Evolution
[NO] 432/698 | Case Study: Neutron-Induced SEE Evaluation in a Mixed-Signal Programmable SoC
[YES] 433/698 | PowerCourt: Formally Judging Benign-Looking Circuits in Multi-Tenant FPGA Environments
[NO] 434/698 | Exploring AI-Driven Personalized Fashion: A Survey on Styling Preferences, Challenges, and Privacy Concerns
[NO] 435/698 | A Systematic Review of Narrative Game-based Interventions for Mental Health
[NO] 436/698 | Bytecode Obfuscation for Smart Contracts via Structural and Semantic Perturbation
[NO] 437/698 | Automated Construction of a Knowledge Graph of Nuclear Fusion Energy for Effective Elicitation and Retrieval of Information
[NO] 438/698 | Lightweight Privacy-Preserving Mobile Sensing Framework via Additive Secret Sharing for Integrated Sensing Communication Computing Systems
[NO] 439/698 | Rate-Adaptive Generalized Space Shift Keying Modulation Over Time-Varying Channels
[NO] 440/698 | Evaluating the errors of Oceansat-3 winds over the Indian Ocean
[NO] 441/698 | Organizing Committee
[NO] 442/698 | 2025 9th International Conference on Cloud and Big Data Computing (ICCBDC)
[NO] 443/698 | 2025 Gender and Technology Conference (GTC)
[NO] 444/698 | Reinforcement Learning-Driven Honeypots: Tactic-Based Defense for Industrial Control Systems
[NO] 445/698 | A Hybrid FeedForward Neural Network-Genetic Algorithm Approach for Beam Selection Optimization in 5G Massive MIMO Systems
[NO] 446/698 | Exploring Interlinkages Between Assistive Technology and Individuals with Disabilities in India
[NO] 447/698 | Exploring the Role of Technology, Gender and their Relationship between Self-Efficacy &amp; Academic Performance
[NO] 448/698 | Sparing User Time With a Socially Aware Independent Metaverse Avatar
[NO] 449/698 | Measurements of water quality and growth metrics in freshwater aquaculture: Dataset and technical challenges
[NO] 450/698 | Multi-Fidelity Dynamic Line Rating Fusion for System Load Margin Enhancement with Large-Scale Offshore Wind Generations
[NO] 451/698 | Hybrid machine learning pipeline for predicting and segmenting academic performance at a Mexican public university
[NO] 452/698 | Observer-Based Adaptive Practical Fixed-Time Event-Triggered Fault-Tolerant Control for Nonlinear Systems With Sensor Faults
[NO] 453/698 | Visual and Text Prompt Segmentation: A Novel Multi-Model Framework for Remote Sensing
[NO] 454/698 | Advanced Input Shaping Control Based on Reinforcement Learning for SCARA Robot
[NO] 455/698 | Front Cover
[NO] 456/698 | Byzantine-Resilient Distributed Economic Dispatch for Interconnected Microgrids: A Trusted Agent-Based Method
[NO] 457/698 | Doubly-Dispersive Continuous MIMO Systems: Channel Modeling and Beamforming Design
[NO] 458/698 | An interval discrete wavelet neural network for rolling bearing fault diagnosis with uncertain information
[NO] 459/698 | Rotation-Based Complex Permittivity Characterization of Low-Loss Slabs by Free-Space Reflection Measurements At Terahertz
[NO] 460/698 | Wideband Single Conductive Layer Glass Picture Frame Electromagnetic Skin for 6G Upper-Mid Band Indoor Communication
[NO] 461/698 | LRASGen: LLM-based RESTful API Specification Generation
[NO] 462/698 | GateFormer-CS: Enhancing Dynamic Malware Detection through Channel-Sequence Gating and Multi-Scale Expansion Fusion
[NO] 463/698 | Design and Adversarial Robustness Verification of Network Intrusion Detection Model for Raw Traffic
[NO] 464/698 | Proceedings
[NO] 465/698 | Keynote Speaker: “Conjuga Molecule Design and Synthesis for Advanced Organic and Perovskite Photovoltaics”
[NO] 466/698 | LiFeChain: Lightweight Blockchain for Secure and Efficient Federated Lifelong Learning in IoT
[NO] 467/698 | Machine Learning-Enhanced Power Allocation for mMIMO-NOMA Systems in 6G Networks
[NO] 468/698 | HopeAI: A Chatbot Framework to Support Survivors of Sex and Labor Trafficking
[NO] 469/698 | Gender Equality in a Digital Science Research Laboratory
[NO] 470/698 | Enhancing the Scope of Social Work Interventions for Women Substance Users Through Technology and Digital Innovations in India
[NO] 471/698 | Advanced Uses of Generative Adversarial Networks (GANs) for Class Imbalance in Machine Learning
[NO] 472/698 | Research on Optimization of Multi-Modal Transportation System Network Considering Transfer Relationships
[NO] 473/698 | Improving Multi-Label Classification Accuracy for High School Mathematics Problems Using LLM Re-Ranking
[YES] 474/698 | Case Study: Integrating RISC-V Zicfiss Shadow Stack Support for Control-Flow Integrity on the CVA6 Processor
[NO] 475/698 | AI-Assisted Complementary Negative Capacitance Tunnel FETs: A Path Toward Superior Circuit Performance
[NO] 476/698 | EXACT: An Explainable Anomaly Classification Tool
[NO] 477/698 | Front Cover
[NO] 478/698 | Dynamic Event-Triggered Data-Driven Hierarchical Control for Networked MASs Against Byzantine Attacks
[NO] 479/698 | Spectral-Efficient LoRa with Low Complexity Detection
[NO] 480/698 | Table of Contents
[NO] 481/698 | Higher-Order Difference Phase Unwrapping for Microwave-based Vibration Measurements
[NO] 482/698 | TechRxiv: Share Your Preprint Research with the World!
[NO] 483/698 | Low-Level CDM Radiated ESD Event Detection and Classification Using a CMOS Logarithmic SoC
[NO] 484/698 | Concurrent Dual-Band Continuous Class-F Power Amplifier: From Theory to Practice
[NO] 485/698 | Imaging Results from a Direct Conversion X-ray Detector with TlBr and CMOS Pixel Array
[NO] 486/698 | Pump Flow Compensation and Variable-Gain Sliding Mode Control for Mitigating Temperature-Induced Degradation in Servo Pump-Controlled Systems
[NO] 487/698 | A Novel Dynamic Sparse Convolution Residual Network for Incipient ITSC Fault Diagnosis of Electric Machines
[NO] 488/698 | HRIS-Assisted Communications: Trade-off between Combination and Separation
[NO] 489/698 | Analysis and Design of IRS-Assisted NOMA for Vehicular Visible Light Communication Systems
[NO] 490/698 | Index Author
[NO] 491/698 | Bayesian Calibration for High-dimensional Parameter Identification in Transformer Winding Diagnostics via FRA-derived Modal Features
[NO] 492/698 | Learning to Evade: Adaptive and Stealthy Attack on Reputation-Based Federated Learning
[NO] 493/698 | CONV_GBERT: Leveraging BERT-GPT Fusion and IMP-FGSM for Adversarially Robust Sentiment Classification
[NO] 494/698 | IEEE Photonics Technology Letters Information for Authors
[NO] 495/698 | Analysis of Accuracy, Area, Latency, and Energy Consumption of Gas-sensing-based In-sensor Neuromorphic Computing
[NO] 496/698 | A Novel Approach with Channel Reduction Scheme for Depression Symptom Identification based on Resting-State EEG_supp1-3679027.docx
[NO] 497/698 | A Transformer-based probabilistic deep learning framework for uncertainty-aware long-range flood forecasting using satellite-derived mesoscale inputs_supp1-3681213.pdf
[NO] 498/698 | Multi-Sensor Multi-Source Localization under Clutter and Uncertainty
[NO] 499/698 | Dual 1-Bit Quantization for Conformer-CTC: A Decomposition-Based Mixed Precision Approach
[NO] 500/698 | Inclusive Learning Model for Technology-Enhanced Vocational Education Through Culturally Responsive Pedagogy
[NO] 501/698 | The Impact of Privacy and Security on E-Commerce Adoption: A Cross-Country Analysis
[NO] 502/698 | Bending Loss Phenomenon in Optical Signal Evaluation on Single-Mode Fiber
[NO] 503/698 | EdgeGuard: Blockchain-Enhanced Secure Data Circulation via Aggregatable Distributed Key Generation_supp1-3679770.pdf
[NO] 504/698 | Adaptive Neural Boundary Control of a Rotating Flexible Beam with Input Dead-Zone and Output Constraint
[NO] 505/698 | Life-Cycle-Oriented Based Design and Optimization of LLC Resonant Converters for Light-EV Charging
[NO] 506/698 | ZSS/Certificateless Signature-based Hierarchical Verification Scheme for IIoT Hot/Cold Data
[NO] 507/698 | Uncooled Poisson Bolometer for High-Speed Event-Based Long-wave Thermal Imaging_supp1-3682677.pdf
[NO] 508/698 | Novel Transform Based Optimization for Resource Allocation and Task Offloading in Communication Networks
[NO] 509/698 | On Inverse Log-Digamma Difference Function for Wireless Signal Processing
[NO] 510/698 | Strengthening EV Charging Infrastructure Against Mass-Scale Cyber Threats
[NO] 511/698 | Dual-Mode Seamless Transition for Hybrid Distribution Transformer With Energy Storage
[NO] 512/698 | Compression and
                    <i>k</i>
                    -mer Based Approach for Anticancer Peptide Analysis
[NO] 513/698 | Concurrent Dual-Band Quadrature Phase Shift Frequency-Selective Receiver
[NO] 514/698 | Two-Stage Risk-Based Scheduling for Electricity-Biogas Rural Microgrids with Biomass Fermentation
[NO] 515/698 | Interaction Mechanism Analysis of Rainstorm‑Induced Disruptive Incidents in Power and Transportation Systems
[NO] 516/698 | Generative AI for Analyzing Participatory Rural Appraisal Data: An Exploratory Case Study in Gender Research
[YES] 517/698 | LPCG: A Capture Activity-Aware Technique for Low-Power Scan Testing
[NO] 518/698 | Convolutional Neural Networks for Energy Estimation in High-Energy Calorimetry
[NO] 519/698 | Assessing the Limitations of Activation Clipping for Fault Mitigation in Vision and Language Transformers
[NO] 520/698 | A Textile Antenna Embedded in Traditional Attire for Body-Centric Communication
[NO] 521/698 | A Conceptual Framework for Enhancing Sustainability of Halal SMEs in Malaysia Using Blockchain Technology
[NO] 522/698 | Wearable Fractal Antenna for 1.575 GHz of Global Positioning System and 2.4 GHz of Wireless LAN Applications
[NO] 523/698 | Empowering Social Interventions: An Adaptive Monitoring Solution with Integrated NLP Analytics
[NO] 524/698 | Enhancing Access to Health Information for Adolescent Girls in Bangladesh Through a Culturally Responsive AI Chatbot
[NO] 525/698 | AI's Influence on Gender Representation and Societal Norms in Emerging Technologies
[NO] 526/698 | IEEE Photonics Technology Letters Information for Authors
[NO] 527/698 | COOPMamba: Efficient Vehicle-to-Vehicle Cooperative Perception based on 3-D Point Clouds
[NO] 528/698 | Three-wavelength laser interferometric absolute measurement technique for static/dynamic composite signals
[NO] 529/698 | 2025 10th International Conference on Computer and Communication Engineering (ICCCE)
[NO] 530/698 | Free-Running EPI Motion Tracking in MRI via Gradient-Coupled Coil Signal
[NO] 531/698 | A Modular Coupled Inductor-Based Regenerative Cascaded Multicell Converter for Medium Voltage Drive
[YES] 532/698 | Case Study: Exploring nMR Implementations for Energy Monitoring in Telecom Base Stations Under Non-Ionizing Radiation
[NO] 533/698 | Impact of Alpha-Induced Single Events on the Inference Confidence of Quantized Neural Networks on Cortex-M
[NO] 534/698 | On the Study of Development of Broadband Pyramidal Microwave Absorber Using Date Palm Leaf Waste: A Sustainable Approach
[NO] 535/698 | Evaluating the Usability, Performance, and Cost-Efficiency of Deploying ML Models on Cloud Computing Platforms
[NO] 536/698 | Gendering Digital Inclusion: A Study on Kudumbashree Women's Access, Awareness and Empowerment
[NO] 537/698 | Social Dynamics of Energy Transition: Gender and Cultural Implications in Rural India
[NO] 538/698 | Hierarchical Single-Event Effect Avoidance and Handling Methods for TT&amp;C Links of GEO All-Electric Propulsion Orbit-Injection Satellites
[NO] 539/698 | A Survey of Model Inversion Attacks: An Interface-Prior Perspective
[NO] 540/698 | A Deep Neural Network Optimization Framework Based on Optimal Transport Bridge Feature Selection and Sparse Representation
[NO] 541/698 | Confidence Matters: Balanced Pseudo-Label Selection for Semi-Supervised Few-Shot Learning
[NO] 542/698 | NeuroHBM: A 3D-Integrated Neuromorphic Processing-in-Memory Architecture Using HBM
[NO] 543/698 | Memristor-Based Directional Forgetting Neural Network Circuit With Emotion Memory and Its Application in Intelligent Robots
[NO] 544/698 | Certification of Linear Inclusions for Nonlinear Systems
[NO] 545/698 | Thin Magnetic Sensor for Angle Measurement in Folding Structures
[NO] 546/698 | iFuzz-Meta: An Interpretable Fuzzy Learning Framework Bridging Top-Down and Bottom-Up Knowledge Integration_supp1-3683688.pdf
[NO] 547/698 | RUOD-R: A High-Fidelity Re-Annotated Benchmark for Underwater Object Detection
[NO] 548/698 | Using Task Graph Caching to Accelerate TVM Code Generation
[NO] 549/698 | Semantic Graph Based Learning for Trend Prediction from Long Financial Documents
[NO] 550/698 | Breaker Page
[NO] 551/698 | Keynote Speaker: “Cloud Remote System with AI Chatbot”
[YES] 552/698 | Embedded Tutorial: Security in Reconfigurable Scan Networks
[NO] 553/698 | Web-Based Disaster Detection and Impact Prediction: Integrating Gender Perspectives for Inclusive Disaster Resilience
[NO] 554/698 | From Shadows to Solutions: A Kaleidoscopic Approach to Safety
[NO] 555/698 | Implementation of Convolutional Neural Networks with Transfer Learning for Brain Tumor Detection Using Large-Scale Magnetic Resonance Image Datasets
[NO] 556/698 | Design of a RISC Processor-Based Data Acquisition System for a 3D Vibration Analyzer
[NO] 557/698 | Improving Harmful Brain Activity Classification Model with Electroencephalography Spectrogram Using Transfer Learning
[NO] 558/698 | Environment Perception and Remote Control Method for Intelligent Power Box Oriented to Secure Communication
[NO] 559/698 | Improved Classical Meet in the Middle Nostradamus Attack
[NO] 560/698 | Governing Cybersecurity for Small Developing State - Challenges, Drivers and Way Ahead
[NO] 561/698 | Improved quantum differential Meet-In-The-Middle attack and some applications
[NO] 562/698 | UAV Intrusion Detection Based on iTransformer for MAVLink Message ID Sequence
[NO] 563/698 | A New Construction Structure on Coded Caching with Linear Subpacketization: Non-Half-Sum Disjoint Packing
[NO] 564/698 | A 25/75 GHz 2TX–4RX FMCW Radar Transceiver Utilizing Non-uniform Linear Arrays and Phase Dithering to Achieve 5.1° Angular Resolution
[NO] 565/698 | Mitigating the Lateral Movement of APT in IIoT with an Efficient Moving Target Defense and Cyber Deception Approach
[NO] 566/698 | Structure-Function Aware Evolutionary Multitasking for Therapeutic Peptide Co-discovery_supp1-3684226.pdf
[NO] 567/698 | Parallelizable Complex Neural Dynamics Models for PMSM Temperature Estimation with Hardware Acceleration
[NO] 568/698 | TunCLIP: Adaptive Multi-Scale Zero-Shot Anomaly Detection Via Vision-Language Feature Infiltration and Semantic Enhancement
[NO] 569/698 | IDEA: Automated Design Space Exploration for Visualization Design
[NO] 570/698 | A New Setup of the STEM Lab to Enhance Creative Collaboration Among Deaf Students_supp1-3679541.pdf
[NO] 571/698 | UWASR-GAN: An Attention-Guided Multi-Scale Residual Framework for Underwater Image Enhancement in Underwater Internet of Things Applications
[NO] 572/698 | Spectral-Bounded Consistency Certification for Heterogeneous Wireless Sensor Networks
[NO] 573/698 | Pipelining Split Learning in Multi-hop Edge Networks
[NO] 574/698 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp5-3683863.mp4
[NO] 575/698 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp2-3683863.mp4
[NO] 576/698 | Low-Light Enhancement via Encoder-Decoder Network with Illumination Guidance
[NO] 577/698 | FedDSC: A Federated Learning Framework for Driving Style Profiling
[NO] 578/698 | Dynamic Feature Fusion Learning for Efficient and Accurate Skin Cancer Lesion Segmentation
[NO] 579/698 | Featurization and Visualization for City Tourism Analysis Utilizing Posted Photographs on SNS
[NO] 580/698 | A SOTIF-Oriented Framework for Safety Assessment in Autonomous Vehicles using Integrated Fault Tree and Bayesian Network Analysis
[NO] 581/698 | Table of Contents
[NO] 582/698 | Towards Robust Receiver-Invariant Specific Emitter Identification via Multi-Task Adversarial Learning
[NO] 583/698 | BC-GTM: A Bidirectional Causal Graph Transformer Mapping for Modeling Brain Structural and Functional Connectivity
[NO] 584/698 | RSPoint-SAM: A SAM-driven method with cross-aware feature fusion for point supervised segmentation
[NO] 585/698 | IEEE Vehicular Technology Society Publication Information
[NO] 586/698 | IEEE Photonics Technology Letters publication information
[NO] 587/698 | Introducing IEEE Collabratec
[NO] 588/698 | Optimized Motion Planners for Virtual-Joint Soft Growing Manipulators in Static Environments_supp1-3684202.pdf
[NO] 589/698 | Physics-Informed Multi-Head Attention-Based SOC Estimation for LFP Batteries Using Only Measured Signals
[NO] 590/698 | UT-Planner: Energy-Efficient Trajectory Planner for Unmanned Ground Vehicles on Uneven Terrain
[NO] 591/698 | A 3D-Printed Multilayer Conformal FSS for Ultrawideband Electromagnetic Shielding
[NO] 592/698 | “Who has the Time?”: Understanding Receptivity to Health Chatbots Among Underserved Women in India
[NO] 593/698 | RESQ: A Unified Framework for ReLiability- and SEcurity Enhancement of Quantized Deep Neural Networks
[NO] 594/698 | Prototype-based Multi-dimension Intensity Mapping Density Sampling Network for Corrosion Segmentation
[NO] 595/698 | Vision-Language Collaborative Representation Learning for Action Quality Assessment
[NO] 596/698 | A Heterogeneous Protocols Compatible External Guidance System for Electro-Optical Telescopes in Distributed Networks
[NO] 597/698 | Two-Layer Robust Optimal Configuration of Photovoltaic-Storage-Charging Systems for Highway Microgrids Integrating Charging Load Prediction
[NO] 598/698 | Front Cover
[NO] 599/698 | On-Site Precise Diagnosis of COVID-19 Using an Attention-Based PLS-1D-CNN Model With Biomolecular Infrared Signatures
[NO] 600/698 | Gate-Field-Plated InGaO High-Voltage TFT on a Si Substrate with a Breakdown Voltage of 1348 V
[NO] 601/698 | Transfer Learning for Data-Efficient Magnetic Core Loss Modeling in Electrical Machines via Parametric Homogenization and Neural Networks
[NO] 602/698 | Copyright Page
[NO] 603/698 | Copyright Page
[NO] 604/698 | Sri Mata Amritanandamayi Devi (Amma)
[NO] 605/698 | T
                    <sup>3</sup>
                    AT: Threshold-Authorized, Threshold-Redeemable, and Non-Transferable Anonymous Tokens
[NO] 606/698 | Learning to Generate Preferences for Multiobjective Deep Learning_supp1-3680097.pdf
[NO] 607/698 | A Novel Hybrid Global Maximum Power Point Tracking Algorithm Based on Neural Network Surrogate Model
[NO] 608/698 | Detecting Audio Adversarial Examples Using Filtering Method Based on Spectral Subtraction
[YES] 609/698 | Design and Reliability Analysis of a Pipeline RISC-V Processor Core
[YES] 610/698 | LA-SCG: Layout-Aware Scan Chain Grouping for Peak Shift Power and IR-Drop Mitigation in Scan-Based Testing
[NO] 611/698 | Deep Learning-Based Early Detection of Retinopathy of Prematurity from Retinal Images of Preterm Infants
[NO] 612/698 | Leveraging Technology - Effects of Wearable Devices on Women in Kerala: Insights from a Mixed Method Study
[NO] 613/698 | AI Technology-Based Communication Training as Preventive Measure to Deal with Breaking Bad News and Healthcare Violence
[NO] 614/698 | Development of Online Power Energy Monitoring System Using Internet of Things (IoT)
[NO] 615/698 | Stretchable Distributed Fiber Bragg Grating for Sensor Applications
[NO] 616/698 | Utilizing Machine Learning Algorithms for Diagnosing Diabetic Retinopathy
[NO] 617/698 | Data-Driven Prediction of MBA Admissions: Utilizing Extra Trees and Grid Search for Model Enhancement
[NO] 618/698 | Adaptive RLWE-Based Lightweight Mutual Authentication Protocol for Medical RFID Systems
[NO] 619/698 | Adaptive Neural Network Optimization of Vehicle Start-Stop Systems Using Digital Twin Framework
[NO] 620/698 | Efficient Control of a Bidirectional DC-DC Converter for Battery Charging and Discharging in Electric Vehicle Motor Drives
[NO] 621/698 | A Large-dimensional Analysis of ESPRIT DoA Estimation: Inconsistency and a Correction via RMT
[NO] 622/698 | Data-Oriented Parallel-in-Time Electromagnetic Transient Simulation of AC-DC Grid
[NO] 623/698 | Multi-dimensional Hypergraph Fusion Network: A Novel Approach for Pediatric Seizure Detection Using Multimodal Physiological Signals
[NO] 624/698 | Table of Contents
[NO] 625/698 | Research on Risk Assessment Method for Urban Dense Cable Trenches Based on Improved Arrhenius Formula and Spatial Inversion Algorithm_supp1-3678730.doc
[NO] 626/698 | Dynamic Resource Allocation in Maritime Unmanned Networks: A Hybrid Approach of Three-Sided Matching and Reinforcement Learning
[NO] 627/698 | SceneGlue: Scene-Aware Transformer for Feature Matching without Scene-Level Annotation
[NO] 628/698 | Diffusion-driven RGB-D Salient Object Detection with Temporal Modulation
[NO] 629/698 | Author Index
[NO] 630/698 | A Bilateral Attribute-Aware State Space Model for Pan-sharpening
[NO] 631/698 | Mapping Afghanistan's Mineral Diversity with NASA EMIT Hyperspectral Data: Spatial-Spectral Transformer Versus CNN for Geo-Mineralogical Classification
[NO] 632/698 | A Two-Round Threshold EdDSA Signature with UC Adaptive Security Based on HPS_supp1-3684478.pdf
[NO] 633/698 | Table of Contents
[NO] 634/698 | A Quantum-Secure Authentication Protocol For UAV-GS Communications
[NO] 635/698 | PUF-Enhanced Lightweight Authentication and Key Agreement for UAV Networks
[NO] 636/698 | Client-Led Game/Simulation Projects' Effects on Motivation and Career Readiness
[NO] 637/698 | Analysis and Synthesis of Fully Soft-Switching Flying-Capacitor based Quasi-Resonant DC–DC Converters
[NO] 638/698 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp3-3683863.mp4
[NO] 639/698 | Metamaterial-Based Structures for Mutual Coupling Reduction Technique and Performance Enhancement in 5G Smartphone MIMO Antennas: A Systematic Review
[NO] 640/698 | PI-YOLO: An Efficient Detector for Power Line Inspection using Aerial Images
[NO] 641/698 | Improving Satellite Imagery Segmentation Using Multiple Sentinel-2 Revisits
[NO] 642/698 | Table of Contents
[NO] 643/698 | A Distributed Plug-and-Play MCMC Algorithm for High-Dimensional Inverse Problems
[NO] 644/698 | NASA Multi-Frequency Radar for Hydrometeor Phase Identification
[NO] 645/698 | Diffusion Distillation for Remote Sensing Salient Object Detection
[NO] 646/698 | List of Reviewers
