[2026-06-16 13:28:18] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-15
正在获取论文...
[arXiv] 2026-06-15 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
[arXiv] 2026-06-15 | Robust Neural Tucker Factorization with Bias Correction and Adaptive Initialization
[arXiv] 2026-06-15 | Leveraging Code-Mixed Product Metadata and User Feedback for Personalized Recommendation on Daraz Bangladesh
[arXiv] 2026-06-15 | Surpassing Scale by Efficiency: A Compact 135M Parameter Foundational LLM Natively Adapted for the Bangla Language
[arXiv] 2026-06-15 | Static linear response of hot and dense QCD matter to electromagnetic fields: Leading hard and soft QCD corrections
[arXiv] 2026-06-15 | Mirror flows and $p$-Laplacian eigenvalue problems on metric measure spaces
[arXiv] 2026-06-15 | CacheMuon: Using Temporal Preconditioning To Approximate Polar Factor
[arXiv] 2026-06-15 | Evaluating LLM Personalization via Semantic Constraint Verification
[arXiv] 2026-06-15 | FEnc$^2$: Unifying Data Packing for Efficient Private Inference via Convolution and Architecture-Aware Fragment Encoding
[arXiv] 2026-06-15 | The Proxy Knows Too Much: Sealing LLM API Routers with Attested TEEs
[arXiv] 2026-06-15 | TMASC: Transmasculine Attitude and Speech Corpus
[arXiv] 2026-06-15 | Phase-field analysis of fracture in heterogeneous wellbore systems: effects of casing eccentricity and cement-formation interface strength
[arXiv] 2026-06-15 | Output-Feedback Boundary Control of Reaction--Diffusion PDEs on Arbitrary Lipschitz Domains: A Target-Domain Approach
[arXiv] 2026-06-15 | Whose hotel does the AI recommend? An algorithm audit of reputation signals in LLM-assisted hotel selection
[arXiv] 2026-06-15 | Thermodynamic Uncertainty Relation For a Multi-Phase Alternating Renewal Random Walk
[arXiv] 2026-06-15 | Non-stationary longitudinal Josephson effect in electron-hole bilayers
[arXiv] 2026-06-15 | Patient-centered visualization of multistage cancer treatment trajectories
[arXiv] 2026-06-15 | Chronological Blindness: Benchmarking Temporal Reasoning in Vision-Language Models with CHRONOSIGHT
[arXiv] 2026-06-15 | Differentiable Packing of Irregular 3D Objects with Adaptive Container Estimation
[arXiv] 2026-06-15 | Neural network inverse design of nanophotonic scintillators
[arXiv] 2026-06-15 | An Adjoint-based Neural Regulator for Real-Time Optimal Control with State Constraints
[arXiv] 2026-06-15 | One-Step Generalization Ratio Guided Optimization for Domain Generalization
[arXiv] 2026-06-15 | AI Supply Chain Galaxy: 3D Visual Analytics for License Compliance
[arXiv] 2026-06-15 | High-Fidelity Numerical Modeling for the Mechanical Characterization of a Full-Scale Test Bridge
[arXiv] 2026-06-15 | Search for Invisibly Decaying Light Scalars at the FCC-ee
[arXiv] 2026-06-15 | Geometry-Driven Islanding Detection and Fault Classification for Grid-Forming Inverters: A Normally Hyperbolic Invariant Manifold Framework with Physics-Derived Thresholds
[arXiv] 2026-06-15 | Who Should Lead Decoding Now? Tracking Reliable Trajectories for Ensembling Masked Diffusion Language Models
[arXiv] 2026-06-15 | TopoRetarget: Interaction-Preserving Retargeting for Dexterous Manipulation
[arXiv] 2026-06-15 | Bi-qutrit entangled edge states of positive partial transposes with largest ranks
[arXiv] 2026-06-15 | Correction to the article "Global well-posedness and scattering in weighted space for nonlinear Schrödinger equations below the Strauss exponent without gauge-invariance"
[arXiv] 2026-06-15 | UXBench: Measuring the Actionability of LLM-Generated UX Critiques
[arXiv] 2026-06-15 | Super-Arrhenius relaxation of the triangular plaquette model in any dimension
[arXiv] 2026-06-15 | StorRep: Storage Research Experiment Patterns on Chameleon Cloud and Trovi
[arXiv] 2026-06-15 | Topological spectral gap, multiscale Weyl's law, and homogenization in high-contrast PDEs
[arXiv] 2026-06-15 | Benchmarking Exact, GP-Emulated, and Simulation-Based Inference for Late-Time Cosmology
[arXiv] 2026-06-15 | Orbital-selective band evolution and out-of-plane correlation in the FeGe-family kagome antiferromagnet ScFe$_6$Ge$_6$
[arXiv] 2026-06-15 | The Backward Stochastic Partial Differential Integral Equations: Solvability and Comparison Principle
[arXiv] 2026-06-15 | Hidden chirality and half-vortex formation in exciton-polariton condensates
[arXiv] 2026-06-15 | did:crdt: Coordination-Free Decentralised Identifiers via Signed CRDTs
[arXiv] 2026-06-15 | symveig: Verified eigenvalue enclosures for symmetry-decomposed Hermitian matrices
[arXiv] 2026-06-15 | On periodic sign changes for weighted representations of integers as colored sums of triangular and generalized pentagonal numbers
[arXiv] 2026-06-15 | Dark Matter Attenuation inside the Earth: A Boltzmann Equation Approach
[arXiv] 2026-06-15 | A parametric family of primes p = km(m+1) + e + 2kq: heuristic laws, conditional theorems, and unconditional primality certificates
[arXiv] 2026-06-15 | Scaling Short-Term Memory of Visuomotor Policies for Long-Horizon Tasks
[arXiv] 2026-06-15 | Decoupling and Discrete Strichartz Estimates for Dispersive Equations on the Torus
[arXiv] 2026-06-15 | TimeVista: Exploring and Exploiting Vision-Language Models as Judges for Time Series Forecasting
[arXiv] 2026-06-15 | On a Taylor-Zwicker Construction for Balanced Families and a Conjecture of Moss and Pedersen
[arXiv] 2026-06-15 | Data-driven Control with Real-time Uncertainty Compensation for Multi-Fuel Engines
[arXiv] 2026-06-15 | Synergizing Global Pattern Learning and Time Order Characterization in Mobile Channel Prediction: An RWKV-Based Approach
[arXiv] 2026-06-15 | Massive right-handed neutrinos in $\bar{B} \to D^* τ\bar X$ decay
[arXiv] 2026-06-15 | Multimodal LLM-Empowered Re-Ranking for Generalizable Person Re-Identification
[arXiv] 2026-06-15 | Continuous Splatting meets Retinex: Continuous Gaussian Splatting and Implicit Reflectance Modeling for Low-Light Image Enhancement
[arXiv] 2026-06-15 | Focus When Necessary: Adaptive Routing and Collaborative Grounding for Training-Free Visual Grounding
[arXiv] 2026-06-15 | Phase Behavior of Unilamellar Hybrid Lipid-Diblock Copolymer Membranes
[arXiv] 2026-06-15 | GRACE: Step-Level Benchmark for Faithful Reasoning over Context
[arXiv] 2026-06-15 | Neutrino Constraints on memory-burdened Primordial Black Holes from Dwarf Spheroidal Galaxies
[arXiv] 2026-06-15 | AIA: A Customized Multi-core RISC-V SoC for Discrete Sampling Workloads in 16 nm
[arXiv] 2026-06-15 | XAI-Grounded Explanation Generation for Speech Deepfake Detection with Training-Free Multimodal Large Language Models
[arXiv] 2026-06-15 | AuAu: A Benchmark for Auditing Authoritarian Alignment in Large Language Models
[arXiv] 2026-06-15 | Stabilizing Short Duration Speaker Verification through Neural Re-scoring with Hybrid Enrollment
[arXiv] 2026-06-15 | Variable-Rate Deep Image Compression based on Low-Rank Adaptation by Progressive Learning
[arXiv] 2026-06-15 | VinQA: Visual Elements Interleaved Long-form Answer Generation for Real-World Multimodal Document QA
[arXiv] 2026-06-15 | Residue ideals of hyperplane arrangements
[arXiv] 2026-06-15 | Vector Magnetic Field associated with an Active Region Filament Observed by SUNRISE III/SCIP in the Ca II 8542 Å Line
[arXiv] 2026-06-15 | Rhythm of the Deep: A Computational-Linguistic Test of Duality of Patterning in Sperm Whale Codas
[arXiv] 2026-06-15 | A Deployment Case Study in Robotic Apparel Automation: Digital Twin Integration, Interoperability, and Workforce Enablement
[arXiv] 2026-06-15 | Recent results on open heavy flavor production ($pp$, $p$Pb, PbPb) from LHCb
[arXiv] 2026-06-15 | Multi-Turn Reflective Masking Elicits Reasoning in Mask Diffusion Models
[arXiv] 2026-06-15 | PATCH: Action-Chunk-Conditioned Latent Patch Innovation Monitoring for Robot Manipulation
[arXiv] 2026-06-15 | Progressive Knowledge-Guided Large Language Model Framework for Bearing Fault Diagnosis
[arXiv] 2026-06-15 | Two fully specified Bayes factors for hypothesis testing and sensitivity analysis in process tracing
[arXiv] 2026-06-15 | Multimodal Evaluator Preference Collapse: Cross-Modal Contagion in Self-Evolving Agents
[arXiv] 2026-06-15 | Distributional Forecasting of EU Asylum Applications with Dynamic Multivariate Count Models
[arXiv] 2026-06-15 | Optical vortex probe of loop-current chirality in moiré materials
[arXiv] 2026-06-15 | Jordan rigidity of full matrix algebras
[arXiv] 2026-06-15 | Effect of the hyperbolic photon mode on the metal insulator transition in a proximate material
[arXiv] 2026-06-15 | FraudSMSWalker: Benchmarking Agentic Large Language Models for SMS-to-Webpage Fraud Detection
[arXiv] 2026-06-15 | Generalized Bell polynomial operators arising from generalized normal ordering
[arXiv] 2026-06-15 | Closed-loop Optimal Fault Detection for Uncertain Systems
[arXiv] 2026-06-15 | Exponential Weighting Model Predictive Control with Observer for Modular Multilevel Converters
[arXiv] 2026-06-15 | Divided differences and complex variations of multiple zeta-star values
[arXiv] 2026-06-15 | MR-GVNO: A Geometry-Aware Variational Physics-Informed Neural Operator for Mindlin-Reissner Plates on Irregular Domains
[arXiv] 2026-06-15 | Fuzzy-processing quantum computation
[arXiv] 2026-06-15 | Entropy-Gated Latent Recursion
[arXiv] 2026-06-15 | Sycophancy as Material Failure under Pushback Loading: A Multi-Axis Characterization Across Three Loading Cases and up to Seventeen Material Charges
[arXiv] 2026-06-15 | Oscillating concentrations suppress condensate coarsening
[arXiv] 2026-06-15 | Beyond Artifacts: Towards Generalizable Synthetic Song Detection via Music-Intrinsic Features
[arXiv] 2026-06-15 | Electronic Band Structure of Silicon Determined via a Variational Adiabatic Eigensolver: Theory and Experiment
[arXiv] 2026-06-15 | PhysGuard: Fisher-Guided Gradient Projection for Sim-to-Real Neural PDE Surrogates
[arXiv] 2026-06-15 | Rotational Symmetry based Object Pose Estimation from Point Clouds in the Absence of Known 3D Models
[arXiv] 2026-06-15 | RepNet: Tackling spectral bias in deep neural networks via parameter reparameterization
[arXiv] 2026-06-15 | Interactions in the dark sector: intrinsic entropy couplings
[arXiv] 2026-06-15 | Automated Digital Twin Construction for Highway Scenarios Using LiDAR Point Clouds and OpenStreetMap
[arXiv] 2026-06-15 | MIRAGE: Auditing Anti-Muslim Bias in Frontier LLMs Across Reasoning, Agentic, and Time-Coupled Conditions
[arXiv] 2026-06-15 | A data-driven security quantification framework for IoT-based systems
[arXiv] 2026-06-15 | The BD-LSC Dataset: Facilitating the Benchmarking of Models for Lexical Semantic Change Detection in Slang and Standard Usage
[arXiv] 2026-06-15 | Incentives and Evidence in Learned Service Orchestration
[arXiv] 2026-06-15 | Pluripotential operadic calculus
[arXiv] 2026-06-15 | Kairos: A Native World Model Stack for Physical AI
[arXiv] 2026-06-15 | Phase controlled spectral topology, dynamic stability and sensitivity in Non-Hermitian Cavity Magnonics
[arXiv] 2026-06-15 | Agile Fall Recovery for Quadrotors with Bidirectional Thrust via Reinforcement Learning
[arXiv] 2026-06-15 | Petrov-Galerkin Variational Physics-Informed Neural Network Framework for Two-Dimensional Singularly Perturbed Problems
[arXiv] 2026-06-15 | On the Lyapunov equation with the state matrix in companion form
[arXiv] 2026-06-15 | Logarithmic Large Deviations for Heavy-Tailed Sums
[arXiv] 2026-06-15 | AI systems out-persuade expert humans
[arXiv] 2026-06-15 | Probabilistic Identification of Technology Tipping Points in Deeply Decarbonised Energy Systems
[arXiv] 2026-06-15 | Geodesic Interpolation on the Grassmann Manifold: GLERP and Recursive GIDER Interpolants
[arXiv] 2026-06-15 | Privacy from Symmetry: Orthogonally Equivariant Transformers for LLM Inference
[arXiv] 2026-06-15 | Module-Structured Mixture Factor Models to Identify Outcome-Specific Signatures in Gene Expression Data
[arXiv] 2026-06-15 | SDS-LoRA: Overcoming Anisotropic Gradient Scaling in Low-Rank Adaptation
[arXiv] 2026-06-15 | Impact of ADAS and V2X Penetration Rates on Cooperative Active Safety
[arXiv] 2026-06-15 | Oxygen in the protostellar clump OMC-2 FIR4
[arXiv] 2026-06-15 | Generative Predictive Distributions for Time Series
[arXiv] 2026-06-15 | A geometric approach to generalized covering radii of linear codes
[arXiv] 2026-06-15 | Filtered ANN as a Phase Transition: When Selectivity-Estimation Error Causes Plan Regret
[arXiv] 2026-06-15 | Milestoning Markov-jump dynamics: Stationary properties, thermodynamic consistency, kinetic hysteresis, and fluctuation symmetries
[arXiv] 2026-06-15 | Conditioning Deep Anatomical Prior Knowledge for Reconstruction of Multispectral Optoacoustic Tomography Images
[arXiv] 2026-06-15 | Graphical conditional generative modeling for digital twin modeling
[arXiv] 2026-06-15 | Grassmannian quantum cohomology in the infinite limit and total positivity
[arXiv] 2026-06-15 | Counterdiabatic Raman Atom Optics for Compact High-Sensitivity Gravimetry
[arXiv] 2026-06-15 | Charging Quantum Batteries with Chiral Squeezing
[arXiv] 2026-06-15 | Band-minimum degeneracy is not enough: density-of-states control of low-density ferromagnetism
[arXiv] 2026-06-15 | Near-Optimal Stochastic Linear Bandits with Delay
[arXiv] 2026-06-15 | Targeting Behavior or Intention? Intervention Strategies in Expressed-Private Opinion Dynamics
[arXiv] 2026-06-15 | Resonant lunar tides of Earth's core and basal magma ocean
[arXiv] 2026-06-15 | A Gradient Perspective on RLVR Stability and Winner Advantage Policy Optimization
[arXiv] 2026-06-15 | Spectral Sparsification of Laplacian-Constrained Gaussian and Hüsler-Reiss Graphical Models
[arXiv] 2026-06-15 | Bath memory as a precision resource in quantum transport
[arXiv] 2026-06-15 | Sobolev Approximation by Fixed-Size Neural Networks with Arbitrary Accuracy
[arXiv] 2026-06-15 | Deflective Sunshades: conceptual design and origami-inspired folding strategy
[arXiv] 2026-06-15 | Direction-Conditioned Policies via Compositional Subgoal Scoring for Online Goal-Conditioned Reinforcement Learning
[arXiv] 2026-06-15 | Threshold dynamics for the $3d$ radial cubic NLS with repulsive inverse-square potential
[arXiv] 2026-06-15 | Optimal Bounded Thrust Powered Descent with Analytical Ground-Collision Avoidance
[arXiv] 2026-06-15 | Galaxy-cluster-stacked Fermi-LAT, part IV: $\sim70$ GeV WIMP annihilation lines
[arXiv] 2026-06-15 | Your Privacy My Cloak: Backdoor Attacks on Differentially Private Federated Learning
[arXiv] 2026-06-15 | Distributed Acoustic Sensing for Urban Monitoring: Coverage Thresholds and Percolation
[arXiv] 2026-06-15 | TokenPilot: Cache-Efficient Context Management for LLM Agents
[arXiv] 2026-06-15 | Exploding and vanishing gradients in deep neural networks: the effect of residual connections
[arXiv] 2026-06-15 | From Tokens to Policy: Causal and Interpretable Heterogeneous Treatment Effects Identification
[arXiv] 2026-06-15 | Hadronic tensor in lattice gauge theories by quantum computing
[arXiv] 2026-06-15 | Selection Without Signal, Recovery Through Expression: A Measurement Study of Post-Hoc Falsification Operators for Frozen Small Code Models
[arXiv] 2026-06-15 | Progress toward a better BOCS: Systematic coarse-graining with local density potentials
[arXiv] 2026-06-15 | Stable Menus of Public Goods: AI-Enabled Progress
[arXiv] 2026-06-15 | Dynestyx: A Probabilistic Programming Library for Dynamical Systems
[arXiv] 2026-06-15 | Deterministic single-photon sources in hexagonal boron nitride with electron-dose-tuned purity and reversible thermal quenching
[arXiv] 2026-06-15 | Spin-Selective Hadron Spectroscopy via Azimuthal Anisotropies from Entanglement-Enabled Spin Interference
[arXiv] 2026-06-15 | SidewalkBench: Benchmarking Visual Navigation on Urban Sidewalks
[arXiv] 2026-06-15 | The entropy of black hole under second-order deviation from equilibrium
[arXiv] 2026-06-15 | Transferable Self-Evolving Playbooks for Agentic Security Auditing
[arXiv] 2026-06-15 | Evolutionary Bilevel Reward Shaping for Generalization in Reinforcement Learning
[arXiv] 2026-06-15 | Electronic structure trends in La$_{2}R$Ni$_2$O$_7$ ($R=$ Pr, Nd, Sm) from first-principles
