[2025-11-22 09:08:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-21
正在获取论文...
[ACM] 2025-11-21 | Introduction to the Special Issue on Large Language Models for Recommender Systems
[IEEE] 2025-11-21 | Evaluating the efficiency of PacBio long-read technology to analyse the diet of alien blue crabs (Callinectes sapidus Rathbun, 1896)
[IEEE] 2025-11-21 | Comparative Security Performance Analysis of DSSS and FHSS in Underwater Acoustic Channels
[IEEE] 2025-11-21 | A Comprehensive Review of Malicious URL Detection using Deep Learning Techniques
[IEEE] 2025-11-21 | Example-Based Data Retrieval Using Pattern Analysis Methods
[IEEE] 2025-11-21 | A Hybrid Balancing Method for IDS Datasets Using CTGAN + K-Means
[IEEE] 2025-11-21 | BLOCKTAIL: A Large-Size and Efficiently Implemented Bit-Oriented Design for Block Ciphers and Permutations
[IEEE] 2025-11-21 | On Finite-Blocklength Noisy Classical-Quantum Channel Coding With Amplitude Damping Errors
[IEEE] 2025-11-21 | Wave Field Variability at Model Grid Scale: Results from a Moored Buoy Array Offshore Livorno
[IEEE] 2025-11-21 | Identification of Damaged Coastal Areas starting from newspaper articles in the Canary Islands
[IEEE] 2025-11-21 | Cascade PID Control Method for Inner and Outer Loops of Transverse Tilt Bi-Coptor UAV
[IEEE] 2025-11-21 | A Decoder with Reinforcement Learning Feedback
[IEEE] 2025-11-21 | Research on the Afterbody Integration of BDTN and Exploration of Drag Reduction Methods
[IEEE] 2025-11-21 | Dynamic Characteristic Analysis and Optimization Design for Spacecraft Electromechanical Composite Skin Panel Structures
[IEEE] 2025-11-21 | Navigating the LEO Network: A Routing Optimisation Approach
[IEEE] 2025-11-21 | The Role of Rank in Mismatched Low-Rank Symmetric Matrix Estimation
[IEEE] 2025-11-21 | Study on the Effect of Ice Pore Parameters on the Attenuation of Ultrasonic Echo Signals
[ACM] 2025-11-21 | Poster: Power Out, Internet Down? Measuring Internet Resilience in South Africa
[ACM] 2025-11-21 | Poster: Measuring Algorithmic Systems' Resilience Against Generative AI-Powered Attacks -- Case Study on Exploiting a Code Search Platform
[ACM] 2025-11-21 | Poster: Voltadomar: A Traceroute Library for Anycasted IPs
[ACM] 2025-11-21 | Enhancing Spatial-Temporal Prediction Models with Dynamic Causal Graphs
[ACM] 2025-11-21 | Poster: Learning to Personalize in Federated Networks with Contribution-Aware Aggregation
[ACM] 2025-11-21 | Demo: Task Cooperation for Urban Unmanned Sanitation Vehicles
[ACM] 2025-11-21 | Demo: Split-and-Pipeline: Collaborative Large Model Inference on Edge Devices
[ACM] 2025-11-21 | Cross-Technology Sensing: Leveraging LoRa Signals to Empower WiFi Sensing
[ACM] 2025-11-21 | Making LoRa Sensing Coexist with Communication
[ACM] 2025-11-21 | MetaGuardian: Enhancing Voice Assistant Security through Advanced Acoustic Metamaterials
[IEEE] 2025-11-21 | Transfer Learning for Cross-Domain Sentiment Classification via Domain Adaptation
[IEEE] 2025-11-21 | A Novel Indicator for Robust On-Line Inter-Turn Fault Detection in Induction Machines Considering Winding Connections, Voltage Unbalance and Load Variation
[IEEE] 2025-11-21 | FPGA Implementation of a Real-Time Parallel Loop-Unrolled DFE for PAM-4 IM/DD Optical Links
[IEEE] 2025-11-21 | Study on the Improving the Uniformity of Ti Distribution in New Type of High
                    <i>
                      J
                      <sub>c</sub>
                    </i>
                    Nb
                    <sub>3</sub>
                    Sn Wire Produced by WST
[IEEE] 2025-11-21 | 2025 IEEE International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters (MetroSea)
[IEEE] 2025-11-21 | Intelligent Energy-Aware Routing via Protozoa Behavior in IoT-Enabled WSNs
[IEEE] 2025-11-21 | Graph-Reinforcement Learning for Service Restoration in Distribution Automation Systems
[IEEE] 2025-11-21 | Understanding Large Language Model Behaviors through Interactive Counterfactual Generation and Analysis
[IEEE] 2025-11-21 | Acoustic underwater noise: the segregation of frequency bands for science-to-policy advise
[IEEE] 2025-11-21 | Autonomous Ocean Sensor Platform
[IEEE] 2025-11-21 | The Italian Ocean Sound monitoring subsystem for the Italian Integrated Environmental Research Infrastructures System (ITINERIS) project
[IEEE] 2025-11-21 | A Dual Optimization View to Empirical Risk Minimization with f-Divergence Regularization
[IEEE] 2025-11-21 | A Review of Advances in the Application of Machine Learning Methods for Intelligent Detection of Composite Materials
[IEEE] 2025-11-21 | Multi-Base Station Coordination for Semi-Persistent Scheduling in Industrial 5G Wireless Time-Sensitive Networks
[IEEE] 2025-11-21 | Effect of Mainstream Pulsation on Transient Cooling Behaviors for Elliptical Crater Film-Holes with Compound Angles
[IEEE] 2025-11-21 | Efficient Stick-Slip Friction Modeling for the Sliding Cable Systems Integrating ALE Formulation and Lugre Model
[IEEE] 2025-11-21 | A Method for Autonomous Online Trajectory Planning of Launch Vehicles and Its Application
[IEEE] 2025-11-21 | Diagnosing and addressing spatio-temporal autocorrelation in marine megafauna habitat models in the Mediterranean Sea
[IEEE] 2025-11-21 | SAR Speckle Distribution Under High Wind Regimes
[IEEE] 2025-11-21 | Breakdown of polycyclic aromatic hydrocarbons in different size fractions of marine sediments
[IEEE] 2025-11-21 | Speckle-Based Approach for Detecting Lakes in X-Band COSMO-SkyMed Data
[IEEE] 2025-11-21 | The Second-Order Coding Rate of Identification via Simple-Dispersion DMCs with Feedback
[IEEE] 2025-11-21 | Generalized Theta Series of a Lattice
[IEEE] 2025-11-21 | Study on the Prediction Model of Flight Test Mission Duration Based on Risk Factors
[IEEE] 2025-11-21 | New Construction of Matrix Representation of Finite Fields and Its Application to Linear Codes
[IEEE] 2025-11-21 | An Investigation on Packet Sampling between Kernel and User Space for NIDS
[ACM] 2025-11-21 | Demo: Hijacking Joystick with Mobile Magnetic Injection
[ACM] 2025-11-21 | Protocol Compliance in Popular RTC Applications
[ACM] 2025-11-21 | A Permissions Odyssey: A Systematic Study of Browser Permissions on Modern Websites
[ACM] 2025-11-21 | Poster: Investigating the Survivability of the Experimental TCP Option
[IEEE] 2025-11-21 | SAAC: Soft-Attention-Actor-Critic Framework for Deployment and Beamforming of Aerial Intelligent Reflecting Surfaces
[ACM] 2025-11-21 | X-ResQ: Parallel Reverse Annealing for Quantum Maximum-Likelihood MIMO Detection with Flexible Parallelism
[ACM] 2025-11-21 | Scalable and Low Power Localization for Underwater Robots
[ACM] 2025-11-21 | BoRa: LoRa over BLE
[ACM] 2025-11-21 | Poster: Enabling BLE Direction Finding Feature Compatible with All Bluetooth Devices
[IEEE] 2025-11-21 | Ex-vivo Prostate Evaluation of Fused-data TREIT using only Biopsy-probe electrodes_supp1-3634989.pdf
[IEEE] 2025-11-21 | IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems society information
[IEEE] 2025-11-21 | Table of Contents
[IEEE] 2025-11-21 | TiVy: Time Series Visual Summary for Scalable Visualization
[IEEE] 2025-11-21 | Multi-Modal Broadcast Packet Erasure Channels: Capacity with Non-Stationary Controllable Statistics
[IEEE] 2025-11-21 | An Efficient GPU-Based Halpern Accelerating Algorithm for Large-Scale DC Optimal Power Flow
[IEEE] 2025-11-21 | Enhancing GNSS RTK Positioning Performance in Challenging Urban Environments with Prior Road Surface Map
[IEEE] 2025-11-21 | Physics-Informed Neural Network-based Indoor Non-Line-of-Sight Optical Wireless Communication
[IEEE] 2025-11-21 | Large Language Models (LLMs) for Network Traffic Prediction: A Trend-Aware Hybrid Framework
[IEEE] 2025-11-21 | Research on Design and Transition Performance Evaluation of High-Precision Large-Size Laminar Flow Nozzle in Wind Tunnel
[IEEE] 2025-11-21 | A Blockchain-based Architecture For Secure ECG Monitoring Using Constrained IoT Devices
[IEEE] 2025-11-21 | Two-Phase Method for Optimal Mobile Sensor Path Planning To Monitor Coverage Holes in Wireless Sensor Networks
[IEEE] 2025-11-21 | Multimodal Fusion of Behavior Graphs and API Sequences for Ransomware Detection
[IEEE] 2025-11-21 | Analysis and Simulation of a Ducted-Fan Aerial Platform with Aerodynamic Constraints
[IEEE] 2025-11-21 | Global and Efficient Local Optimization for Movable Antenna Enabled ISAC
[IEEE] 2025-11-21 | AI-Driven Routing in Mega-LEO Constellations: An Enhanced Q-Learning Strategy for Dynamic Topology Adaptation
[IEEE] 2025-11-21 | COPS: Collaborative Observability and Privacy-preserving Security in ICS
[IEEE] 2025-11-21 | Threshold-Based Entity Authentication for PKCS#11: A Cryptographic Protocol Using Shamir’s Secret Sharing
[IEEE] 2025-11-21 | Three-Dimensional Path Planning for UAVs Based on Lemur Multi-Objective Optimization and the Optimal Velocity Obstacle Method
[IEEE] 2025-11-21 | Districts-to-Zone-to-City To Building-to-Neighborhood-to-Cities: Big Data Driven Architecture Enabling a Five-Category Centric Framework for Smart, Sustainable, Scalable and Reliable IoT City Services
[IEEE] 2025-11-21 | Monitoring the Seasonal Behavior and Morphological Changes of the Hunga Iceberg Using Sentinel-1 SAR data
[IEEE] 2025-11-21 | Characterization of Deletion/Substitution Channel Capacity for Small Deletion and Substitution Probabilities
[IEEE] 2025-11-21 | Cross-Scale Damage Mechanism Analysis of T800 Carbon Fiber Composites Under Hygrothermal Aging
[IEEE] 2025-11-21 | Identity management for frameworks managing northbound APIs of future networks
[IEEE] 2025-11-21 | Research on Low Altitude Wind Field Characteristics in Urban Residential Areas Based on Numerical Simulation
[IEEE] 2025-11-21 | Dynamical Linear Reward Systems under Competitive Horizon Criteria
[IEEE] 2025-11-21 | Adaptive Bionic Cable-Driven Manipulator for Space Grasping Tasks
[IEEE] 2025-11-21 | Efficient Machine Unlearning by Model Splitting and Core Sample Selection
[IEEE] 2025-11-21 | Design of MEMS Flow Sensors and Their Application Progress in the Aerospace Field
[IEEE] 2025-11-21 | A Framework-Driven Mapping of ADS-B Vulnerabilities to NIST RMF and AI RMF
[ACM] 2025-11-21 | Rethinking Convolutional Neural Network in Multimodal Sequential Recommendation
[ACM] 2025-11-21 | NeVo: Advancing Volumetric Video Streaming with Neural Content Representation
[ACM] 2025-11-21 | Poster: mmWave CSI-based Sensing: a Feasibility Study
[ACM] 2025-11-21 | ESPIRO: Natural Pulmonary Function Monitoring via Earphone-Acquired Speech
[IEEE] 2025-11-21 | Sensing accuracy enhancement of phase-sensitive optical frequency domain reflectometry using hybrid Hampel-Median filter
[IEEE] 2025-11-21 | Dual-Input Single-Output Voltage Multiplier-Based High Step-Up Converter for Renewable Energy Integration in DC Microgrids
[IEEE] 2025-11-21 | LRCDA: A Lightweight and Reusable Cross-Domain Authentication Scheme for Industrial IoT Based on Distributed Architecture
[IEEE] 2025-11-21 | FungAI - A Clinically-Oriented Two-Stage Artificial Intelligence Framework for Microscopic Fungal Species Identification
[IEEE] 2025-11-21 | Enhanced Control of Single-Stage PV-STATCOM Using Hybrid MPPT and Adaptive AHLMS for Power Quality Improvement
[IEEE] 2025-11-21 | Detection Scheme of Multiple Submodule Open-Circuit Faults for Rectifier MMCs in HVDC System: A Simulation-Based Investigation
[IEEE] 2025-11-21 | IrregFusion: A Generalized Framework for Hyperspectral Image Fusion across Diverse Spectral Data
[IEEE] 2025-11-21 | LiDAR Inertial Odometry for Vehicle Positioning Based on Multimodal Attention Fusion Network
[IEEE] 2025-11-21 | Single-Ended 3T Sense Amplifiers for Amorphous Oxide Semiconductor 2T0C DRAM
[IEEE] 2025-11-21 | ITW 2025 Sponsors
[ACM] 2025-11-21 | Poster: LightWalk: Passive Gait Recognition via Reflected VLC Signals
[ACM] 2025-11-21 | Toward Better Efficiency vs. Fidelity Tradeoffs in Web Archives
[IEEE] 2025-11-21 | The Bandit Channel
[IEEE] 2025-11-21 | Comparison between shorelines derived from radar and multispectral satellite data
[IEEE] 2025-11-21 | Artificial habitats for seahorse conservation in the Mar Piccolo (Taranto, Italy): results from 15 months of monitoring
[IEEE] 2025-11-21 | Simulation Study on Microwave Curing Process of Carbon Fiber Reinforced Composite T-Shaped Structures Based on Strong Multi-Physics Coupling
[IEEE] 2025-11-21 | On the Interference Channel with Entangled Transmitters
[IEEE] 2025-11-21 | Clustering-Based Data Reduction for Significant Wave Height Modeling in the Mediterranean Sea: A Multi-Site Analysis
[IEEE] 2025-11-21 | Half Spatially Coupled Turbo-Like Codes
[IEEE] 2025-11-21 | Research on Trailing Cone Calibration Flight Test Technology
[IEEE] 2025-11-21 | Stacked MBN: Stacked Multi-Branch Network for Human Pose Estimation
[IEEE] 2025-11-21 | Analysis of Dynamic Characteristics of Floating Gas Valves
[ACM] 2025-11-21 | Uirapuru: Timely Video Analytics for High-Resolution Steerable Cameras on Edge Devices
[ACM] 2025-11-21 | Demo: Frequency-Selective Microwave Actuation of Liquid Crystalline Elastomer Soft Robots
[ACM] 2025-11-21 | Poster: Diffusion-Driven Stackelberg Games for Semantic Information Trading in Metaverse Systems
[ACM] 2025-11-21 | Towards Intelligent LiDAR with Adaptive Focus
[ACM] 2025-11-21 | Experience Paper: Nationwide Human Behavior Sensing in Last-mile Delivery
[ACM] 2025-11-21 | Decoy Databases: Analyzing Attacks on Public Facing Databases
[ACM] 2025-11-21 | The SAP Cloud Infrastructure Dataset: A Reality Check of Scheduling and Placement of VMs in Cloud Computing
[ACM] 2025-11-21 | Poster: The Internet Quality Barometer Framework
[IEEE] 2025-11-21 | MetroSea 2025 TOC
[IEEE] 2025-11-21 | IEEE Journal of Electromagnetics, RF, and Microwaves in Medicine and Biology About this Journal
[IEEE] 2025-11-21 | Representation and Resolution of Singularity Problems in Magnetic Map Simultaneous Surveying and Reconstruction
[IEEE] 2025-11-21 | Simulations of a Josephson Metamaterial Based on the S-F-S $\varphi _{0}$ Josephson Junction
[IEEE] 2025-11-21 | BiFingerPose: Bimodal Finger Pose Estimation for Touch Devices
[IEEE] 2025-11-21 | Design of Cascaded Parametric Mixers for Tunable Bandpass Filtering – Theory and Implementation in L-Band
[ACM] 2025-11-21 | Cultivating Innovation in a Research Lab
[IEEE] 2025-11-21 | FAS Enabled UAV for Energy-Efficient WPCNs
[IEEE] 2025-11-21 | An Incipient Fault Location Scheme Utilizing Synchronous Waveform Measurements in Distribution Systems
[IEEE] 2025-11-21 | Adaptive Weighted Federated Domain Adaptation Methods for Nonintrusive Load Monitoring_supp1-3627893.pdf
[IEEE] 2025-11-21 | Analyzing Renewable Integration and Market Design: Distributional and Dynamic Perspectives in Electricity Markets
[IEEE] 2025-11-21 | Can LLMs Bridge Domain and Visualization? A Case Study on High-Dimension Data Visualization in Single-Cell Transcriptomics
[IEEE] 2025-11-21 | NLI4VolVis: Natural Language Interaction for Volume Visualization via LLM Multi-Agents and Editable 3D Gaussian Splatting
[IEEE] 2025-11-21 | A Near-Field Gain-Phase and Position Errors Calibration Method for Acoustic Arrays
[IEEE] 2025-11-21 | Influence and Optimization of Control Surface Slots on Aerodynamic Characteristics of Low-Speed Laminar-Flow Airfoils
[IEEE] 2025-11-21 | Strategic Bandwidth Pricing and Allocation in a 5G/6G Network Slicing Stackelberg Game
[IEEE] 2025-11-21 | Achievable Rates for State-Dependent Discrete Memoryless Channels With Coded Sensing
[IEEE] 2025-11-21 | Covert Entanglement Generation and Secrecy
[IEEE] 2025-11-21 | A new disease outbreak in Petrosia (Petrosia) ficiformis (Poiret, 1789) (Porifera, Demospongiae) in the Southern Adriatic Sea: marine heatwaves as potential drivers
[IEEE] 2025-11-21 | Future Steps Towards the Italian Pellets Watch Survey
[IEEE] 2025-11-21 | Integrating Viterbi-Like Algorithms with Neural Networks for Resynchronizing Permutation Codes
[IEEE] 2025-11-21 | Chain length of diatoms as indicator of heavy metal contamination in the marine environment
[IEEE] 2025-11-21 | On the Size of a Share for Non-perfect Secret Sharing Schemes
[IEEE] 2025-11-21 | Quickest Change-point Detection With Continuous-Variable Quantum States
[IEEE] 2025-11-21 | An ML-driven PLA Scheme for Inter-Satellite Communication
[IEEE] 2025-11-21 | Optimized Design of Attitude Control Law for Quad Tilt Rotor UAV During Transition Phase
[IEEE] 2025-11-21 | A Monoid Ring Approach to Color Visual Cryptography
[IEEE] 2025-11-21 | Characterization of Low-Cost Transducers for Underwater Communications
[IEEE] 2025-11-21 | Study on Geometric Parameters of Radial Inlet Chamber in Axial Turbine Based on Orthogonal Experimental Design
