[2026-08-27 00:19:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-26
正在获取论文...
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[IEEE] 2026-8-26 | PopCD: Test-Time Behavior Enhancement via Polarity-Prompt Contrastive Decoding
[IEEE] 2026-8-26 | Multi-Objective Robustness Enhancement of Higher-Order Networked Systems via Cost-Aware Hyperedge Addition
[IEEE] 2026-8-26 | Differential Flatness Based Modeling and Control of Cylindrical Microrobots under Rotating Magnetic Fields
[IEEE] 2026-8-26 | Direct Transfer Learning for Cross-Project Test Case Prioritization under Cold-Start Conditions
[IEEE] 2026-8-26 | Runtime-Adaptive Payload Compression with Analytical Energy Threshold for WiFi IoT Nodes
[IEEE] 2026-8-26 | CF-BAD: Coarse-to-Fine Granularity BGP Anomaly Detection for Prefix Hijacking
[IEEE] 2026-8-26 | Joint Optimization of MEC Offloading and Traffic Signal Control via Diffusion-based Hierarchical DRL
[IEEE] 2026-8-26 | A Network Fraud Behavior Identification Model for Smart Policing
[IEEE] 2026-8-26 | Title Page
[IEEE] 2026-8-26 | Multiport Analytical Pixel Electromagnetic Simulator (MAPES) for AI-Assisted Microwave Circuit and RFIC Design
[IEEE] 2026-8-26 | Front Matter
[IEEE] 2026-8-26 | Reliable State Flush on Spot Cloud VMs Conservative Frontiers for Stateful Cloud
[IEEE] 2026-8-26 | GCA-BULF: A Bottom-Up Framework for Short-Term Load Forecasting Using Grouped Critical Appliances
[IEEE] 2026-8-26 | MAS-CP: Multi-Agent Communication Prediction for Distributed Deep Neural Network Training
[IEEE] 2026-8-26 | Compensated Second-Order SMC for Networked 2-D Systems Under Resource-Aware Encoding-Decoding
[IEEE] 2026-8-26 | a-IGZO TFT Pixel Circuit with Double Gate Structure for Compensation of V
                    <sub>TH</sub>
                    Shift and SS-Induced Low-Gray Dispersion in AMOLED Displays
[IEEE] 2026-8-26 | Constraint-Aware Temporal Graph Policy for Beam Hopping Scheduling in LEO Satellite Communications
[IEEE] 2026-8-26 | The ADMM penalized Decoding with Anderson Acceleration
[IEEE] 2026-8-26 | SC-IOCI: Multiple Infrastructure LiDAR-based 3D Object Detection via Intermediate Output Compression and Integration in Split Computing
[IEEE] 2026-8-26 | Reliability-Aware Client Selection in Asynchronous and Heterogeneous Federated Learning
[IEEE] 2026-8-26 | MSGFN: Multi-Scale Gated Fusion Network for UWB NLOS/LOS Classifications
[IEEE] 2026-8-26 | Integrating Quantized Edge AI and LoRaWAN for Visual-Based Wildlife Detection in Connectivity-Limited Regions
[IEEE] 2026-8-26 | Design and Implementation of Low-Cost Non-Invasive Blood Pressure Measurement Device from Photoplethysmography with Signal Quality Assessment
[IEEE] 2026-8-26 | Vision-Based Actuated Traffic Signal Control: A Case Study of the General Luna and Mabini Intersection Using YOLO and SUMO Simulation
[IEEE] 2026-8-26 | MASTEST: A LLM-Based Multi-Agent System For Testing RESTful APIs
[IEEE] 2026-8-26 | LADS: Towards Low-Latency Atomicity Interval for Cross-shard Transactions via Dynamic Queue Scheduling
[IEEE] 2026-8-26 | SHIELD: Sensing-Enabled Health-Aware Infrastructure for Environmental Localized Defense
[IEEE] 2026-8-26 | WTAF-YOLO: Adaptive Weighted Feature Fusion Detector for UAV Maritime Ship Detection
[IEEE] 2026-8-26 | Event-Triggered Distributed Secondary Control for Multi-Bus DC Microgrids Under Setting-Time Privacy Preservation Mechanism
[IEEE] 2026-8-26 | NAST: In-Network Aggregation with Worker Selection for Accelerating Distributed Training
[IEEE] 2026-8-26 | A 6.55-to-7.55GHz Sub-Sampling PLL with 47.8fs RMS Jitter and –254.4dB FoM in 65nm CMOS
[IEEE] 2026-8-26 | A Sleep Monitoring Belt–Based Sleep Staging Method via EEG-Guided Label Transfer and Deep Learning
[IEEE] 2026-8-26 | Learnable Transient Energy and Cross-Correlation Attention-Based Mamba for Fault Phase Selection in IoT-Enabled Distribution Networks
[IEEE] 2026-8-26 | Enhancing Autonomous Vehicle Navigation in Complex Intersections Using Multi-View Proximal Policy Optimisation Algorithm
[IEEE] 2026-8-26 | Modulation-Adaptive and Data-Light Parameter Estimation for DAB Converters with Physics-Informed Neural Network
[IEEE] 2026-8-26 | Toward Communication-Sensing Integrated Cloud-Network Monitoring: Real-Time Vibration Event Recognition on Underground Optical Cables
[IEEE] 2026-8-26 | Stage-Dependent Active-Area Scaling of SiC DSRDs: Pulse Characteristics, Unified Interpretation, and Sizing Guideline
[IEEE] 2026-8-26 | Research on Multi party Cross domain Trusted Interaction Model and Security Collaboration Mechanism under Cloud Chain Symbiosis Architecture
[IEEE] 2026-8-26 | Hierarchical Feature Fusion and Cross-Scale Coding for Machine Vision Tasks in Internet of Things
[IEEE] 2026-8-26 | Annotation-Efficient Surgical Instance Segmentation via Semi-Supervised YOLO Frameworks on Laparoscopic Imagery
[IEEE] 2026-8-26 | Message from General Chairs of CISOSE 2026
[IEEE] 2026-8-26 | Later is More: Trading Tolerable Latency to Meet Stringent Jitter Requirement in Time-Sensitive Networking
[IEEE] 2026-8-26 | Temporal Predictive Joint Hybrid Beamforming Framework for Mitigating Channel Aging in High-Mobility MIMO-OFDM Systems
[IEEE] 2026-8-26 | Engagement Dynamics in Unstructured Digital Journaling: Insights from Eight Months of Multimodal Data in Early Outpatient Psychiatric Care
[IEEE] 2026-8-26 | Zero-Dynamics Attack With Adjustable Destructiveness and Stealthiness Against Automatic Voltage Regulators in Power System
[IEEE] 2026-8-26 | Multimodal Sensing, Aerial Communication and Edge Inference in Open RAN-empowered LEO Satellite-assisted Low-Altitude Networks
[IEEE] 2026-8-26 | LLM-Based Automatic Metamorphic Test Case Generation for LLM Fairness Testing
[IEEE] 2026-8-26 | Memory-Guided Student-Teacher Anomaly Detection for Vision-Based Defect Inspection of Satellite Structural Components
[IEEE] 2026-8-26 | Masthead
[IEEE] 2026-8-26 | IEEE Computer Society Call for Papers
[IEEE] 2026-8-26 | Intelligence Without Infrastructure: How Mobile AI Is Redefining Entrepreneurship in Africa
[IEEE] 2026-8-26 | IEEE Transactions on Professional Communication Information for Authors
[IEEE] 2026-8-26 | The MPEG Avatar Representation Format (ARF) an Interoperable Container and Animation Framework for Avatars
[IEEE] 2026-8-26 | Metasurface Router for Near-Field Multi-User Low-Interference Access Driven by Structured Wave
[IEEE] 2026-8-26 | Research on Weak Physiological Signal Detection and Heart Rate &amp; Blood Oxygen Calculation System Based on PPG
[IEEE] 2026-8-26 | FedCod: An Efficient Coded Communication Protocol for Cross-Silo Federated Learning
[IEEE] 2026-8-26 | Design and Formative Evaluation of a Gamified Circuit Fault Diagnosis Simulator for Undergraduate Electrical Engineering
[IEEE] 2026-8-26 | Performance Analysis and Design Guidelines of Single and Multi-PA Driving Architectures for 5.8 GHz RF-Based Wireless Power Transfer Systems
[IEEE] 2026-8-26 | Table of Contents
[IEEE] 2026-8-26 | A High-Precision Bandgap Reference Circuit with Chopper Modulation
[IEEE] 2026-8-26 | Research on Broadband Down-conversion Scheme Based on Interleaved Frequency Mixing
[IEEE] 2026-8-26 | Digital Skills and Computational Competency Requirements in Malaysia's Biotechnology Industry
[IEEE] 2026-8-26 | FedRIDA: Coordinated Participation and Update Control for Time-Efficient Federated Learning
[IEEE] 2026-8-26 | ICDH 2026: Organizers
[IEEE] 2026-8-26 | Towards Accurate and Lightweight Peripheral Neuroblastic Tumor Diagnosis via Contrastive Multi-scale Pathological Image Analysis
[IEEE] 2026-8-26 | Research on Dynamic Scheduling Strategy of Smart Classroom Teaching Resources Based on Industrial Network Optimization Algorithm
[IEEE] 2026-8-26 | Cultivating the Code: Community, Care, and the Clinic for Open Source Arts
[IEEE] 2026-8-26 | AI and Society: Navigating Policy, Ethics, and Innovation: Sheena Lovia Boateng and Richard Boateng: [Book Review]
[IEEE] 2026-8-26 | Nonlinear Constraint-Aware Pressure Difference Control in PEM Fuel Cells Using Reference Governor Approach
[IEEE] 2026-8-26 | OPAL: An Optimal Distributed Learning Framework via Mutual Validation Between Sites_supp1-3727323.pdf
[IEEE] 2026-8-26 | FPGA-Based Hardware Acceleration and SDR Platform Realization of OTFS Modulation
[IEEE] 2026-8-26 | Message from the PC Co-Chairs
[IEEE] 2026-8-26 | LiteViT-Polar: Lightweight Annular-Attention ViT for OAM-SK FSO Demodulation and Polar Decoding
[IEEE] 2026-8-26 | BGP-Shadow: Accelerating BGP Verification via Programmable Data Planes
[IEEE] 2026-8-26 | GuardMLLM: Overconfidence-Aware Dynamic Fusion for Early Outcome Prediction
[IEEE] 2026-8-26 | EdgeFaaS: A Function-based Framework for Edge Computing
[IEEE] 2026-8-26 | CTMamba: A Center-Targeted Mamba Network for Hyperspectral Image Classification_supp1-3726900.docx
[IEEE] 2026-8-26 | Engineering Trustworthy AI: The VERITAS Framework for Responsible AI Research
[IEEE] 2026-8-26 | A RAG-Total Data Framework for Bidirectional Empowerment in Generative AI and Smart Libraries
[IEEE] 2026-8-26 | Enhancing Medicaid Social Risk Identification: Comparing Linear and Non-Linear Machine Learning Models with Expert Heuristics
[IEEE] 2026-8-26 | A miniaturized nanocalorimetry salinity sensor based on rapid thermal response
[IEEE] 2026-8-26 | Fast Filter Synthesis and Placement for Programmable Photonics
[IEEE] 2026-8-26 | Design and Performance Evaluation of an Interior Permanent-Magnet Linear Actuator for High-Dynamic Robotic Joint Applications
[IEEE] 2026-8-26 | Lightweight IoT Node Offloading Framework for Real-Time Edge Analytics
[IEEE] 2026-8-26 | The Cost of Assistance: High Prosthetic Knee Torque Reduces Biological Joint Work but Induces Symmetry Trade-Offs in Knee Power and Center-of-Mass Velocity During Stair Ascent
[IEEE] 2026-8-26 | AutoQABench: A Three-Level UX Benchmark for Automated Evaluation of Open-Ended LLM Responses
[IEEE] 2026-8-26 | Bluetooth Low Energy Communication Security in Wearable IoT Devices: A Fitbit Sense 2 Case Study
[IEEE] 2026-8-26 | MSC-TGF: A Multi-Scale CNN-Transformer with Graph-Augmented Fusion for Imbalanced Network Intrusion Detection
[IEEE] 2026-8-26 | WiFi-based Human Pose Estimation via Intermediate Pose Synthesis and Part Grouping
[ACM] 2026-8-26 | Concerted Flexibility and Other Shades of Hybrid Work. Is There a New Black?
[IEEE] 2026-8-26 | Microbenchmarking Cloud Cryptographic Workloads for Privacy-Preserving Healthcare Iot
[IEEE] 2026-8-26 | Square: Towards Sharing Internet-Scale GPU Clouds Fairly and Efficiently
[IEEE] 2026-8-26 | An Inter-GM Time Consistency Enhancement Method for Multi-Domain Time-Sensitive Networking
[IEEE] 2026-8-26 | Simulink Collage: A Novel and Creative Approach to Teaching Basic Simulink Concepts
[IEEE] 2026-8-26 | Facial Privacy-Preserving Human Pose Estimation via Camera Sensor Side-Channel_supp1-3727536.pdf
[IEEE] 2026-8-26 | Phase-Aware Memory Repartitioning for Extended-Context Edge LLM Inference
[IEEE] 2026-8-26 | When Confidence Fails: Overconfidence in LLMS Under Uncertainty and Missing Clinical Information
[IEEE] 2026-8-26 | Explainable Subject-Independent Freezing-of-Gait Detection Using Wearable Sensors: Toward Real-World Digital Neurological Monitoring
[IEEE] 2026-8-26 | A C-SSRS-Based Risk-Aware Evaluation Framework for Self-Harm Safety in LLMs
[IEEE] 2026-8-26 | Optimal Capturing Strategy for Multiagent Pursuit–Evasion Differential Games Suffered by Actuator Faults and External Disturbances
[IEEE] 2026-8-26 | Reader-Assisted Blind Source Separation for Multi-Tag Detection in Chipless Radio Frequency Identification Using Pattern Diversity
[IEEE] 2026-8-26 | Identifying VIIRS Near-Hotspot Observations for Accurately Calibrating Model Hotspot Effect
[IEEE] 2026-8-26 | Zeroing Neural Network-Based Motion Planning and Adaptive Sliding Mode Tracking Control for Mobile Manipulators
[IEEE] 2026-8-26 | Design of a Monitoring System for Rubber Liner Lifetime in a Ball Mill Using XBee-Based Wireless Sensors and HMI Visualization
[IEEE] 2026-8-26 | Video Denoising Method Based on Dense Attention Denoising Network
[IEEE] 2026-8-26 | A Detailed Study of Wideband Dual-Polarized Aperture-Coupled 1 × 4 Linear Antenna Array for Wi-Fi 8 Applications
[IEEE] 2026-8-26 | Alleviating Regional Shortcuts for Few-Shot Class-Incremental Learning
[IEEE] 2026-8-26 | Guaranteed State Boundaries for Power System Dynamic State Estimation: A Tight Ellipsoidal Bounding Method
[IEEE] 2026-8-26 | Dirichlet Process-Guided Dynamic Filtering for Mitosis Detection with Single Point Supervision
[IEEE] 2026-8-26 | A Survey on Energy-Efficient Next-Generation Wireless Terahertz Communications
[IEEE] 2026-8-26 | IEEE Computer Call For Special Issue Proposals
[IEEE] 2026-8-26 | β-free Information Bottleneck in Representation Learning
[IEEE] 2026-8-26 | Mechanism and Suppression of IGBT Turn-Off Voltage Overshoots in an H-Bridge-Driven Reluctance Coilgun
[IEEE] 2026-8-26 | SDM: Object-Centric Semantic-Distance Map for Generalizable Dexterous Grasp Synthesis
[IEEE] 2026-8-26 | Topology-Aware Mainlobe Identification and Robust PSLL Evaluation for Sparse Array Synthesis
[IEEE] 2026-8-26 | LongSumEval: Question-Answering Based Evaluation and Feedback-Driven Refinement for Long Document Summarization
[IEEE] 2026-8-26 | Copyright Page
[IEEE] 2026-8-26 | AI4SE for CI/CD: Explainable Code Smell Risk Analysis
[IEEE] 2026-8-26 | Zephyr: Switch-Aided Weighted Congestion Control for Differentiated Inference Workloads
[IEEE] 2026-8-26 | A YCrCb Bit-Plane Quantum Polar Coordinate Representation Model for Color Images
[ACM] 2026-8-26 | Reframing HCI Research from the Global South: Seven Grand Challenges for Brazil
[IEEE] 2026-8-26 | Do AI Agents Exhibit Greed in Shared Resource Environments?
[IEEE] 2026-8-26 | Flow Linearity Improved-Based Fuzzy Multivoltage Drive Control for High-Speed On/Off Valve
[IEEE] 2026-8-26 | Collaborative Task Offloading Optimization in Multi-UAV-Assisted Mobile Edge Computing
[IEEE] 2026-8-26 | Organizing Committee
[IEEE] 2026-8-26 | Message from Congress 2026 General Chairs
[IEEE] 2026-8-26 | Kernel Similarity Few-Shot Learning for Cross-Domain Hyperspectral Image Classification with Global-Local Feature Modeling
[IEEE] 2026-8-26 | Hybrid Multichannel Room Impulse Response Generation With Joint Reverberation-Time and Diffuse-Field Coherence Control
[IEEE] 2026-8-26 | Local Graph-Aware Hop-by-Hop Routing for Dynamic LEO Satellite Networks
[IEEE] 2026-8-26 | Understanding Communication Predictability of Distributed LLM Training
[IEEE] 2026-8-26 | An LDPC-Aided Adaptive Equalization Scheme Based on Exponential Variable-Step LMS for Multipath Interference Suppression in Wireless Communications
[IEEE] 2026-8-26 | Research on the Allocation of Educational Resources in China Based on the ARIMA-SVR Hybrid Model
[IEEE] 2026-8-26 | Flexible Needle Tip Detection in 2D Ultrasound Images Based on Improved YOLOv7
[IEEE] 2026-8-26 | Coal fire identification based on multi-source remote sensing time-series features and hierarchical feature optimization: A case study in the Zhundong Coalfield
[IEEE] 2026-8-26 | Variable–Patch Semantic Routing for Multimodal Climate and Environmental Time Series Forecasting
[IEEE] 2026-8-26 | A Survey on Ambient IoT: Use Cases, Standardization, Enabling Technologies, and Research Directions
[IEEE] 2026-8-26 | Achieving Fast and High Throughput Data Exchange for Serverless Computing Systems via Switch-Native Serialization/Deserialization
[IEEE] 2026-8-26 | Robustness Verification of Recurrent Neural Networks with Abstraction Refinement
[IEEE] 2026-8-26 | Topology and Coordinated Modulation of Multiport Power Converters with Wide Voltage Gain for HESS
[IEEE] 2026-8-26 | Two-Dimensional Photonic Crystal Implementation in Semiconductor Surface Emitting Lasers
[IEEE] 2026-8-26 | Eight-Element Wideband Decoupled Antenna Based on Parasit-ic Structure and Neutralization Line for Smartphones
[IEEE] 2026-8-26 | Chronus: Accurate and Memory-Efficient Sketching for High-Cumulative-RTT Flow Detection
[IEEE] 2026-8-26 | IEEE Social Networking
[IEEE] 2026-8-26 | Heterogeneous Compute Orchestration for AI-Era Infrastructure
[IEEE] 2026-8-26 | Lifecycle or Dead End: Tracking the Evolution of Professional Societies
[IEEE] 2026-8-26 | SpectraMerge: A Spectral-Structural Compression Framework for Bandwidth-Efficient Edge Transformers
[IEEE] 2026-8-26 | Real Sampling Based Phase-coded Coherent LiDAR with Communication System: Dual-mode Design and Experimental Verification_supp1-3726939.pdf
[IEEE] 2026-8-26 | Dither-Free Control for Arrayed MZMS in Optical Beamforming Network
[IEEE] 2026-8-26 | IoT-Based Air Monitoring with Self-Reported Health Outcomes Across Rural-Urban India: A Pilot Study
[IEEE] 2026-8-26 | ECNCT 2026 Cover Page
[IEEE] 2026-8-26 | AlphaEarth Foundations Provide Superior Accuracy in Vegetation Height Mapping Across Severely Disturbed Forest Areas_supp1-3727370.docx
[IEEE] 2026-8-26 | H2I: A Handover-State Encoding-Based Data Inheritance Method for Mobile Crowdsensing
[IEEE] 2026-8-26 | Storytelling Matters: Effects of Different Narrative Types in Immersive XR Avatar-Based Learning
