[2026-06-04 11:55:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-03
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202606030000+TO+202606032359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-6-3 | IEEE Antennas and Wireless Propagation Letters Publication Information
[IEEE] 2026-6-3 | Non-Invasive Biosensor-Integrated Artificial Pancreas System for Smart Management of Diabetes Mellitus
[IEEE] 2026-6-3 | PPO-AquaRoute: Latency-Aware Opportunistic Routing in Underwater Acoustic Sensing Networks
[IEEE] 2026-6-3 | Critical Transit Infrastructure in Smart Cities and Urban Air Quality: A Multi-City Seasonal Comparison of Ridership and PM
                    <sub>2.5</sub>
[IEEE] 2026-6-3 | An Integrated Machine Learning Pipeline for the Hospitality Industry: Customer Segmentation, Churn Prediction, and Hybrid Revenue Forecasting
[IEEE] 2026-6-3 | Shilpa: Inclusive Mobile Learning App for Visual, Auditory, Physically, and Cognitive Impaired Students
[IEEE] 2026-6-3 | A Smart Multi-Sensor Blind-Spot Monitoring System with Predictive Warning for Vehicles
[IEEE] 2026-6-3 | A Real-Time Hospital Resource Monitoring System for Emergency Healthcare Services
[ACM] 2026-6-4 | Combating Misinformation: Advanced Techniques in Fake News Detection and Mitigation
[ACM] 2026-6-4 | Green by Numbers: How Data Analytics is Powering a Sustainable Revolution
[ACM] 2026-6-3 | Cultivation Strategies for Digital Literacy among Teachers in Maritime Universities
[ACM] 2026-6-3 | Exploration of the Intelligent Teaching Model for “Python Programming Language” Course in the Context of New Business Disciplines
[ACM] 2026-6-3 | Expanding Participation in Urban Planning Through -Costume- Scenographics
[ACM] 2026-6-3 | Enhancing Sustainable Mobility: A Participatory Design Approach to Co-Develop Early-Concept of the User-Interfaces of Mobility-as-a-Service Digital Platform With International Student Drivers
[IEEE] 2026-6-3 | MOF-Derived Ni/NiO on Cu-Foam Electrode modified for Selective and Ultrasensitive Electrochemical Creatinine Detection_supp1-3695569.docx
[IEEE] 2026-6-3 | Reachability-Constrained Motion Planning and Control Integration Framework for DDEVs: A Forward Set Propagation Method
[IEEE] 2026-6-3 | Deep Reinforcement Learning Enabled Persistent Surveillance with Energy-Aware UAV-UGV Systems for Disaster Management Applications_supp2-3696943.mp4
[IEEE] 2026-6-3 | Promoting Emission Reduction of Coupled Power-Traffic Networks Based on Energy-Carbon Integrated Prices
[IEEE] 2026-6-3 | The Trust Paradox in LLM-Based Multi-Agent Systems: When Collaboration Becomes a Security Vulnerability
[IEEE] 2026-6-3 | GC-GAN: An Adversarial Attack Model for CPSS With Bipartite Graphs and Cooptimization Mechanisms
[IEEE] 2026-6-3 | Measuring the Topological Charge of Infrared Vortices via Nonlinear Interferometry
[IEEE] 2026-6-3 | Differential Game-Based Event-Triggered Impulsive Control for Disturbed Dynamical Systems
[IEEE] 2026-6-3 | C-PASS: Center-Fed Pinching Antenna System
[IEEE] 2026-6-3 | IEEE Transactions on Neural Networks and Learning Systems Information for Authors
[IEEE] 2026-6-3 | A High-Order Discretization Scheme for Surface Integral Equations for Analyzing the Electroencephalography Forward Problem
[IEEE] 2026-6-3 | Table of Contents
[IEEE] 2026-6-3 | A 58.9—73.7-GHz Quadrature Dual-Core Class-F
                    <sub>3,5</sub>
                    Oscillator with Tail-Assisted Implicit Quintupling
[IEEE] 2026-6-3 | Flexible &amp;#x03B2; - Phase PVDF-Cu-MAA Self-Powered Nanofiber Nanogenerator for Energy Harvesting Applications_supp1-3698890.pdf
[ACM] 2026-6-3 | User Interface Simplification for People with Computer Anxiety
[ACM] 2026-6-3 | Fidgeting in the Browser: An Empirical Study of a Virtual Self-Regulation Tool for ADHD
[ACM] 2026-6-3 | Quantitative Assessment of Generative AI Governance in Global Higher Education: A Multi-Dimensional Policy Spectrum Analysis of Elite Global Universities
[ACM] 2026-6-3 | Factors Influencing Digital Literacy Among Students in China's Vocational CollegesA Study of Structural Equation Models Based on SCT Theory
[IEEE] 2026-6-3 | Index Author
[IEEE] 2026-6-3 | Effective Drive Current and Capacitance Models for NCFET-based Ring Oscillator
[IEEE] 2026-6-3 | Design and Analysis of Compensation Networks in Resonant Inductive Power Transfer Accounting for Parasitic Effects
[IEEE] 2026-6-3 | MoS
                    <sub>2</sub>
                    :PVA-based Flexible Optoelectronic Reconfigurable Memristor for Neuromorphic Computing
[IEEE] 2026-6-3 | AECPP: Active Electrolocation System with Cooperative Path Planning for Micro-Small Underwater Vehicles
[IEEE] 2026-6-3 | Numerical Simulation and Optimization of a-IGZO Thin Film Transistor
[IEEE] 2026-6-3 | Transformer-Based Deep Learning Architecture for Automated Sleep Disorder Detection and Severity Analysis
[IEEE] 2026-6-3 | Investigating Performance of Voting Ensemble Model on Bearing Fault Classification
[IEEE] 2026-6-3 | Inductor-Based Active Cell Balancing Strategy for Electric Vehicle Battery Management Systems
[IEEE] 2026-6-3 | Comprehensive Study of Data-Driven Approaches for Ready Biodegradability Classification
[IEEE] 2026-6-3 | Energy-Efficient Optimization of FinFET Based Compute-In-Memory SRAM Arrays
[IEEE] 2026-6-3 | AI-Driven Brain Signal Analysis for Early Detection and Diagnosis of Neurological Disorders
[IEEE] 2026-6-3 | XpressWeed: Meta-Inspired Few-Shot Adaptation for Plant Weed Segmentation Using Texture Priors
[IEEE] 2026-6-3 | Wide Band and High Gain 1x2 Decagon Array Patch Antenna for 5GHz Applications
[IEEE] 2026-6-3 | Prediction of Power Quality Issues by Using Machine Learning
[IEEE] 2026-6-3 | Hybrid Blockchain Model for Privacy Preserving Supply Chain Data Sharing
[IEEE] 2026-6-3 | A Lightweight Phase-Aware U-Net for Single-Channel Speech Enhancement in Disaster Communication Systems
[IEEE] 2026-6-3 | From Post-Hoc Regulation to Runtime Governance: Ethics and Explainability in AI-Driven Education
[IEEE] 2026-6-3 | ROS-Controlled Mobile Manipulation System for Educational and Research Applications: Architecture and Simulation Validation with the MyAGV 2023 Platform
[IEEE] 2026-6-3 | Advanced Deep Learning for Multi-Modal Mental Health Disorder Detection: A Framework Synthesizing Behavioural, Textual, and Physiological Data
[IEEE] 2026-6-3 | Physical-Layer Security Analysis of Ultra-Dense Small-Cell Networks: An Ergodic Secrecy Rate Perspective with Interference
[IEEE] 2026-6-3 | Progressive Acoustic Stacking–Based Speaker Level System for Pathological Voice Disorder Detection
[IEEE] 2026-6-3 | Graph-Enhanced LLM Architecture for Reliable Data Management: Design Principles and Proof of Concept
[IEEE] 2026-6-3 | Diet Recommendations for Nutrition Planning Based on Patient Health Indicators Using Random Forest
[IEEE] 2026-6-3 | Predictive Modeling for Early Detection and Classification of Cardiovascular Diseases Using Logistic Regression
[IEEE] 2026-6-3 | Stability Enhancement of CNTFET Based Compute-In-Memory SRAM Systems
[IEEE] 2026-6-3 | A Hybrid Deep Learning Framework using Tab Transformer and Light GBM For Enhanced Network Intrusion Detection
[IEEE] 2026-6-3 | Intelligent Framework for Traffic Accident Risk Prediction Using Machine Learning
[IEEE] 2026-6-3 | Artificial Intelligence for Merging Modalities in Medical Imaging: A Fusion-Based Enhancement Approach
[IEEE] 2026-6-3 | Wi-Fi 7 as a Passive Radar: Decimeter-Level Human Activity Recognition for Healthcare and Security
[IEEE] 2026-6-3 | Quantum Key Distribution (QKD)- Based Cloud Security Model Integrated with Quantum Machine Learning(QML) for Threat Detection
[IEEE] 2026-6-3 | Decision Support System for Optimizing Rake Formation Strategies
[IEEE] 2026-6-3 | Artificial Language Intelligence for Speech Assistance Using Phoneme Analysis
[IEEE] 2026-6-3 | Methods for Driver Fatigue Detection Using Computer Vision and Machine Learning
[IEEE] 2026-6-3 | Application of a Systematic MBSE-Based Procedure to the Mechatronic Design of an Intralogistics Autonomous Self-Balancing Vehicle
[IEEE] 2026-6-3 | Intelligent Parking Space Allocation Using Integrated GNN, LSTM, and Deep RL: A Comprehensive Approach to Smart City Infrastructure
[IEEE] 2026-6-3 | Deep Learning based Few-Shot Industrial Defect Detection using Diffusion Priors in X-Ray Imagery for Enhanced Generalization
[ACM] 2026-6-4 | Facial Feature Recognition Study for Auxiliary Diagnosis of Down Syndrome
[ACM] 2026-6-4 | Transfer Learning for Agricultural Disease Recognition: Performance Evaluation of Modern CNN Architectures
[IEEE] 2026-6-3 | Calibration-Free, Self-Referenced Thermal Control Circuit for Silicon Photonics Microring Modulators
[IEEE] 2026-6-3 | Tumor Image Segmentation using Multimodal Generation and Vision Transformer Integration
[IEEE] 2026-6-3 | Table of Contents
[IEEE] 2026-6-3 | Accelerating High-Dimensional Waveform Optimization for Cognitive Radar via Decoupled Imitation-Reinforcement Learning
[IEEE] 2026-6-3 | Sensitivity Limits of SPR Sensors for Trace Acetone Detection in Breath Condensate
[IEEE] 2026-6-3 | SurfSurg6D: Geometry Consistent Dense Correspondence for Textureless Surgical Instrument Pose Estimation_supp1-3699201.mp4
[IEEE] 2026-6-3 | Ghost Target Suppression in PMCW-Based Sensing Systems under IQ Imbalance
[IEEE] 2026-6-3 | Automated and Near-Flawless Micropipette PIH Assembly to MEMS Nanoforce Sensor With A Robotic Microscopy System_supp5-3672876.mp4
[IEEE] 2026-6-3 | Spatiotemporal downscaling and nowcasting of urban land surface temperatures with deep neural networks
[IEEE] 2026-6-3 | Table of Contents
[IEEE] 2026-6-3 | Enabling Scalable Resizing in Tree-Based ORAM: A Dynamic Transformation Framework
[IEEE] 2026-6-3 | Dynamic Fractional-Order Model Predictive Control of Integrated PEM Electrolyzer and DC–DC Converter Based on Equivalent Circuits
[IEEE] 2026-6-3 | GVHMR: Gravity-View Coordinates for Global Human Motion Recovery From Monocular Videos
[IEEE] 2026-6-3 | Predictive Power Control based on Ultralocal PQ Theory for Power Sharing of Grid-Following Inverter in Microgrids
[IEEE] 2026-6-3 | DPFNet: A Detail-Preserved Pyramid Fusion Network for Remote Sensing Image Dehazing
[IEEE] 2026-6-3 | Sub-Look Decomposition: Analysis and Application for Ship Classification in TOPSAR Data
[ACM] 2026-6-3 | Research on the Path of Digital Intelligence Empowering Efficient Interaction in Vocational College Classrooms
[ACM] 2026-6-3 | Student Management Optimization Using Data Mining Techniques in Informatized Education
[ACM] 2026-6-3 | Construction of Visual Evaluation Model for Learning Competence of Computer Majors in Higher Vocational Education
[ACM] 2026-6-3 | Adolescent mental health evaluation model based on short video affective computing
[ACM] 2026-6-3 | A Prompt-Constrained Feedback Control Mechanism for Large Language Model-Based Peer Code Review Systems
[ACM] 2026-6-3 | Clarity: An AI-Powered Tool for Stuttering Detection and Fluency Tracking
[ACM] 2026-6-3 | ALADDIN: Efficient, High-Quality, AI-Assisted, Human-in-the-Loop ALT Text Generator
[ACM] 2026-6-3 | SASRec-AO: A Lightweight Sequential Recommendation Model with Attribute-Opinion Semantic Enhancement for E-commerce
[ACM] 2026-6-3 | AI-Driven Empowerment of Wall Painting: Innovative Practical Paths for Integrating Traditional Culture into College Students’ Ideological and Political Education
[ACM] 2026-6-3 | Human-AI Collaboration Patterns and Cognitive Load in Solving Engineering Mechanics Problems with LLM: Big Data Mining based on Dialogue Logs
[ACM] 2026-6-3 | A Comparative Experimental Study on the Impact of Different Teaching Models on Motor Skill Acquisition in Physical Education
[ACM] 2026-6-3 | Design Probes in Practice: Evolving Participatory Methods with Wheelchair Users
[ACM] 2026-6-3 | Designing Ecological Democracy: Agonistic and More-than-Human Approaches to Environmental Governance in Flanders
[ACM] 2026-6-3 | Are You Blocking Nonhuman Leadership? Five Questions to Find Out
[IEEE] 2026-6-3 | Spatially Aligned AI Modeling of Air Quality and Cough Intensity: An Integrated Approach to Environmental Respiratory Health
[IEEE] 2026-6-3 | Multiple Fruit Quality Assessment System
[IEEE] 2026-6-3 | NARNET-Based Traffic Prediction for Dynamic Spectrum Allocation: A Pre-FLATS-5G Baseline Study
[IEEE] 2026-6-3 | Hybrid Chaos-Based Black Widow Optimization and Genetic Algorithm for Multi-Objective Load Balancing in Cloud Computing
[IEEE] 2026-6-3 | Aquanext: Intelligent Aquaculture Based on IoT and AI for Sustainable Shrimp Farming in Sri Lanka
[IEEE] 2026-6-3 | Design and Analysis of an Ultrasonic Repeller to Combat Red Spider Mites in Tea Gardens
[IEEE] 2026-6-3 | Building Resilient Knowledge Infrastructures: A Sustainable Risk Governance Framework for Public Libraries in the Philippines
[IEEE] 2026-6-3 | Design and Performance Analysis of a Minkowski Fractal–Integrated Vivaldi Antenna for Microwave Imaging Applications
[IEEE] 2026-6-3 | Comparing BPR Vs. MSE Losses in the Context of Graph Based Recommenders
[IEEE] 2026-6-3 | Facial Emotion Detection Using Pre-Trained CNN Models: A Study on Fine-Tuning and Robustness in Real-Time Settings
[IEEE] 2026-6-3 | Adaptive Sampling Pattern Design and Sparse Estimation for Compressed Spectrum Sensing: A Hybrid Algorithm Approach
[IEEE] 2026-6-3 | EV Charging Mandates and Their Impact on Load Profiles in Multi-Unit Residential Buildings
[IEEE] 2026-6-3 | EcoWardrobe: an AI-Based System for Evaluating Sustainable and Ethical Fashion
[IEEE] 2026-6-3 | Exploring the Synergy between AI and 5G Technology in Promoting the Innovation of Industrial Energy Infrastructure
[IEEE] 2026-6-3 | EFECE: An Explainable Feature-Based Evaluation and Comparative Explanation Framework for Large Language Models
[IEEE] 2026-6-3 | An Adjustable Window for FIR Filter Design with Improved Spectral Characteristics and Application
[IEEE] 2026-6-3 | MentalBot: An AI-Driven Conversational System for Mental Health Monitoring Using Smart Wearable
[IEEE] 2026-6-3 | Deep Learning-Driven Parkinson's Disease Severity Detection Using Hybrid Convolutional Neural Network-Fuzzy Logic
[IEEE] 2026-6-3 | Fine-Tuning and Deployment of a Vision-Language-Action Based Robotic Foundation Model for Open-Source Robot Arms
[IEEE] 2026-6-3 | AI-Driven Predictive Model for Coronary Artery Disease Diagnosis
[IEEE] 2026-6-3 | Quantifying the Impact of Load Outliers on Demand Charges for Non-residential Customers
[IEEE] 2026-6-3 | Design and Development of a Microcontroller-based Lithium ION Battery Tester
[IEEE] 2026-6-3 | ChipGPT: Leveraging Large Language Models for Automated and Optimized Soc Floorplanning
[IEEE] 2026-6-3 | Advancing Digital Wallet Security Through Multi-Factor Authentication and Homomorphic Encryption-Based Privacy Preservation
[IEEE] 2026-6-3 | Hybrid Feature Selection and Classification for EEG-Based Epileptic Seizure Detection Using SMO and Advanced Classification Models
[IEEE] 2026-6-3 | A Multimodal Hybrid Ensemble Approach Integrating ML and Explainable AI for Alzheimer's Prediction
[IEEE] 2026-6-3 | PLC based Water Distribution and Leakage Detection System with Quality Monitoring
[IEEE] 2026-6-3 | A Robust Data Security Architecture for Iot-Enabled Smart Agriculture Using Machine Learning
[IEEE] 2026-6-3 | Design of Low-Power and Area-Optimized Array Multiplier using Hybrid Logic Structure
[IEEE] 2026-6-3 | Digital Twins in Power Electronics and Motor Drives: Architectures, Challenges, and Future Directions
[IEEE] 2026-6-3 | Health Recommendation Model for Student Drug Addiction Risk Using Automated Machine Learning and Optimized Feature Selection
[IEEE] 2026-6-3 | Enhancing Security Performance in Large-Scale UAVs System Based on Mean Field Game Theory
[IEEE] 2026-6-3 | Deep Hybrid CNN–ViT Model with Neural Architecture Search for Robust Breast Cancer Image Classification
[IEEE] 2026-6-3 | WeRa: LoRa Over Wi-Fi
[IEEE] 2026-6-3 | Multi-Layer Perceptron for Hybrid Energy Storage Efficiency Prediction
[IEEE] 2026-6-3 | A Lightweight and Explainable Framework for Emotion Cause Pair Extraction
[IEEE] 2026-6-3 | Comparison of Intelligent Thrust Control Strategies for Wall Climbing Adhesion Systems for Wall Dust Cleaning Application
[IEEE] 2026-6-3 | Cancelable scheme for fingerprint template protection using PUF and ARX Encryption
[IEEE] 2026-6-3 | Enhanced Wireless Charging Station with Smart User Management and Battery Management System
[ACM] 2026-6-3 | Design and Implementation of Intelligent Composition Evaluation and Writing Improvement System Based on Multimodal Interaction
[ACM] 2026-6-3 | Large Language Models for Web Accessibility: A Systematic Literature Review
[ACM] 2026-6-3 | Exploring User Experience of AI Teaching Assistant Systems Through an Extended Technology Acceptance Model
[ACM] 2026-6-3 | Industry-Education Integrated Reinforcement Learning Course Design: An Empirical Study
[ACM] 2026-6-3 | V-MIML: A Visualization-Oriented Educational Framework for Undergraduate Medical Imaging Technology Training in Medical Image Processing and Machine Learning
[ACM] 2026-6-3 | The application of a financial fraud identification model integrated with knowledge graphs in digital auditing
