[2026-07-03 11:33:31] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[arXiv] 2026-07-02 | Inverse Suitability: Identifying Condition Difficulty and Rider Skill from Behavioural Outcomes via Continuous-Item Response Theory
[arXiv] 2026-07-02 | NAVER LABS Europe Submission to the Instruction-following 2026 Short Track
[arXiv] 2026-07-02 | The Eichler--Selberg trace formula for Hilbert cusp forms, the class numbers of quartic CM fields, and their distributions
[arXiv] 2026-07-02 | Underspecification does not imply Incoherence: The Risks of Semantic Collapse in Coding Models
[arXiv] 2026-07-02 | A topological approach to an elliptic problem
[arXiv] 2026-07-02 | Curvature-driven wall accumulation in chiral active particles
[arXiv] 2026-07-02 | Conditional Co-Ablation: Recovering Self-Repair Backups in Transformer Circuits
[arXiv] 2026-07-02 | PhysMani: Physics-principled 3D World Model for Dynamic Object Manipulation
[arXiv] 2026-07-02 | Beyond Textual Repository Exploration: Dual-Modal Structural Reasoning for Agentic Issue Resolution
[arXiv] 2026-07-02 | Sparse-Aware Vector Quantization for Bandwidth-Efficient Collaborative 3D Semantic Occupancy Prediction
[arXiv] 2026-07-02 | TUDUM: A Turkish-Thinking Reasoning Pipeline for Qwen3.5-27B
[arXiv] 2026-07-02 | $J$ and $H$ band sky brightness measurements from polar day to polar night at Dome A, Antarctica
[arXiv] 2026-07-02 | Low-Latency Task-Oriented Image Transmission with Opportunistic Spectrum Access
[arXiv] 2026-07-02 | Dynamics of Self-Interacting Dark Sectors
[arXiv] 2026-07-02 | SFKD: Spatial--Frequency Joint-Aware Heterogeneous Knowledge Distillation via Multi-Level Wavelet Spectral Interaction
[arXiv] 2026-07-02 | Rethinking Post-Hoc Calibration in Semantic Segmentation
[arXiv] 2026-07-02 | Late-Time Fractional-Order Identification in Caputo Diffusion Equation
[arXiv] 2026-07-02 | Rank-Then-Act: Reward-Free Control from Frame-Order Progress
[arXiv] 2026-07-02 | Topologically free minimal actions without dynamical comparison
[arXiv] 2026-07-02 | Interaction-rotation driven localization-delocalization of eigenstate in Fock space: An exact diagonalization study on trapped Bose gas
[arXiv] 2026-07-02 | Diversity-aware View Partitioning for Scalable VGGT
[arXiv] 2026-07-02 | Growth rates, stable subgroups, and regular languages
[arXiv] 2026-07-02 | An Exploratory Study on LLM-Generated Code and Comments in Code Repositories
[arXiv] 2026-07-02 | DL-SLAM: Enabling High-Fidelity Gaussian Splatting SLAM in Dynamic Environments based on Dual-Level Probability
[arXiv] 2026-07-02 | Constructible Words Characterize Rational Languages of Words Indexed by Scattered Linear Orderings
[arXiv] 2026-07-02 | TESS's First Bound Microlensing Planet: A Binary Microlensing Event Revealing a Planetary Companion toward the Galactic Plane
[arXiv] 2026-07-02 | Coalesced Matrix-Free Finite Elements in Cell-Wise Storage
[arXiv] 2026-07-02 | Bimodules in differential polynomial rings
[arXiv] 2026-07-02 | A Maximum-Entropy Method for Zero-Skewness Valence GPDs Constrained by Nucleon Electromagnetic Form Factors
[arXiv] 2026-07-02 | Real-Time Visual Intelligence on Low-Cost UAVs: A Modular Approach for Tracking, Scanning, and Navigation
[arXiv] 2026-07-02 | DisciplineGen-1M: A Large-Scale Dataset for Multidisciplinary Visual Generation and Editing
[arXiv] 2026-07-02 | Invariance Entropy in the Dust
[arXiv] 2026-07-02 | A Comprehensive Analysis of $B_s \to D_s^{**}\ellν_\ell$ Decays Within and Beyond the Standard Model
[arXiv] 2026-07-02 | A Minkowski Theory for the Exterior Capacitary Volumes and A Resolution of the Pólya-Szegö Conjecture
[arXiv] 2026-07-02 | Disorder-induced superconductivity in graphene
[arXiv] 2026-07-02 | BamiBERT: A New BERT-based Language Model for Vietnamese
[arXiv] 2026-07-02 | Cross Domain Few-Shot Class-Incremental Audio Classification Via Adversarial Contrastive Learning
[arXiv] 2026-07-02 | ArcAD: Anomaly-Rectified Calibration for Cold-Start Supervised Anomaly Detection
[arXiv] 2026-07-02 | Partition Rank and Algebraic Circuit Lower Bounds
[arXiv] 2026-07-02 | Challenges and Recommendations for LLMs-as-a-Judge in Multilingual Settings and Low-Resource Languages
[arXiv] 2026-07-02 | Purified OPSD: On-Policy Self-Distillation Without Losing How to Think
[arXiv] 2026-07-02 | Unlocking Speech-Text Compositional Powers: Instruction-Following Speech Language Models without Instruction Tuning
[arXiv] 2026-07-02 | Storm Track Self-Reinforcement Through Cloud Radiative Effects
[arXiv] 2026-07-02 | An Additive MLP-GNN Framework for Characterizing Chemical and Structural Contributions to Aqueous Solubility
[arXiv] 2026-07-02 | Criticality-Based Guard Rail Validation for AI Agent Decisions in Autonomous Telecom Networks
[arXiv] 2026-07-02 | The Binary Crisis Clock: Controlled by Sparse Ternary Interventions
[arXiv] 2026-07-02 | Gamma-ray production cross sections in proton interactions with natMg, natSi and 56Fe targets: measurement over the energy range of $E_p = 66$-125 MeV, data analysis, results and discussion. Astrophysical implications
[arXiv] 2026-07-02 | Online Resource Allocation with Continuous Random Consumption: Regret under Degeneracy
[arXiv] 2026-07-02 | Theory of collective learning in populations of adaptive agents
[arXiv] 2026-07-02 | Thermodynamics of Quantum Reservoir Computing
[arXiv] 2026-07-02 | Path-Measure Dynamics of Attention-Driven World Models: A Nonlocal Onsager--Machlup Approach
[arXiv] 2026-07-02 | Extending the computational reach of Quantum Annealing using Reverse Annealing
[arXiv] 2026-07-02 | Pore-scale distribution and transport of active particles in a two-dimensional lattice
[arXiv] 2026-07-02 | Universal minimal flows of the homeomorphism groups of pseudo-solenoids are non-metrizable
[arXiv] 2026-07-02 | ART for Diffusion Sampling: Continuous-Time Control and Actor-Critic Learning
[arXiv] 2026-07-02 | Quaternion Nondecimated Wavelet Descriptors for Multiclass Breast Histology Classification
[arXiv] 2026-07-02 | Three-Dimensional Spatial Correlation Modeling for Cylindrical mMIMO Arrays in HAPS
[arXiv] 2026-07-02 | Black Boxes in Black Hole Imaging
[arXiv] 2026-07-02 | Development of a cosmic ray detector using CMOS sensors embedded in smartphones and Raspberry Pi devices
[arXiv] 2026-07-02 | Structured Gaussian Processes for Uncertainty-Aware Classification of High-Dimensional, Small-Sampled Omics Data
[arXiv] 2026-07-02 | Separating Geodesic Structure and Product Structure
[arXiv] 2026-07-02 | LongEgoRefer: A Benchmark for Long-Form Egocentric Video Referring Expression Comprehension
[arXiv] 2026-07-02 | The Wigner function for Integer quantum Hall effect
[arXiv] 2026-07-02 | An Optimisation Framework for the Well-Conditioned Training of Physics-Informed Neural Networks
[arXiv] 2026-07-02 | Denser $\neq$ Better: Limits of On-Policy Self-Distillation for Continual Post-Training
[arXiv] 2026-07-02 | Fluctuations of the Sherrington--Kirkpatrick free energy at critical temperature
[arXiv] 2026-07-02 | Made to Feel: How Designers Bring Emotions into Affective Visualization
[arXiv] 2026-07-02 | Alignment Is All You Need For X-to-4D Generation
[arXiv] 2026-07-02 | A Probabilistic Sign Rule for Quotients of Positive Series and Integral Transforms
[arXiv] 2026-07-02 | What LLM Agents Say When No One Is Watching: Social Structure and Latent Objective Emergence in Multi-Agent Debates
[arXiv] 2026-07-02 | The structure of FAC posets and the Aharoni--Korman conjecture
[arXiv] 2026-07-02 | Controllable Sim Agents with Behavior Latents
[arXiv] 2026-07-02 | Cut-off Jastrow Factors and Spectral Barron Regularity of Coulombic Electronic Wave Functions
[arXiv] 2026-07-02 | Probabilistic Memory for Trustworthy Edge Intelligence
[arXiv] 2026-07-02 | OrbitQuant: Data-Agnostic Quantization for Image and Video Diffusion Transformers
[arXiv] 2026-07-02 | Boundary observables in string field theory
[arXiv] 2026-07-02 | On invariant subalgebras of noncommutative Poisson boundaries for higher rank lattices
[arXiv] 2026-07-02 | EvoPolicyGym: Evaluating Autonomous Policy Evolution in Interactive Environments
[arXiv] 2026-07-02 | WorldSample: Closed-loop Real-robot RL with World Modelling
[arXiv] 2026-07-02 | Directed univalence for simplicial objects in an $\infty$-topos
[arXiv] 2026-07-02 | Bottlenecks in Hamiltonian-Adaptive Resolution Simulation Method for Modeling Interfaces
[arXiv] 2026-07-02 | Chebyshev Approximations of Feynman Integrals for Collider Physics
[arXiv] 2026-07-02 | Black Hole Persistence in Scalar Tensor Theories
[arXiv] 2026-07-02 | Measurement of solar $pp$ neutrino flux with the new PandaX-4T data
[arXiv] 2026-07-02 | Intrinsic Brown--York Type Mass at Infinity in Four Dimensions
[arXiv] 2026-07-02 | An Inner-Scaled Linear Contribution to Wall-Pressure Variance at High Reynolds Number
[arXiv] 2026-07-02 | The Gauss periods and cyclotomic matrices involving Gauss sums over cyclic groups
[arXiv] 2026-07-02 | WattGPU: Predicting Inference Power and Latency on Unseen GPUs and LLMs
[arXiv] 2026-07-02 | DecompRL: Solving Harder Problems by Learning Modular Code Generation
[arXiv] 2026-07-02 | Steerability via constraints: a substrate for scalable oversight of coding agents
[arXiv] 2026-07-02 | Generative Autonomous Grid Control: Integrating Decision Transformers with a Two-Stage Safety Stack
[arXiv] 2026-07-02 | Sobolev stability of the $L^2$-projection on hybrid meshes
[arXiv] 2026-07-02 | Data Comics for Education: Evaluating Effectiveness, Benefits, and the Ethics of AI-Assisted Creation
[arXiv] 2026-07-02 | Mesoscopic Linear Statistics for Two Ensembles of Quantum Graphs
[arXiv] 2026-07-02 | Assessing Ultra-Cool Dwarf Contamination in Photometrically Selected High-Redshift Galaxy Samples
[arXiv] 2026-07-02 | A PDE-Based Framework for Generative Modeling Beyond Classical Score-Based Diffusion
[arXiv] 2026-07-02 | Eliminating positive-measure level sets by small Lipschitz perturbations
[arXiv] 2026-07-02 | Analyses on Christoph Clavius' Reports of Total Solar Eclipses in 1560 and 1567: Key References for the Centennial Variations of the Earth's Rotation Speed and the Solar Radius
[arXiv] 2026-07-02 | Evidence for Deconfined Magnetic Order in the Kitaev-$J_3$ Model
[arXiv] 2026-07-02 | Dispersive-optical-model analysis of the asymmetry dependence of neutron skins
[arXiv] 2026-07-02 | G-RRM: Guiding Symbolic Solvers with Recurrent Reasoning Models
[arXiv] 2026-07-02 | Guiding Human Validation of LLM-Generated Code via Verifiable Literate Programming
[arXiv] 2026-07-02 | Scalable and Distributed Silhouette Approximation
[arXiv] 2026-07-02 | Symmetries of Pauli Noise from Lindbladian Dynamics
[arXiv] 2026-07-02 | Discovery of sulfur oxides in the ejecta of a B[e] supergiant
[arXiv] 2026-07-02 | Fast and Accurate Anomaly Detection in Time Series
[arXiv] 2026-07-02 | $Λ$ hyperons in core-collapse supernovae: Equilibration and neutrino opacities
[arXiv] 2026-07-02 | Positive Cones of Parabolic Grassmann Bundle over a curve
[arXiv] 2026-07-02 | HaloGuard 1.0: An Open Weights Constitutional Classifier for Multilingual AI Safety
[arXiv] 2026-07-02 | Anisotropic tunneling through magnetic barriers in 8-Pmmn borophene
[arXiv] 2026-07-02 | Anisotropic nanoscale coherent polariton transport in CrSBr
[arXiv] 2026-07-02 | Algebraic Model Counting for Global Analysis of Optimal Decision Trees
[arXiv] 2026-07-02 | Towards graviton lasing from squeezed ultra-cold systems
[arXiv] 2026-07-02 | LMPAN: A Lightweight Multi-Path Alignment Network for Joint Full-Duplex Acoustic Echo Cancellation and Noise Suppression
[arXiv] 2026-07-02 | NGTS-39 b: A 58 d transiting warm Jupiter in an eccentric orbit
[arXiv] 2026-07-02 | File-Level Copying Is an Implicit Dependency in Open Source
[arXiv] 2026-07-02 | SPLIT: Cross-Lingual Empathy and Cultural Grounding in English and Ukrainian LLM Responses
[arXiv] 2026-07-02 | PWM-ArtGen: Part World Model for Articulated Object Generation
[arXiv] 2026-07-02 | Four-channel prototype using coherent combining of ultrashort laser pulses for dipole configuration approximation
[arXiv] 2026-07-02 | Spatio-Temporal and Clinical Conditioning for Fine-Grained Radiology Report Retrieval
[arXiv] 2026-07-02 | A depth resolved investigation of hydrogen uptake in carbon based nanostructures by soft-to-hard photoemission spectroscopy
[arXiv] 2026-07-02 | Mirror Illusion Art
[arXiv] 2026-07-02 | Resolution of the Detection Threshold Conjecture for Random Geometric Graphs in the $d>n$ Regime
[arXiv] 2026-07-02 | Integrated Wake-Up Radio and MIMO Solution for Cellular IoT Networks
[arXiv] 2026-07-02 | A Stereo Visual SLAM System Using Object-Level Motion Estimation and Geometric Filtering Based on Cross Disparity
[arXiv] 2026-07-02 | Born Discrete, Made Smooth: Variational Formulation of Shallow Neural Networks
[arXiv] 2026-07-02 | HVAF Spraying of NiTi Coatings: Microstructure, Phase Transformation and Shape Memory Behavior
[arXiv] 2026-07-02 | Meshfree versus grid-based Schrödinger solvers for modeling the interactions between free-electron wave packets and light
[arXiv] 2026-07-02 | Traceable Fault Diagnosis for Battery Energy Storage Systems via Retrieval-Augmented Multi-Agent O&M Assistant
[arXiv] 2026-07-02 | Hacking measurement-device-independent quantum key distribution
[arXiv] 2026-07-02 | Energy transfer, Intermittency and Mixing in Shear-Driven Stratified Turbulence
[arXiv] 2026-07-02 | Multimodal Knowledge Edit-Scoped Generalization for Online Recursive MLLM Editing
[arXiv] 2026-07-02 | A Multi-Branch Hierarchy-Aware Framework for Heterogeneous Audio Classification
[arXiv] 2026-07-02 | Assessing VLM Reliability for Medical Image Quality Evaluation Under Corruption and Bias
[arXiv] 2026-07-02 | Object Aligner: A Configurable JSON Schema Similarity Score for Graphs, Applied to LLM Prompt Optimization
[arXiv] 2026-07-02 | Genuine and strongly genuine polynomials: With an application to the persistence of Galois groups under specialization
[arXiv] 2026-07-02 | The ring wants to be broken
[arXiv] 2026-07-02 | Probabilistic Low-Voltage Peak Load Forecasting with Time Series Foundation Models Evaluated on Application-Oriented Metrics
[arXiv] 2026-07-02 | Towards a Phonology-Informed Evaluation of Multilingual TTS
[arXiv] 2026-07-02 | Beyond Supervised Clarification: Input Rewriting with LLMs for Dialogue Discourse Parsing
[arXiv] 2026-07-02 | On a Smoothed Walfisz Divisor Problem
[arXiv] 2026-07-02 | Filter-induced linear topologies on residuated lattices: Hausdorffness, profiniteness, and finiteness conditions
[arXiv] 2026-07-02 | Robust for the Wrong Reasons: The Representational Geometry of LLM Robustness to Science Skepticism
[arXiv] 2026-07-02 | Fermiology and spin polarization of topological surface states in PtBi$_2$
[arXiv] 2026-07-02 | Second-order fluctuations for a phase transition in random partitions
[arXiv] 2026-07-02 | CausalSteward: An Agentic Divide-Conquer-Combine Copilot for Causal Discovery
[arXiv] 2026-07-02 | Low-regularity finite element elasticity complexes with hybridizable stresses on tetrahedral Alfeld splits
[arXiv] 2026-07-02 | Transferring supremum-norm rates and weak convergence of covariance kernel estimators to functional principal components
[arXiv] 2026-07-02 | Tuning quantum magic of pure quantum chaotic states with a gravity dual
[arXiv] 2026-07-02 | Real-weighted Diameter and Eccentricity of Minor-free and Bounded VC-dimension Graphs in Truly Subquadratic Time
[arXiv] 2026-07-02 | ContextSniper: AntTrail's Token-Efficient Code Memory for Repository-Level Program Repair
[arXiv] 2026-07-02 | Markovian Arrival Process Parameter Estimation of Quasi-birth-death Queueing Systems with Utilization Data
[arXiv] 2026-07-02 | Beyond Laplace: Closed-form wrapped Gaussian posterior approximations on statistical manifolds
[arXiv] 2026-07-02 | Measuring Opportunity Cost with Stock Lifetime Value
[arXiv] 2026-07-02 | Rethinking Complexity Metrics for LLM-Integrated Applications: Beyond Source Code
[arXiv] 2026-07-02 | SABER: A Semantic-Aligned Brain Network Analysis Framework via Multi-scale Hypergraphs
[arXiv] 2026-07-02 | FoundDP: Revisiting Weak Disparity Observability in Dual-Pixel Depth Estimation
[arXiv] 2026-07-02 | The slope of the friction law of hertzian-asperity--based metainterfaces has a finite positive lower bound
