[2026-05-16 10:17:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-15
正在获取论文...
[IEEE] 2026-5-15 | Bio-Inspired Hybrid Antenna Synthesis for Optimizing 5G Network Slicing in Tripoli’s mmWave HetNet
[IEEE] 2026-5-15 | Integration of Power Electronics in Hydroponic Chamber
[IEEE] 2026-5-15 | IoT-Enabled Precision Public Distribution System with Servo-Controlled Commodity Dispensing and Real-Time Transparency
[IEEE] 2026-5-15 | 68.22 TOPS/W Full Boolean Logic Supportable eDRAM-Based Digital CIM with Energy-Efficient Input-Aware Toggle-Rate-Reduced Adder
[IEEE] 2026-5-15 | A 5nm 91.43 TOPS/W 4-Chiplet Generalizable-Rendering-Processor with UCIe-Enabled Cross-Die-Cache and Balance-Aware Progressive Multi-Level Sparsity
[IEEE] 2026-5-15 | A 1.6-to-16 GHz Sub-1-LSB INL
                    <sub>pp</sub>
                    7-bit Phase Interpolator Using Constant-Load Unit with Trimming-Free Digital Calibration in 28-nm CMOS
[IEEE] 2026-5-15 | A Fully Integrated SPAD Sensor with Photoluminescent Encapsulation and Die-Bonded μLEDs for Implantable Oxygen Monitoring
[IEEE] 2026-5-15 | Benefits of a ComSoc Membership
[IEEE] 2026-5-15 | IEEE Women in Engineering
[IEEE] 2026-5-15 | ROM-LTE: A 28nm 16.1TOPS/W ROM-Based LUT Tensor Engine with Complementary ROM and Switching-Suppressed Latch-Based PE for Fine-Tuning-Free ML Inference
[IEEE] 2026-5-15 | A Hybrid Intelligence Framework for Systematic Symptom Reasoning and Precision-Oriented Diagnostic Inference
[IEEE] 2026-5-15 | A Framework Integrating Agile Software Development Principles for Co-Design and Participatory Cost-Benefit Evaluation in Digital Agriculture
[IEEE] 2026-5-15 | Modulated red/blue Balance from LED Lighting Affects Growth and Quality Parameters in Greenhouse Grown Crops
[IEEE] 2026-5-15 | An H-Band CMOS Frequency Doubler with 6.01dBm Single-Element P
                    <sub>out</sub>
                    and 1.49%-DC-to-RF-Efficiency Using Dual-Harmonic Continuous-Mode Tuning Technique
[IEEE] 2026-5-15 | A Unified Simulation and Hardware Framework for Path Planning in Wheeled Mobile Robots with 2D Augmented Reality-Based Sensing
[IEEE] 2026-5-15 | Combating Employment Scams to Safeguard Jobseekers from Fraudulent Postings Using an Interactive AI Chatbot Framework
[IEEE] 2026-5-15 | Energy and Optical Assessment of Glazing Systems Equipped with Solid-Solid Phase Change Materials in Cold Climates
[IEEE] 2026-5-15 | μxer: Cross-Domain Split Mixer-Based Deep Learning Approach for Healthcare and Eco-Health
[IEEE] 2026-5-15 | Performance Comparison of MPI Collectives in Various Offloading Modes
[IEEE] 2026-5-15 | Computational Fluid Dynamics Modeling for Thermal Efficiency Enhancement in Parabolic Trough Collectors for Solar Stills
[IEEE] 2026-5-15 | AI-Driven MRI Classification of Alzheimer's Disease: A Transparent Pipeline with Systematic Preprocessing and Hybrid Model
[IEEE] 2026-5-15 | A Multimodal Adaptive Path Optimization Algorithm for Path Selection
[IEEE] 2026-5-15 | GW-SegNet: A Real-Time Semantic Segmentation Network for Autonomous Driving Integrating Frequency Perception and Geometric Priors
[IEEE] 2026-5-15 | Few-Shot Transfer Learning for Fault Detection and Classification in Wireless Sensor Networks
[IEEE] 2026-5-15 | Design of a Mobile Intelligent Data Acquisition and Monitoring System based on Web Network Architecture
[IEEE] 2026-5-15 | Flexible Load Self-Optimizing Voltage Regulation Method for Distribution Network Substation Area
[IEEE] 2026-5-15 | MPC-Based Cooperative Search Path Planning for Cross-Domain Heterogeneous Unmanned Swarms
[IEEE] 2026-5-15 | Research on Comprehensive Evaluation and Fault Diagnosis Methods for GIS Insulation Status Based on Gas Detection
[IEEE] 2026-5-15 | Design Method of a Simulation-Based Configuration System for Distributed Communication Devices in Rural Distribution Networks
[IEEE] 2026-5-15 | A Deep Learning Ensemble Framework for Accurate Peripheral Blood Cell Classification from Microscopic Image
[IEEE] 2026-5-15 | Experimental Comparison of PI and Model Predictive Control for Level Regulation of a Nonlinear Conical Tank
[IEEE] 2026-5-15 | A LoRaWAN-based Landslide Early Warning System using Unsupervised AI
[IEEE] 2026-5-15 | Optimization of Intra Prediction Filter for AVS3
[IEEE] 2026-5-15 | FSFVE: Few Shot Compressed Face Video Enhancement
[IEEE] 2026-5-15 | Construction of a Deep Learning-Based Model for Sports Injury Risk Prediction and Early Intervention
[IEEE] 2026-5-15 | LoRa-Based Long Range Communication System for Rural and Disaster Affected Areas
[IEEE] 2026-5-15 | Paths toward efficient hydrogen energy production: innovative fuel cell technology
[IEEE] 2026-5-15 | DSTSFN: A Dual-Path Dynamic-Static Feature Fusion Network for Robust Epileptic Seizure Detection
[IEEE] 2026-5-15 | ICISES 2025 Content Announcement Page
[IEEE] 2026-5-15 | Prompt-Augmented BERT Pseudo-Labeling for Unsupervised Topical Text Classification
[IEEE] 2026-5-15 | Video Face Recognition Using Video Vision Transformer (ViViT): An Efficient Pathway Towards Enhanced Security and Surveillance
[IEEE] 2026-5-15 | A Hybrid Machine Learning Framework for Intelligent BotNet Intrusion Detection in IoT Networks
[IEEE] 2026-5-15 | Design and Optimization of MEMS Variable-Area Capacitive Pressure Sensors for Improved Sensitivity and Linearity in Fingertip Tactile Sensing
[IEEE] 2026-5-15 | IEEE Computer Graphics and Applications
[IEEE] 2026-5-15 | An ANN-based Digital Twin for PCB Temperature Monitoring: Development and Validation
[IEEE] 2026-5-15 | Development of a Web-Based Document Management System for Quality Assurance Office of Earist Cavite Campus Based on ISO/IEC 25010 Software Quality Assessment
[IEEE] 2026-5-15 | Author Index
[IEEE] 2026-5-15 | A Defect-Informed Phase-Field Model for Gate Oxide Breakdown in SiC MOS Structures
[IEEE] 2026-5-15 | The Effect of Flow Rate on Flow-Accelerated Corrosion of 2205 Stainless Steel and the Suitability of Data-Driven Model were Studied
[IEEE] 2026-5-15 | Detection of Phishing URLs Using Machine Learning and Multi-Level Feature Extraction
[IEEE] 2026-5-15 | Design and Development of a Low Cost 5 - DOF Robotic Arm for Surgical Robotics Education and Prototyping
[IEEE] 2026-5-15 | Author Index
[IEEE] 2026-5-15 | Human-Like Hiring at Scale: A Conversational AI and Computer Vision Approach
[IEEE] 2026-5-15 | Biquadratic Exchange Coupling Effect on the Magnetic Properties of (Fe/Ti) Multilayers
[IEEE] 2026-5-15 | Machine Learning-Based Prediction of Metal Nanoparticle Toxicity in Human Cell Lines: A Preliminary Contribution to the Development of Nanotoxicology in Peru
[IEEE] 2026-5-15 | Electronic and Magnetic Study of the Composition of Fe
                    <sub>75</sub>
                    Al
                    <sub>25</sub>
                    Prepared by arc Furnace
[IEEE] 2026-5-15 | Sustainable Nanotechnology in Forensics: Utilizing Tea-Based Iron Nanoparticles for Latent Fingerprint Development
[ACM] 2026-5-15 | A Convertible Bond Four-Factor Investment Strategy Driven by Optimization Algorithms: Evidence from the Chinese Market
[ACM] 2026-5-15 | Design of a Dual-Core Architecture Intelligent Logistics Robot Based on Machine Vision
[ACM] 2026-5-15 | Research Progress in AI-Empowered Remote Sensing Monitoring of Land Encroachment
[ACM] 2026-5-15 | EDN-YOLO: Improved YOLOv10 For Small UAV Detection In Real Time
[ACM] 2026-5-15 | Design of an Inclusive Travel Application for Users with Color Vision Deficiency: A Multi-modal Interaction Approach
[ACM] 2026-5-15 | TCFM: Towards Semantic-Aligned and Consistent Fusion for Multimodal Sentiment Analysis with a Text-Centered Framework
[IEEE] 2026-5-15 | AI and Digital Twin-Based Multi-Operator Collaboration for 6G Use Cases
[IEEE] 2026-5-15 | 2025 International Conference on Intelligent Manufacturing, Robotics and Automation (IMRA)
[IEEE] 2026-5-15 | Rivic: Reversible Image Hiding for Robust and Secure Visual Communication
[IEEE] 2026-5-15 | EAR-Net: Edge-Guided Adapter-Enhanced Recursive Fusion Network for Small Object Detection in Remote Sensing Imagery
[IEEE] 2026-5-15 | S2C-Net: SAM2-Based Dual-Domain Feature Reconstruction and Semantic Decoupling for Tiny Remote Sensing Object Counting
[IEEE] 2026-5-15 | Box Embedding With Probabilistic Reasoning for FOL Queries Over Knowledge Graph
[IEEE] 2026-5-15 | Joint Antenna Rotation and IRS Beamforming for Multi-User Uplink Communications
[IEEE] 2026-5-15 | Do I Have Your Attention Now? Supporting Attention in Dynamic Virtual Environments_supp1-3693478.mp4
[IEEE] 2026-5-15 | Joint Analysis of DRX Power Efficiency and QoE for DASH Streaming over Cellular Networks_supp1-3693483.pdf
[ACM] 2026-5-15 | Discovery and Potential Assessment of China’s Tourism &amp; Recreation Resources via Big Data and Knowledge Graphs
[ACM] 2026-5-15 | Research and Practice on Resume-Job Matching Model Based on Multi-modal Fusion
[ACM] 2026-5-15 | Machine Learning for Corporate Default Risk: Improving Prediction Accuracy in an Era of Globalization and Digitalization
[ACM] 2026-5-15 | Research on Evaluation and Driving Mechanism of Green Total Factor Productivity of Listed Manufacturing Companies Based on DEA-Malmquist and Machine Learning
[ACM] 2026-5-15 | Construction and Application of a Digital Twin System for Rural Cultural Tourism Scenarios
[ACM] 2026-5-15 | Analysis Model of the Impact of Urban Public Facilities on Residents' Welfare Based on Data Mining
[ACM] 2026-5-15 | Random Forest Analysis of Digital Finance for Community Governance and Resident Well-being
[ACM] 2026-5-15 | Research on the Resilience Measurement of the Agricultural Supply Chain Enabled by Machine Learning and Its Digital Driving Factors
[ACM] 2026-5-15 | Logistic Regression and Random Forest–Enhanced Credit Management for Cross-border E-commerce in the Big Data Era
[ACM] 2026-5-15 | Deciphering Cognitive Drivers of ECE Support via Random Forest and K-Means Clustering
[ACM] 2026-5-15 | Investigation into the Combination and Implementation of Virtual Reality and Artificial Intelligence in Sports Dance Instruction
[ACM] 2026-5-15 | Research and Practice on the Innovation of Engineering Mathematics Teaching Model Empowered by Artificial Intelligence
[ACM] 2026-5-15 | Construction of Non-Commissioned Officer Post Competency Atlas Based on Factor Analysis and Random Forest Algorithm
[ACM] 2026-5-15 | Research on the Design of Learning Paths Based on Knowledge Maps
[ACM] 2026-5-15 | AI Promotes the Development of Financial Technology
[ACM] 2026-5-15 | Research on the Construction of an AI Agent for Course Assistance Based on Coze Taking the “Software Testing” Course as an Example
[ACM] 2026-5-15 | Large-Language-Model-Supported BOPPPS Teaching for Maritime ESP: A Quasi-Experimental Study in a Chinese Vocational College
[ACM] 2026-5-15 | Construction of a Generative AI Personalized Feedback Model for English Language Acquisition: Innovative Algorithm and Experimental Validation
[ACM] 2026-5-15 | Towards Reliable Forgetting: A Survey on Machine Unlearning Verification
[ACM] 2026-5-15 | HumanEval-V: Systematic Evaluation of Visual Reasoning in Large Multimodal Models for Code Generation
[IEEE] 2026-5-15 | CubeSat Networks for Planning-Grade Environmental Intelligence in Power Systems
[IEEE] 2026-5-15 | Undergraduate Research on Physically Informed Transmission Line Design
[IEEE] 2026-5-15 | Impact of Forecasted Data on One-Day Ahead Solar Irradiance Forecasting
[IEEE] 2026-5-15 | IoT-Enabled Deep Learning Framework for Real-Time Fault Detection and Prediction in Photovoltaic System
[IEEE] 2026-5-15 | A Novel Method for Appliance Identification, Swap Detection, and Incipient Fault Diagnosis for HEMS
[ACM] 2026-5-15 | Research on User Perception and Product Differentiation Path of Bank of Communications' Digital Transformation——A K-means Clustering–Based Analysis
[ACM] 2026-5-15 | Research on Big Data-Driven Digital Transformation of Enterprise Information Management: A Case Study Based on Kingdee ERP System
[ACM] 2026-5-15 | Computation-based Analysis of Spatial Spillover Effects and Transmission Pathways of the Digital Economy from a Regional Synergy Perspective: Evidence from China's Three Major Urban Agglomerations
[ACM] 2026-5-15 | Research on Intelligent Review Method of Audit Documents Based on Large Models
[ACM] 2026-5-15 | Predicting Corporate Financial Flexibility Using a Random Forest Model
[ACM] 2026-5-15 | Research Progress and Trends of Artificial Intelligence in Industrial Engineering: A Bibliometric Analysis Based on CiteSpace
[ACM] 2026-5-15 | Analysis of ideological and political needs for construction cost courses based on the ideal point multi-attribute attitude model
[ACM] 2026-5-15 | An Overview of Cyber Security Funding for Open Source Software
[ACM] 2026-5-15 | Student Behavior Analysis in Intelligent Education Systems: Application and Evaluation of Object Detection Algorithms
[ACM] 2026-5-15 | An Algorithm System for Automatically Generating Personalized English Reading Materials by Integrating Large Language Models
[ACM] 2026-5-15 | Research on the “Three Dimensions and Three Integrations” Teaching Method of the Course “Database Principles and Applications” under the Background of New Engineering
[ACM] 2026-5-15 | Lightweight Underwater Object Detection Algorithm Based on YOLOv11
[ACM] 2026-5-15 | A Hybrid Spatiotemporal Computational Framework for Multi-Agent Systems: LLM-Driven Simulation of Policy-Induced Emotion Propagation in the Chinese Housing Market
[ACM] 2026-5-15 | A Data-Driven Quality Management System for Ready-Mixed Concrete Production: System Design and Field Implementation
[ACM] 2026-5-15 | Research on Search Planning for Maritime Moving Targets Based on CPSO+MPSO
[ACM] 2026-5-15 | A Multi-Domain Signal Analysis Approach for Rotator Cuff Injury Detection Using PVDF Sensors
[ACM] 2026-5-15 | Research on material dispatching and transportation decision-making system based on multi-objective genetic algorithm
[ACM] 2026-5-15 | Accurate prediction of building heating and cooling loads using an Ivy-optimized XGBoost model
[ACM] 2026-5-15 | PREDICTING WELL-BEING THROUGH INTERGENERATIONAL SUPPORT: A MACHINE LEARNING APPROACH WITH K-MEANS AND RANDOM FOREST
[IEEE] 2026-5-15 | The Study of Molecularly Imprinted Polymer-Based Sensor for Sensitive Detection of Glyphosate Pesticide
[IEEE] 2026-5-15 | Strategizing for Digitalization and Sustainability in Manufacturing: A Practice-Based Process Model
[IEEE] 2026-5-15 | IEEE Sensors Council
[IEEE] 2026-5-15 | Efficient EV Charging Station Management Using Battery SoC and BMS
[IEEE] 2026-5-15 | Hybrid Graph Neural Network Model for Energy-efficient Route Planning in Autonomous EV Mobility Networks
[IEEE] 2026-5-15 | A Fast-Transient Dual-Domain Learning Digital LDO with Droop Timing Prediction and Proactive Timing-Aware Control for Adaptive Droop Mitigation
[IEEE] 2026-5-15 | A Low-Power 1.2 TFLOPS/W Merge-Split RVV Processor for Mixed Scalar-Vector Workloads
[IEEE] 2026-5-15 | E2ETMPN: An End-to-End Template Matching Prediction Network for Intra Coding
[IEEE] 2026-5-15 | Parameter-Efficient Fine-Tuning for Audio-Driven Emotional Talking-Head Generation
[IEEE] 2026-5-15 | Multi-Source Decision Support System for Cold Stress Management in Dairy Buffalo Farming Using Heterogeneous Data, IoT Sensors, and Milking Robot Information: Development and Validation
[IEEE] 2026-5-15 | Hybrid Decision Tree-ELM Model for Structural Fault Classification and Crack Severity Detection
[IEEE] 2026-5-15 | A Multi-Modal Ensemble Framework for Imbalanced Dermoscopy: Metadata Fusion and Energy-Based Routing
[IEEE] 2026-5-15 | Car Point Cloud Model Based on the Improved PointNet++ Algorithm
[IEEE] 2026-5-15 | Automatic Detection and Localization of Decapped Chips in Single-Event Effects Testing
[IEEE] 2026-5-15 | A Flexible Defect Demodulation Method Based on FPGA for High Speed Mixing-Frequency Electromagnetic Railway Inspection
[IEEE] 2026-5-15 | ACF-MATD3 Formation Control for Multi-Agent Wheeled Mobile Robot Systems
[IEEE] 2026-5-15 | Copyright Page
[IEEE] 2026-5-15 | Electric Vehicle Cluster Charging Load Forecasting Based on Improved Q-Learning Prediction Algorithm
[IEEE] 2026-5-15 | 2025 18th International Conference on Sensing Technology (ICST)
[IEEE] 2026-5-15 | Two-Stage Progressive Anomaly Segmentation Framework for Complete Industrial Surface Defect Detection
[IEEE] 2026-5-15 | Proposed Smartwatch for Early Detection of Reptile Bites During Sleep: VenomAlert
[IEEE] 2026-5-15 | Optimizing Crop Selection Based on Soil and Climatic Compatibility
[IEEE] 2026-5-15 | A Bidimensional Generalization of the Suffix Automaton
[IEEE] 2026-5-15 | Cover Page
[IEEE] 2026-5-15 | Navigating Cruise Tourism via AI-Based Social Media Analysis: A Study of Taiwanese Consumers’ Travel Decisions
