[2026-08-07 10:02:11] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-06
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608060000+TO+202608062359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-8-6 | BAGAS: Blockchain-Assisted Group Authentication Scheme for Internet of Drones
[ACM] 2026-8-6 | SkillTracer: Structural Failure Attribution and Refinement of Agentic Skills in Long-Horizon Web Tasks
[ACM] 2026-8-6 | MORE-FE: Multi-Operator and Reinforcement Learning-Enhanced Evolution for LLM Feature Engineering
[ACM] 2026-8-6 | Edu-Eval: A Large-Scale Multimodal Benchmark for MLLMs in Authentic Educational Scenarios
[ACM] 2026-8-6 | Bradley-Terry Rankings for Recommender Systems Across Dataset Taxonomies
[ACM] 2026-8-6 | SENSE: Satellite-based ENergy Synthesis for Sustainable Environment
[ACM] 2026-8-6 | Unifying Ranking and Generation in Query Auto-Completion via Retrieval-Augmented Generation and Multi-Objective Alignment
[ACM] 2026-8-6 | Code2MCP: Transforming Code Repositories into MCP Services
[ACM] 2026-8-7 | TSRBench: Benchmarking Time-Series Retrieval
[ACM] 2026-8-6 | HDMoE: A Hierarchical Decoupling-Fusion Mixture-of-Experts Framework for Multimodal Cancer Survival Prediction
[ACM] 2026-8-6 | ProfiliTable: Profiling-Driven Tabular Data Processing via Agentic Workflows
[ACM] 2026-8-6 | Breaking Information Cocoons: A Hyperbolic Framework for Balancing Exploration and Exploitation in Recommender Systems
[ACM] 2026-8-6 | CrediBench: Web-Scale Network Data for Credibility Prediction
[ACM] 2026-8-7 | MGTA: Multi-scale Graph Tokens Alignment for CTR Prediction via Pre-trained Language Models
[ACM] 2026-8-6 | Tutorial on Generative Recommendation: Foundations and Frontiers
[ACM] 2026-8-6 | SciHorizon-Gene: Benchmarking LLM for Life Sciences Inference from Gene Knowledge to Functional Understanding
[ACM] 2026-8-6 | TS-Memory: Plug-and-Play Memory for Time Series Foundation Models
[ACM] 2026-8-7 | RespMultimodal 2026: Responsible Multimodal Foundation Models for Knowledge Discovery
[ACM] 2026-8-6 | TA-TFN: Task-Adaptive Frequency Decoupling for Generalizable Battery State Estimation across Chemistries
[ACM] 2026-8-7 | GUIDER: Generative User Interest Discovery via Explicit Reasoning with Large Language Models
[ACM] 2026-8-6 | GRASP: Manifold-Aware Structural Guidance for Generative Atmospheric Super-Resolution
[ACM] 2026-8-6 | Passing the Turing Test on Screen: A Benchmark for Mobile GUI Agent Humanization
[ACM] 2026-8-6 | Benchmark Datasets for Lead-Lag Forecasting on Social Platforms
[ACM] 2026-8-6 | Why Only 3D for 3D? 2D-Guided Supervision for 3D Medical Vision-Language Models
[ACM] 2026-8-7 | An Efficient and Accurate Grid Compression Solution for Point-to-Line Nearest Neighbor Search
[ACM] 2026-8-7 | AGMark: Attention-Guided Dynamic Watermarking for Large Vision-Language Models
[ACM] 2026-8-7 | Learn When and Where to Connect: Adaptive Virtual Nodes for Dynamic Message Passing on Graphs
[ACM] 2026-8-6 | Knowledge-Guided Learning for Global Carbon Flux Prediction: Integrating High-Level Remote Sensing with Bottom-Up Physical Modeling
[ACM] 2026-8-6 | KDD AI reasoning day
[ACM] 2026-8-6 | FD-Bench: A Modular and Fair Benchmark for Data-driven Fluid Simulation
[ACM] 2026-8-6 | Uncertainty-Aware Adaptive Recommendation across User Lifecycle
[ACM] 2026-8-7 | A Hands-on Tutorial for Diffusion Language Models with dLLM
[ACM] 2026-8-6 | CLUBench: A Clustering Benchmark
[IEEE] 2026-8-6 | MEKOR: Multimodal Internet of Things and Edge Intelligence for Smart Stadium Operational State Perception and Resource Optimization
[IEEE] 2026-8-6 | Practical Authenticated Encryption for Protecting AI Model Weights on Ultra-Low-Power Edge AI
[IEEE] 2026-8-6 | A 40-Gb/s 8-mW-OMA GaN-Based 1-to-N VCSEL Driver for Parallel and Wireless Optical Transmitter Frontends
[ACM] 2026-8-6 | CaN: A Core-aware Neural Framework for Attributed Hypergraph Generation
[ACM] 2026-8-6 | Search-on-Graph: Iterative Informed Navigation for Large Language Model Reasoning on Knowledge Graphs
[ACM] 2026-8-6 | FedPurify: Knowledge-Preserving Backdoor Defense with Data-Free Purification in Federated Learning
[ACM] 2026-8-6 | TIDAL: A Temporal Causal Diffusion Framework for Visualizing Knee Osteoarthritis Treatment Outcomes
[ACM] 2026-8-6 | Geometry-Aware OOD Generalization for Composite Materials
[ACM] 2026-8-6 | From Compression to Exploration: Active Querying Agent for 3D Physical Field Understanding
[ACM] 2026-8-6 | BITIRP - Efficient Time Intervals-Related Pattern Mining
[ACM] 2026-8-6 | SPECTRA: Spectral Domain-Aware Graph Generation for Imbalanced Molecular Property Regression
[ACM] 2026-8-7 | LiveMedBench: A Contamination-Limited Medical Benchmark for LLMs with Automated Rubric Evaluation
[ACM] 2026-8-6 | Rethinking Generalization in Graphs: A Hierarchical Interaction Perspective for Generalist Detection
[ACM] 2026-8-6 | Concord: Building Consensus Representations for Single Cells with Collaborative Random Projection
[ACM] 2026-8-6 | PathCRF: Ball-Free Soccer Event Detection via Possession Path Inference from Player Trajectories
[ACM] 2026-8-7 | PILA'26: Personal Intelligence in Agentic AI Era
[ACM] 2026-8-6 | Orbit-Adaptive Zero-Shot Forecasting on Spatio-Temporal Graph
[ACM] 2026-8-6 | GALS-Fold: Geometry-Aware Long-Short RNA Inverse Folding with Linear Scaling
[ACM] 2026-8-7 | MSN: A Memory-based Sparse Activation Scaling Framework for Large-scale Industrial Recommendation
[ACM] 2026-8-6 | RelSciFM 2026: The workshop on Reliable Scientific Foundation Models: Design, Training, Grounding, and Verification
[ACM] 2026-8-6 | Towards Robust Travel Time Estimation: An Out-of-Distribution Generalization Approach
[ACM] 2026-8-6 | D
                    <sup>3</sup>
                    -Subsidy: Online and Sequential Driver Subsidy Decision-Making for Large-Scale Ride-Hailing Market
[ACM] 2026-8-6 | VisionDES: Robust and Explainable Dynamic Vision Ensemble
[ACM] 2026-8-6 | Component-based Reusable UI Code Generation for Complex Websites via Semantic Segmentation and Fine-grained Feedback
[ACM] 2026-8-7 | Toward a Science of AI Agent Societies
[ACM] 2026-8-6 | EST: Towards Efficient Scaling Laws in Click-Through Rate Prediction via Unified Modeling
[ACM] 2026-8-7 | PROBE: Dense Process Rewards with Observation Evidence for Tool-Augmented Visual Reasoning
[ACM] 2026-8-6 | MultiTab: A Comprehensive Benchmark Suite for Multi-Dimensional Evaluation in Tabular Domains
[ACM] 2026-8-7 | Query as Anchor: Scenario-Adaptive User Representation via Large Language Model
[ACM] 2026-8-6 | GraphMind: Unveiling Scientific Reasoning through Contextual Graphs for Novelty Assessment
[ACM] 2026-8-6 | A Product Manifold Method for Feature Selection
[ACM] 2026-8-6 | Redefining Maritime Anomaly Detection via Equation-Grounded Synthetic Anomalies
[IEEE] 2026-8-6 | High-Resolution Distributed Optical Fiber Sensor for Multiparameter Sensing, Local Inhomogeneity Detection, and Poisson’s Ratio Estimation in Concrete Structures
[IEEE] 2026-8-6 | ZeroPIE: Zero-Reference Polarization-Aware Low-Light Enhancement via Physically Derived Illumination-Invariant Priors
[IEEE] 2026-8-6 | A Systematic Design Approach for Inherently Safe and Efficient SS-Compensated WPT Systems via Frequency Detuning
[IEEE] 2026-8-6 | Timing-Aware Recursive Search for Fast RIS-Assisted Passive Wi-Fi Localization
[IEEE] 2026-8-6 | Optoelectronic Attention-Based Distillation Network for Color Image Denoising
[IEEE] 2026-8-6 | Per-Phase Stator Resistance Estimation Using Full-Order Model for Dual Three-Phase PMSM Drives
[IEEE] 2026-8-6 | Rate-Gamma Mixture Distribution Based Adaptive Kalman Filtering for Heavy-Tailed Noise
[ACM] 2026-8-6 | HierKV: A Coarse-to-Fine Approach with Vision-Aware Banzhaf Values for Multi-Modal KV Cache Compression
[ACM] 2026-8-6 | SAFT: Safety-Preserving Adaptation via Fine-Tuning Transfer for Large Language Models
[ACM] 2026-8-6 | CCD: Capturing Cross-Correlations with Deformable Convolutional Networks for Multivariate Time Series Forecasting
[ACM] 2026-8-6 | Test-Time Deep Thinking to Explore Implicit Rules
[IEEE] 2026-8-6 | HDCNet: A Hybrid Depth Completion Network for Grasping Transparent and Reflective Objects
[IEEE] 2026-8-6 | Clifford Manipulations of Stabilizer States – Application to Linear Optical Qubits
[IEEE] 2026-8-6 | Orthogonal Complement Subspace Projection for Hybrid Baseline Ocean Current Inversion
[IEEE] 2026-8-6 | AI-Enabled, Identifiability-Aware Calibration of Differentiable Ray Tracing for Low-Altitude UAV Air-to-Ground Channels
[IEEE] 2026-8-6 | ICUFN 2026 Cover Page
[IEEE] 2026-8-6 | Text is All You Need: Dynamic Deep Survival Analysis of Health Stack Exchange Questions
[IEEE] 2026-8-6 | Cryptanalysis and Countermeasures of “Lightweight and Anonymous Authentication Scheme for Medical Internet of Things Services”
[IEEE] 2026-8-6 | Multi-dimensional Vulnerability Analysis of LM Safety Guards via Role-Goal-Format Decomposition
[IEEE] 2026-8-6 | Double Layer DSO Based Joint Positioning and Beam Synthesis in UAV Swarm
[IEEE] 2026-8-6 | Joint Trajectory and Resource Optimization for HAPs-SAR Systems With Energy-Aware Constraints
[IEEE] 2026-8-6 | The Council of Experts: A Heterogeneous Rational-Aware Framework for Robust Energy Forecasting
[IEEE] 2026-8-6 | Exploring Potential Vulnerabilities in Decomposed Convolutional Filters for Federated Learning
[IEEE] 2026-8-6 | AutomotiveIDS: A Review of ML Techniques and Introducing NLPSA to Robotics
[IEEE] 2026-8-6 | Characterizing Bottleneck Shifts in Semantic Communication under Channel Variations and Device Heterogeneity
[IEEE] 2026-8-6 | Analysis of Runtime Client-Join Disturbance in a Micro XRCE-DDS Client-Agent Architecture
[IEEE] 2026-8-6 | A Ping-Assisted ISAC for Slot-Aware Medium Access Control for Underwater Acoustic Communications in AUV Swarms
[IEEE] 2026-8-6 | Comparative Evaluation of Loss Function-Based Imbalance Mitigation Methods for Intrusion Detection
[IEEE] 2026-8-6 | Emerging Trends in Intelligent Sensing: The Shift Toward Intelligence Density
[IEEE] 2026-8-6 | HybridFraudNet: A Dual-Branch CNN-GNN Architecture for Healthcare Insurance Fraud Detection
[IEEE] 2026-8-6 | Toward End-to-End Intent-Based Networking for 6G: Architectures, Challenges, Recent Advances, and Future Directions
[IEEE] 2026-8-6 | Enhancing Bitcoin Mining Using Quantum Search Space Expansion and Non-Unitary Operator
[IEEE] 2026-8-6 | V2V and V2O Crash Injury Analysis in ADAS and ADS Vehicles Using Statistical and Machine Learning Methods with Explainable AI
[IEEE] 2026-8-6 | Deep Spectral-Spatial Ensemble Learning for Imbalanced Small-Sample Hyperspectral Image Classification
[IEEE] 2026-8-6 | Front Cover
[IEEE] 2026-8-6 | Optimal Design of Axial Flux Synchronous Machines with Coreless PCB Stator and Surface-mounted or Halbach Array PM Rotors Considering Performance and Cost Objectives
[IEEE] 2026-8-6 | Navigation Map Real-Time Inlaid Photoelectric Video Technology
[IEEE] 2026-8-6 | Beyond the Time-Frequency Resolution Limit: Sub-cycle Sparse Reconstruction and Temporal Knowledge Fusion for PQDs Analysis
[IEEE] 2026-8-6 | From Trace to Line: An Empirical Study of What Drives LLM-Based OSS Vulnerability Localization
[IEEE] 2026-8-6 | Guest Editorial Special Issue on Advanced Computational Methods and Multiphysics Simulation for Complex Electromagnetic Media
[IEEE] 2026-8-6 | Hybrid Periodic Time-Varying Attitude Control using Mixed Combination of Actuators
[IEEE] 2026-8-6 | Global Communications Newsletter
[IEEE] 2026-8-6 | Fine-Grained Teeth-Grinding Recognition via Millimeter-Wave Radar Spectrogram Learning
[IEEE] 2026-8-6 | Integrated Sensing and Communications: A Research Roadmap
[IEEE] 2026-8-6 | Robust Optimal Agile Flight of Quadrotors: An Internal Model-Based Nonlinear Model Predictive Optimization Approach
[IEEE] 2026-8-6 | Wearable Multimodal Physiological Sensor-Based Recognition of Pilots’ Mental Workload Using fNIRS, ECG, and Eye-movement Signals
[IEEE] 2026-8-6 | Startup Strategy-Based Integral Backstepping Sliding Mode Control for MMC-UPQC With PV
[IEEE] 2026-8-6 | Negative Corona Poling of PZT/PZT Sol-Gel Composite Films Under High Humidity for On-Site Fabrication
[IEEE] 2026-8-6 | ICUFN 2026 Cover Page
[IEEE] 2026-8-6 | FNP-Miner: Fuzzy three-way nonoverlapping sequential pattern mining
[IEEE] 2026-8-6 | An Analytical Modeling Framework for Ferroelectric-Gate GaN HEMTs With MFIS Gate-Stack
[ACM] 2026-8-6 | Smallholder Agricultural Landscape Understanding at a National Scale
[ACM] 2026-8-7 | Is Fairness Truly Fair? Towards Reliable Lipschitz Fairness in Multi-Task Learning via Fixed-δ Alignment
[ACM] 2026-8-6 | CausalMoE: A Billion-Scale Multimodal Foundation Model for Granger Causal Discovery with Pattern-Routed Heterogeneous Experts
[ACM] 2026-8-6 | 2nd Workshop on Frontiers in Graph Machine Learning for the Large Model Era
[ACM] 2026-8-7 | The 5th Workshop on Ethical Artificial Intelligence: Methods and Applications (EAI)
[ACM] 2026-8-6 | Constrained Auto-Bidding via Generative Response Modeling
[ACM] 2026-8-7 | DREAM: LLM-based Dynamic Role-playing via Event-Aware Memory Graph
[ACM] 2026-8-6 | Lethe: Plasticity-aware Active Forgetting for Resource-Efficient On-Device Continual Learning
[ACM] 2026-8-6 | The 2nd SeT-LLM Workshop on Secure and Trustworthy Large Language Models
[ACM] 2026-8-7 | Beyond Instance-Level Alignment and Uniformity: Semantic Factor Learning for Collaborative Filtering
[ACM] 2026-8-6 | General Protein Pretraining or Domain-Specific Designs? Benchmarking Protein Modeling on Realistic Applications
[ACM] 2026-8-6 | Generalizing Graph Foundation Models via Hyperbolic Retrieval-Augmented Generation
[ACM] 2026-8-6 | TS-MTM: Temporal-Spectral Masked Time-Series Modeling for Forecasting
[ACM] 2026-8-7 | Expand More, Shrink Less: Shaping Effective-Rank Dynamics for Dense Scaling in Recommendation
[ACM] 2026-8-6 | DMind Benchmark: Toward a Holistic Assessment of LLM Capabilities across the Web3 Domain
[ACM] 2026-8-6 | AMOS: Active Mining with Observable Steps for Agenda-Driven Review Knowledge Discovery
[ACM] 2026-8-7 | Agentic LLMs for Social Network Generation using Explainable Adversarial Re-prompting
[ACM] 2026-8-6 | Generative Flow-Matching Modeling of the Neurodevelopmental Connectome via Dynamic Hypergraphs
[ACM] 2026-8-6 | Uncovering Insights of Compound Flooding with Data-Driven AI
[ACM] 2026-8-7 | PinEqualizer: Full Funnel Content Exploration and Debiasing System at Pinterest
[ACM] 2026-8-6 | Decoupling and Damping: Structurally-Regularized Gradient Matching for Multimodal Graph Condensation
[ACM] 2026-8-6 | DECKBench: Benchmarking Multi-Agent Frameworks for Academic Slide Generation and Editing
[ACM] 2026-8-6 | A Foundation Model for Multimodal Event Sequences in Financial Applications
[ACM] 2026-8-7 | The Forgetting-Learning Trade-off: Making Reinforcement Learning Work for Protein Language Models
[ACM] 2026-8-6 | A Unified Structured Query Understanding Framework for Industrial Semantic Search
[ACM] 2026-8-7 | Learning to Forget: Emotional Salience as a Compression Mechanism for Long-Term AI Memory
[ACM] 2026-8-6 | The Scaling Bottleneck of Human Mobility Modeling
[ACM] 2026-8-7 | MLaGA: Multimodal Large Language and Graph Assistant
[ACM] 2026-8-6 | Adaptive Prototypical Contrastive Learning for Time Series Clustering
[ACM] 2026-8-7 | End-to-End Learning for Partially-Observed Time Series with PyPOTS
[ACM] 2026-8-7 | VideoExplorer: Advancing Long-Horizon Video Understanding via Hierarchical Orchestration
[IEEE] 2026-8-6 | A Precise Modeling and Parameter Design Method for SOGI-FLL Based on Discrete LTP Model
[IEEE] 2026-8-6 | Fault Analysis of Motor Bearings Based on Magnetostriction
[IEEE] 2026-8-6 | Urban Traffic Modeling Using Graph-Based Algo Rithm and Queuing Theory
[IEEE] 2026-8-6 | A Waveguide-Based Graphene Film Characterization Methodology for Microwave Patch Antenna Design
[IEEE] 2026-8-6 | Continual Learning with Probabilistic Mixture of Experts via Variational Moment Propagation
[IEEE] 2026-8-6 | Enabling Flexible and Efficient Collective Communication Scheduling in Distributed AI
[IEEE] 2026-8-6 | Towards Explaining Classification Models in Security with Sparse Autoencoders
[IEEE] 2026-8-6 | Toward 6G-Ready Uplink Resource Control: Standard-Aware RB Coordination and MADRL-Based Power Control
[IEEE] 2026-8-6 | An Empirical Study on the Privacy Effects of Model Merging in Vision Language Models
[IEEE] 2026-8-6 | The Dual Steer Mobile System for Integrated TN and NTN in 6G
[IEEE] 2026-8-6 | Teacher-Anchored Worst-case Stability Distillation for Membership Privacy
[IEEE] 2026-8-6 | Hybrid Session-Based UEBA for AWS Environment
[IEEE] 2026-8-6 | A Survey of AI-Based Resource Management and QoS Modeling in 6G Space-Air-Ground Integrated Networks: A Three-Axis Taxonomy
[IEEE] 2026-8-6 | Energy-Aware Scheduling Algorithm Based on Weighted Energy Pre-allocation
[IEEE] 2026-8-6 | Towards a Risk-Cost Model for Financial Adaptive Authentication
[IEEE] 2026-8-6 | ISO/SAE 21434-Compliant Asset Modelling for TARA of Electric Vehicle BMS
[IEEE] 2026-8-6 | High-Speed Tiny Object Detection Using Synthetic Datasets on Resource-Constrained Hardware
[IEEE] 2026-8-6 | High-Performance Implementation of Crystals-Dilithium using DSP-Free NTTs on FPGA
[IEEE] 2026-8-6 | On the Optimal Number of Participating Clients in NOMA-Based Federated Learning Under Imperfect SIC
[IEEE] 2026-8-6 | A Hybrid Attention Network with Cumulative Source Aggregation for Single Image Super-Resolution
[IEEE] 2026-8-6 | Coverage Enhancement in Disaster Communication Networks via Active RIS-Assisted UAV Deployment
[IEEE] 2026-8-6 | IEEE Standard for Low-Voltage DC (3200 V and below) Power Circuit Breakers Used in Enclosures
[ACM] 2026-8-6 | Enhancing Performance and User Engagement in Everyday Stress Monitoring: A Context-Aware Active Reinforcement Learning Approach
[IEEE] 2026-8-6 | CSI Compression and Prediction using ConvWESN: an Efficient Online Learning Framework
[IEEE] 2026-8-6 | Doubly Constrained Fair Clustering for General $p$-Norms
[IEEE] 2026-8-6 | A Survey of Global Revisions to Grid Codes on System Inertia and Frequency Stability in Power Grids with High Renewable Energy Integration
[IEEE] 2026-8-6 | IEEE Transactions on Education Information for Authors
[IEEE] 2026-8-6 | A Review of Degradation Mechanisms and Improvement Strategies for ZnO Surge Arresters
